name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Вода Боржоми минеральная лечебно-столовая газированная, 500мл	89,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/208/p/voda-borzomi-mineralnaa-lecebno-stolovaa-gazirovannaa-500ml-57375	Wed Jul  3 15:03:34 2024	Вода Боржоми минеральная лечебно-столовая газированная, 500мл	Цена89,99 ₽	Боржоми	0.0	0.0 г	0.0 г	0.0 г	Минерализация: 5,0 – 7,5 г/л. основной , мг/л: кальций 20 – 150, магний 20 – 150, натрий 1000 – 2000, гидрокарбонаты 3500 – 5000, хлориды 250 – 500. 	True	True	Fri Jul  5 22:34:04 2024
Вода питьевая Сенежская газированная, 500мл	19,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/208/p/voda-pitevaa-senezskaa-gazirovannaa-500ml-58481	Wed Jul  3 15:03:34 2024	Вода питьевая Сенежская газированная, 500мл	Цена19,99 ₽	Сенежская	0.0	0.0 г	0.0 г	0.0 г	Гидрокарбонаты 250-450, кальций 50-80, магний 15-40. содержит фториды. 	True	True	Fri Jul  5 22:34:05 2024
Вода Псыж минеральная питьевая лечебно-столовая газированная, 1л	44,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/208/p/voda-psyz-mineralnaa-pitevaa-lecebno-stolovaa-gazirovannaa-1l-3629622	Wed Jul  3 15:03:34 2024	Вода Псыж минеральная питьевая лечебно-столовая газированная, 1л	Цена44,99 ₽	Псыж	0.0	0.0 г	0.0 г	0.0 г	Гидрокарбонаты 300-900, сульфаты 400-700, хлориды 300-800, натрий/калий 500-1000, магний менее 50, кальций менее 60, минерализация 1,6–3. 	True	True	Fri Jul  5 22:34:07 2024
Вода Святой источник природная питьевая газированная, 1.5л	57,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/208/p/voda-svatoj-istocnik-prirodnaa-pitevaa-gazirovannaa-1-5l-20388	Wed Jul  3 15:03:34 2024	Вода Святой источник природная питьевая газированная, 1.5л	Цена57,99 ₽	Святой Источник	0.0	0.0 г	0.0 г	0.0 г	Минерализация: 0,05 – 1,0 г/л. основной  мг/л: кальций 0,5 – 130, магний 0,5 – 50, натрий 0,2 – 100, калий 0,1 – 20, гидрокарбонаты 5 – 350, хлориды 0,5 – 200, сульфаты 0,5 – 200. общая жесткость <7 мг-экв/л. 	True	True	Fri Jul  5 22:34:07 2024
Вода Рычал су минеральная лечебно-столовая газированная, 1л	97,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/208/p/voda-rycal-su-mineralnaa-lecebno-stolovaa-gazirovannaa-1l-81003	Wed Jul  3 15:03:34 2024	Вода Рычал су минеральная лечебно-столовая газированная, 1л	Цена97,99 ₽	Рычал Су	0.0	0.0 г	0.0 г	0.0 г	Гидрокарбонаты 2500-3000, сульфаты <25, хлориды 450-550, натрий + калий 1200-1450, кальций < 25, магний <25.допускается естественный осадок минеральных солей. 	True	True	Fri Jul  5 22:34:09 2024
Вода Малаховская питьевая 1 категории газированная Пр!ст, 2л	28,70 ₽/шт	2000 мл	https://www.perekrestok.ru/cat/208/p/voda-malahovskaa-pitevaa-1-kategorii-gazirovannaa-pr-st-2l-3625734	Wed Jul  3 15:03:34 2024	Вода Малаховская питьевая 1 категории газированная Пр!ст, 2л	Цена31,99 ₽	Пр!ст	0.0	0.0 г	0.0 г	0.0 г	Подготовленная артезианская вода. 	True	True	Fri Jul  5 22:34:10 2024
Вода Архыз Легенда Гор минеральная газированная, 1.5л	44,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/208/p/voda-arhyz-legenda-gor-mineralnaa-gazirovannaa-1-5l-3630603	Wed Jul  3 15:03:34 2024	Вода Архыз Легенда Гор минеральная газированная, 1.5л	Цена44,99 ₽	Легенда Гор Архыз	0.0	0.0 г	0.0 г	0.0 г	Hco 50 - 200 мг/л, ca менее 50 мг/л, mg - менее 20 мг/л, na - k - менее 40 мг/л. 	True	True	Fri Jul  5 22:34:12 2024
Вода Нарзан минеральная природная лечебно-столовая газированная, 1л	71,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/208/p/voda-narzan-mineralnaa-prirodnaa-lecebno-stolovaa-gazirovannaa-1l-20676	Wed Jul  3 15:03:34 2024	Вода Нарзан минеральная природная лечебно-столовая газированная, 1л	Цена81,99 ₽	Нарзан	0.0	0.0 г	0.0 г	0.0 г	Гидрокарбонаты нсо3: 1000 – 1700 сульфаты so4: 250 – 500 хлориды cl: 50 - 200 кальций ca: 200 – 500 магний mg: 50 – 150 натрий+калий na++k+: 50 – 250 природная массовая концентрация биологически активного компонента со2: 1000- 2000 мг/л. 	True	True	Fri Jul  5 22:34:12 2024
Вода питьевая Сенежская газированная, 1.5л	42,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/208/p/voda-pitevaa-senezskaa-gazirovannaa-1-5l-37169	Wed Jul  3 15:03:34 2024	Вода питьевая Сенежская газированная, 1.5л	Цена41,99 ₽	Сенежская	0.0	0.0 г	0.0 г	0.0 г	Гидрокарбонаты 250-450, кальций 50-80, магний 15-40. содержит фториды. 	True	True	Fri Jul  5 22:34:13 2024
Вода Боржоми минеральная лечебно-столовая газированная, 500мл	134,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/208/p/voda-borzomi-mineralnaa-lecebno-stolovaa-gazirovannaa-500ml-81514	Wed Jul  3 15:03:34 2024	Вода Боржоми минеральная лечебно-столовая газированная, 500мл	Цена114,99 ₽	Боржоми	0.0	0.0 г	0.0 г	0.0 г	Минерализация: 5,0 – 7,5 г/л. основной , мг/л: кальций 20 – 150, магний 20 – 150, натрий 1000 – 2000, гидрокарбонаты 3500 – 5000, хлориды 250 – 500. 	True	True	Fri Jul  5 22:34:14 2024
