name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Водка Obeliu Крафтед 40%, 700мл	999,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/6/p/vodka-obeliu-krafted-40-700ml-4170479	Wed Jul  3 15:05:27 2024	Водка Obeliu Крафтед 40%, 700мл	Цена1 099,00 ₽	Obeliu	221.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, спирт этиловый ректификованный из пищевого сырья. 	True	True	Sat Jul  6 00:07:46 2024
Водка Finsky Ice 40%, 500мл	299,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/6/p/vodka-finsky-ice-40-500ml-3408128	Wed Jul  3 15:05:27 2024	Водка Finsky Ice 40%, 500мл	Цена299,00 ₽	Finsky Ice	220.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья ""Люкс"", мёд натуральный, настой спиртованный хлеба ржаного. "	True	True	Sat Jul  6 00:07:47 2024
Водка Коноплянка Родниковая 40%, 500мл	369,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/6/p/vodka-konoplanka-rodnikovaa-40-500ml-4104513	Wed Jul  3 15:05:27 2024	Водка Коноплянка Родниковая 40%, 500мл	Цена369,99 ₽	Коноплянка	220.0	0.0 г	0.0 г	0.4 г	"Вода питьевая подготовленная, Спирт этиловый ректификованный из пищевого сырья ""Альфа"", Вода питьевая купажированная негазированная (вода природная питьевая и вода природная минеральная), Сахар. "	True	True	Sat Jul  6 00:07:49 2024
Водка Beluga Нобл 40%, 500мл	919,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/6/p/vodka-beluga-nobl-40-500ml-2047168	Wed Jul  3 15:05:27 2024	Водка Beluga Нобл 40%, 500мл	Цена919,99 ₽	Beluga	0.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья «Люкс», Сахарный сироп, настой Спиртованный экстракта вкусо-аРоматического «Реликт» - «Экстракт расторопши», настой Спиртованный овсяной крупы, Мёд натуральный, Ароматизатор пищевой «Ванилин». 	True	True	Sat Jul  6 00:07:49 2024
Водка Jinro Соджу джинро со вкусом и ароматом зеленого винограда 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-dzinro-so-vkusom-i-aromatom-zelenogo-vinograda-13-360ml-4063711	Wed Jul  3 15:05:27 2024	Водка Jinro Соджу джинро со вкусом и ароматом зеленого винограда 13%, 360мл	Цена549,99 ₽	Jinro	115.3	0.0 г	0.0 г	10.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп фруктозы, Ароматизатор зеленый виноград. 	True	True	Sat Jul  6 00:07:50 2024
Водка Jinro Соджу со вкусом и ароматом персика 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-so-vkusom-i-aromatom-persika-13-360ml-4246249	Wed Jul  3 15:05:27 2024	Водка Jinro Соджу со вкусом и ароматом персика 13%, 360мл	Цена549,99 ₽	none	94.6	0.0 г	0.0 г	0.0 г	Спирт этиловый ректификованный из пищевого сырья, вода питьевая исправленная, сироп фруктозы, ароматизатор персик. 	True	True	Sat Jul  6 00:07:51 2024
Водка Remeslo Ремесло Фермера Выдержанная 40%, 500мл	349,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/6/p/vodka-remeslo-remeslo-fermera-vyderzannaa-40-500ml-4208759	Wed Jul  3 15:05:27 2024	Водка Remeslo Ремесло Фермера Выдержанная 40%, 500мл	Цена459,99 ₽	Remeslo	220.0	0.0 г	0.0 г	0.0 г	Зерновой спирт класса «Люкс», вода, спиртованные настои меда акации и гречихи. 	True	True	Sat Jul  6 00:07:52 2024
Водка Зелёная марка Брусничная особая 38%, 500мл	339,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/6/p/vodka-zelenaa-marka-brusnicnaa-osobaa-38-500ml-3687946	Wed Jul  3 15:05:27 2024	Водка Зелёная марка Брусничная особая 38%, 500мл	Цена449,99 ₽	Зеленая Марка	0.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья ""Люкс"", Сахарный сироп, настой Спиртованный ягод брусники, Ароматизатор пищевой ""Брусника"", регулятор кислотности гидрокарбонат натрия. "	True	True	Sat Jul  6 00:07:53 2024
Водка Jinro Соджу джинро со вкусом и ароматом сливы 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-dzinro-so-vkusom-i-aromatom-slivy-13-360ml-4063714	Wed Jul  3 15:05:27 2024	Водка Jinro Соджу джинро со вкусом и ароматом сливы 13%, 360мл	Цена549,99 ₽	Jinro	139.8	0.0 г	0.0 г	10.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп фруктозы, Ароматизатор слива. 	True	True	Sat Jul  6 00:07:53 2024
Водка Царская 40%, 1л	799,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/6/p/vodka-carskaa-40-1l-14969	Wed Jul  3 15:05:27 2024	Водка Царская 40%, 1л	Цена879,99 ₽	Царская	220.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, Спирт этиловый ректификованный ""Люкс"" (зерновой), Мёд натуральный липовый, настой липового цвета. "	True	True	Sat Jul  6 00:07:54 2024
