name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Чипсы нори Sen Soy Premium Original из морской капусты, 4.5г	79,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/cipsy-nori-sen-soy-premium-original-iz-morskoj-kapusty-4-5g-3617202	Wed Jul  3 15:03:12 2024	Чипсы нори Sen Soy Premium Original из морской капусты, 4.5г	Цена81,99 ₽	Sen Soy	360.0	41.0 г	2.0 г	44.0 г	Морские водоросли сушеные, кукурузное масло, кунжутное масло, соль. 	True	True	Fri Jul  5 22:01:07 2024
Чипсы из обжаренных морских водорослей нори с кунжутным маслом Маркет, 5г	54,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/253/p/cipsy-iz-obzarennyh-morskih-vodoroslej-nori-s-kunzutnym-maslom-market-5g-4306495	Wed Jul  3 15:03:12 2024	Чипсы из обжаренных морских водорослей нори с кунжутным маслом Маркет, 5г	Цена69,99 ₽	Маркет	525.6	26.6 г	34.8 г	26.5 г	Морские водоросли (красные водоросли из рода порфира (porphyra)), кунжутное масло, кукурузное масло. 	True	True	Fri Jul  5 22:01:08 2024
Чипсы из обжаренных морских водорослей нори со вкусом кимчи Маркет, 5г	54,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/253/p/cipsy-iz-obzarennyh-morskih-vodoroslej-nori-so-vkusom-kimci-market-5g-4306496	Wed Jul  3 15:03:12 2024	Чипсы из обжаренных морских водорослей нори со вкусом кимчи Маркет, 5г	Цена69,99 ₽	Маркет	540.7	26.8 г	36.7 г	25.8 г	"Морские водоросли (красные водоросли из рода порфира (porphyra)), кукурузное масло, соль, приправа кимчи (соль, сухой бульон ""кимчи"" (капуста пекинская, соленый анчоус, соль), соленые креветки (креветки, соль), соль, перец чили, чеснок, редька, сахар, лук, рис, имбирь свежий, kelp (бурая морская водоросль из отряда ламинариевые), груша, кунжутное масло, пальмовое масло, чесночное масло, луковое масло, экстракт имбиря, загуститель ксантановая камедь, подсластитель стевия, антиокислитель дельта-токоферол, ароматизатор имбирного масла, загуститель гуммиарабик), глюкоза, усилитель вкуса и аромата глицин, аминокислота аланин, антислеживающий агент диоксид кремния, соус ""кимчи"" (соевое масло, чесночное масло, имбирное масло, кунжутное масло, горчичное масло, луковое масло, экстракт имбиря, порошок жареного кунжута), экстракт красного перца, смесь масел (соевое масло, имбирное масло, чесночное масло, горчичное масло, луковое масло), экстракт паприки, усилитель вкуса и аромата глутамат натрия, стабилизатор декстрин, усилитель вкуса и аромата 5`-рибонуклеотиды натрия 2-замещенные, консервант уксусная кислота, регулятор кислотности сукцинат натрия), кунжутное масло, кукурузный крахмал. "	True	True	Fri Jul  5 22:01:08 2024
Водоросли морские Sen Soy Premium Суши-нори, 28г	199,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/718/p/vodorosli-morskie-sen-soy-premium-susi-nori-28g-3143479	Wed Jul  3 15:03:12 2024	Водоросли морские Sen Soy Premium Суши-нори, 28г	Цена299,99 ₽	Sen Soy	340.0	40.0 г	2.0 г	40.0 г	Морские водоросли сушеные. 	True	True	Fri Jul  5 22:01:10 2024
Бумага рисовая Sen Soy Premium, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/718/p/bumaga-risovaa-sen-soy-premium-100g-3659144	Wed Jul  3 15:03:12 2024	Бумага рисовая Sen Soy Premium, 100г	Цена149,99 ₽	Sen Soy	340.0	6.0 г	0.0 г	80.0 г	Рисовая мука, соль, вода. 	True	True	Fri Jul  5 22:01:11 2024
Чипсы из морской капусты Kakao Friends Классические, 2г	47,99 ₽/шт	2 гр	https://www.perekrestok.ru/cat/718/p/cipsy-iz-morskoj-kapusty-kakao-friends-klassiceskie-2g-4170353	Wed Jul  3 15:03:12 2024	Чипсы из морской капусты Kakao Friends Классические, 2г	Цена49,99 ₽	Kakao Friends	516.0	27.6 г	31.7 г	30.1 г	Капуста морская сушеная (водоросли порфира), масло кукурузное рафинированное, масло кунжутное рафинированное, морская соль. 	True	True	Fri Jul  5 22:01:12 2024
Чипсы Sibuki Классика из морской капусты, 17г	249,99 ₽/шт	17 гр	https://www.perekrestok.ru/cat/718/p/cipsy-sibuki-klassika-iz-morskoj-kapusty-17g-4261336	Wed Jul  3 15:03:12 2024	Чипсы Sibuki Классика из морской капусты, 17г	Цена249,99 ₽	none	594.0	20.8 г	45.4 г	25.5 г	Морская капуста (водоросли порфира), рапсовое масло рафинированное, перилловое масло рафинированное, кунжутное масло рафинированное, морская соль пищевая. 	True	True	Fri Jul  5 22:01:13 2024
Капуста морская SELECO вкус том ям жареная в листах, 36г	159,99 ₽/шт	36 гр	https://www.perekrestok.ru/cat/718/p/kapusta-morskaa-seleco-vkus-tom-am-zarenaa-v-listah-36g-4346167	Wed Jul  3 15:03:12 2024	Капуста морская SELECO вкус том ям жареная в листах, 36г	Цена159,99 ₽	SELECO	672.0	13.9 г	59.3 г	20.7 г	Морские водоросли, растительное масло, сахар, соль, регулятор кислотности яблочная кислота, немолочные сливки (сироп глюкозы, растительное масло, натрий),казеинат, стабилизаторы, эмульгатор, антислеживающий агент), регулятор кислотности лимонная кислота, порошок чили, гидролизованный растительный белок, порошок соевого соуса (соевый соус и мальтодекстрин в качестве носителя), луковый порошок, эмульгатор диоксид кремния, ароматизатор лайма, краситель экстракт паприки, ароматизатор шалот, порошок паприки, масло со вкусом лемонграсса, масло со вкусом листьев кафрского лайма, консервант  Е627, усилитель вкуса Е631, порошок черного перца, ароматизатор дыма. 	True	True	Fri Jul  5 22:01:14 2024
Чипсы Sibuki Терияки из морской капусты, 5г	109,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/cipsy-sibuki-teriaki-iz-morskoj-kapusty-5g-4274404	Wed Jul  3 15:03:12 2024	Чипсы Sibuki Терияки из морской капусты, 5г	Цена87,99 ₽	none	566.0	22.0 г	38.3 г	33.4 г	Морская капуста (водоросли порфира), рапсовое масло рафинированное, приправа терияки (экстракт соевого соуса (соя, пшеница), сушёный чеснок, сушёный лук, молотый имбирь, копчёная паприка, чёрный перец), перилловое масло рафинированное, кунжутное масло рафинированное, морская соль пищевая. 	True	True	Fri Jul  5 22:01:14 2024
Чипсы Sibuki Барбекю из морской капусты, 5г	109,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/cipsy-sibuki-barbeku-iz-morskoj-kapusty-5g-4261337	Wed Jul  3 15:03:12 2024	Чипсы Sibuki Барбекю из морской капусты, 5г	Цена87,99 ₽	none	596.0	20.2 г	48.4 г	20.0 г	Морская капуста (водоросли порфира), рапсовое масло рафинированное, приправа пулькоги (экстракт соевого соуса (соя, пшеница), грибы шиитаке, сушёный лук, сушёный чеснок, копчёная паприка), перилловое масло рафинированное, кунжутное масло рафинированное, морская соль пищевая. 	True	True	Fri Jul  5 22:01:16 2024
Капуста морская SELECO оригинальный вкус жареная в листах, 36г	159,99 ₽/шт	36 гр	https://www.perekrestok.ru/cat/718/p/kapusta-morskaa-seleco-originalnyj-vkus-zarenaa-v-listah-36g-4346168	Sun Jul  7 13:44:29 2024	Капуста морская SELECO оригинальный вкус жареная в листах, 36г	Цена159,99 ₽	SELECO	655.0	11.9 г	54.8 г	28.5 г	Морские водоросли, растительное масло, мальтодекстрин, сахар, соль, глюкоза, гидролиз соевого белка (глюкоза, соевые бобы, мальтодекстрин, пальмовое масло), эмульгатор диоксид кремния, рафинированное соевое масло (без ГМО) (не гидрогенизированное), порошок соевого соуса (обезжиренные соевые бобы, кукуруза, вода, соль, мальтодекстрин (кукурузная основа), усилитель вкуса Е331, стабилизатор фосфат кальция, порошок белого перца, текстурный соевый белок (соевая мука, не ГМО), порошок черного перца, порошок чили, полножирная соевая мука, тапиоковый крахмал. 	True	True	Sun Jul  7 18:08:03 2024
Капуста морская сушёная обжаренная в оливковом масле Зелёная Линия, 5г	59,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/kapusta-morskaa-susenaa-obzarennaa-v-olivkovom-masle-zelenaa-linia-5g-4327418	Sun Jul  7 16:58:32 2024	Капуста морская сушёная обжаренная в оливковом масле Зелёная Линия, 5г	Цена59,99 ₽	Зелёная Линия	447.0	3.9 г	42.5 г	12.2 г	Морская капуста сушеная, масло оливковое нерафинированное, соль пищевая.  Продукт может содержать следы кунжута, ракообразных, горчицы. 	True	True	Sun Jul  7 18:08:05 2024
Чипсы Sibuki Премиум из морской капусты, 5г	71,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/cipsy-sibuki-premium-iz-morskoj-kapusty-5g-4274406	Sun Jul  7 17:19:44 2024	Чипсы Sibuki Премиум из морской капусты, 5г	Цена85,99 ₽	none	592.0	22.9 г	45.8 г	22.0 г	Морская капуста (водоросли энтероморфа), рапсовое масло рафинированное, перилловое масло рафинированное, кунжутное масло рафинированное, морская соль пищевая. 	True	True	Sun Jul  7 18:08:05 2024
Чипсы Sibuki Кимчи из морской капусты, 5г	71,99 ₽/шт	5 гр	https://www.perekrestok.ru/cat/718/p/cipsy-sibuki-kimci-iz-morskoj-kapusty-5g-4274407	Sun Jul  7 17:19:44 2024	Чипсы Sibuki Кимчи из морской капусты, 5г	Цена79,99 ₽	none	620.0	18.0 г	52.8 г	18.1 г	Морская капуста (водоросли порфира), рапсовое масло рафинированное, приправа кимчи (экстракт чеснока, молотый красный перец, молотый имбирь, экстракт паприки, чесночное масло, экстракт имбиря), перилловое масло рафинированное, кунжутное масло рафинированное, морская соль пищевая. 	True	True	Sun Jul  7 18:08:06 2024
