name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Форель Перекресток 1.5-2 кг потрошеная Карелия	999,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-perekrestok-1-5-2-kg-potrosenaa-karelia-3996116	Wed Jul  3 15:04:16 2024	Форель Перекресток 1.5-2 кг потрошеная Карелия	Цена999,00 ₽	СТМ	103.0	19.0 г	3.0 г	0.0 г	Форель охлажденная потрошеная. 	True	True	Fri Jul  5 23:05:09 2024
Дорадо Турция	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/dorado-turcia-81555	Wed Jul  3 15:04:16 2024	Дорадо Турция	Цена899,00 ₽	Тендер	96.0	18.5 г	0.7 г	0.0 г	none	True	True	Fri Jul  5 23:05:10 2024
Сибас Турция	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/sibas-turcia-81554	Wed Jul  3 15:04:16 2024	Сибас Турция	Цена899,00 ₽	none	none	16.0 г	1.0 г	none	none	True	True	Fri Jul  5 23:05:11 2024
Форель стейк	1 349,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-stejk-3394126	Wed Jul  3 15:04:16 2024	Форель стейк	Цена1 349,00 ₽	none	94.0	19.0 г	2.0 г	none	Форель. 	True	True	Fri Jul  5 23:05:12 2024
Камбала потрошеная без головы Мурманск	299,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/kambala-potrosenaa-bez-golovy-murmansk-2083076	Wed Jul  3 15:04:16 2024	Камбала потрошеная без головы Мурманск	Цена299,99 ₽	none	83.0	16.5 г	1.8 г	0.0 г	Камбала. 	True	True	Fri Jul  5 23:05:13 2024
Минтай	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/mintaj-3094397	Wed Jul  3 15:04:16 2024	Минтай	Цена229,99 ₽	none	72.0	15.9 г	0.9 г	none	Минтай. 	True	True	Fri Jul  5 23:05:14 2024
Окунь потрошеный	519,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/okun-potrosenyj-3016160	Wed Jul  3 15:04:16 2024	Окунь потрошеный	Цена599,99 ₽	none	none	18.2 г	3.3 г	none	Окунь. 	True	True	Fri Jul  5 23:05:14 2024
Зубатка пёстрая кусок охлаждённый	559,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/zubatka-pestraa-kusok-ohlazdennyj-30684	Wed Jul  3 15:04:16 2024	Зубатка пёстрая кусок охлаждённый	Цена559,99 ₽	none	126.0	19.6 г	5.3 г	none	none	True	True	Fri Jul  5 23:05:15 2024
Судак непотрошеный	469,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/sudak-nepotrosenyj-4477	Wed Jul  3 15:04:16 2024	Судак непотрошеный	Цена469,99 ₽	Тендер	84.0	18.4 г	1.1 г	none	Судак. 	True	True	Fri Jul  5 23:05:16 2024
Форель Балтийский Берег филе-кусок слабосолёная, 200г	502,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/forel-baltijskij-bereg-file-kusok-slabosolenaa-200g-3923407	Wed Jul  3 15:04:16 2024	Форель Балтийский Берег филе-кусок слабосолёная, 200г	Цена499,99 ₽	Балтийский Берег	190.0	20.0 г	12.0 г	0.0 г	Форель радужная, соль морская, соль, консерванты: Е211, Е202. 	True	True	Fri Jul  5 23:05:17 2024
