name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нерка Люди Любят стейк мороженый, 500г	549,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	Wed Jul  3 15:04:18 2024	Нерка Люди Любят стейк мороженый, 500г	Цена549,99 ₽	Люди Любят	157.0	20.3 г	8.4 г	0.0 г	Нерка, вода (защитная ледяная оболочка). 	True	True	Fri Jul  5 23:06:57 2024
Горбуша дальневосточная филе порционное Маркет, 400г	449,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	Wed Jul  3 15:04:18 2024	Горбуша дальневосточная филе порционное Маркет, 400г	Цена449,99 ₽	Маркет	140.0	21.0 г	6.5 г	0.0 г	Горбуша дальневосточная (oncorhynchus gorbuscha). 	True	True	Fri Jul  5 23:06:58 2024
Треска Borealis Атлантическая филе без кожи замороженное, 400г	839,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-bez-kozi-zamorozennoe-400g-4119553	Wed Jul  3 15:04:18 2024	Треска Borealis Атлантическая филе без кожи замороженное, 400г	Цена879,99 ₽	Borealis	77.0	17.0 г	1.0 г	0.0 г	Треска. 	True	True	Fri Jul  5 23:06:58 2024
Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	808,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3646643	Wed Jul  3 15:04:18 2024	Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	Цена898,99 ₽	Borealis	77.0	17.0 г	1.0 г	0.0 г	Треска атлантическая однократной заморозки. 	True	True	Fri Jul  5 23:06:59 2024
Палтус Borealis Синекорый стейки замороженные, 400г	819,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/812/p/paltus-borealis-sinekoryj-stejki-zamorozennye-400g-3664717	Wed Jul  3 15:04:18 2024	Палтус Borealis Синекорый стейки замороженные, 400г	Цена819,99 ₽	Borealis	177.0	15.0 г	13.0 г	0.0 г	Палтус синекорый однократной заморозки. 	True	True	Fri Jul  5 23:07:00 2024
Камбала желтоперая филе порционное Маркет, 400г	239,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/kambala-zeltoperaa-file-porcionnoe-market-400g-4261366	Wed Jul  3 15:04:18 2024	Камбала желтоперая филе порционное Маркет, 400г	Цена239,99 ₽	Маркет	85.0	18.0 г	1.5 г	0.0 г	Камбала желтоперая (limanda aspera). 	True	True	Fri Jul  5 23:07:01 2024
Дорадо Вкус Арт неразделанная свежемороженая	1 099,00 ₽/кг	none	https://www.perekrestok.ru/cat/273/p/dorado-vkus-art-nerazdelannaa-svezemorozenaa-4307375	Wed Jul  3 15:04:18 2024	Дорадо Вкус Арт неразделанная свежемороженая	Цена969,99 ₽	Вкус Арт	206.0	20.0 г	14.0 г	0.0 г	Дорадо. 	True	True	Fri Jul  5 23:07:02 2024
Форель Вкус Арт стейк замороженный, 500г	629,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	Thu Jul  4 10:32:03 2024	Форель Вкус Арт стейк замороженный, 500г	Цена629,99 ₽	Вкус Арт	130.0	18.8 г	4.6 г	0.0 г	Форель радужная, вода (защитная глазурь). 	True	True	Fri Jul  5 23:07:03 2024
Треска атлантическая Borealis стейк замороженный, 600г	699,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/812/p/treska-atlanticeskaa-borealis-stejk-zamorozennyj-600g-4023639	Thu Jul  4 10:32:03 2024	Треска атлантическая Borealis стейк замороженный, 600г	Цена699,99 ₽	Borealis	77.0	17.0 г	1.0 г	0.0 г	Треска атлантическая однократной заморозки. 	True	True	Fri Jul  5 23:07:04 2024
Треска Borealis атлантическая филе спинка без кожи без костей замороженная, 400г	839,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/273/p/treska-borealis-atlanticeskaa-file-spinka-bez-kozi-bez-kostej-zamorozennaa-400g-4319798	Thu Jul  4 10:32:03 2024	Треска Borealis атлантическая филе спинка без кожи без костей замороженная, 400г	Цена839,99 ₽	Borealis	80.0	17.0 г	1.0 г	0.0 г	Треска атлантическая, филе спинка без кожи и костей, вода питьевая. 	True	True	Fri Jul  5 23:07:05 2024
