name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Каша овсяная с малиной моментальная Маркет, 35г	12,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-s-malinoj-momentalnaa-market-35g-4312718	Wed Jul  3 15:04:59 2024	Каша овсяная с малиной моментальная Маркет, 35г	Цена12,99 ₽	Маркет	370.0	10.0 г	5.0 г	69.0 г	Хлопья овсяные, сахар, соль, малина сушёная, ароматизатор. 	True	True	Fri Jul  5 23:34:20 2024
Каша овсяная Традиционная быстрого приготовления со сливками Пр!ст, 35г	9,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-tradicionnaa-bystrogo-prigotovlenia-so-slivkami-pr-st-35g-3480286	Wed Jul  3 15:04:59 2024	Каша овсяная Традиционная быстрого приготовления со сливками Пр!ст, 35г	Цена9,99 ₽	Пр!ст	318.0	11.0 г	6.0 г	55.0 г	Хлопья овсяные, сахар, сливки растительные сухие (глюкозный сироп сухой, растительный жир, молочный белок), сливки сухие, соль. Противопоказано при индивидуальной непереносимости к молочному белку. 	True	True	Fri Jul  5 23:34:21 2024
Каша овсяная с вишней моментальная Маркет, 35г	12,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-s-visnej-momentalnaa-market-35g-4312717	Wed Jul  3 15:04:59 2024	Каша овсяная с вишней моментальная Маркет, 35г	Цена12,99 ₽	Маркет	370.0	10.0 г	5.0 г	69.0 г	Хлопья овсяные, сахар, соль, вишня сушёная, ароматизатор. 	True	True	Fri Jul  5 23:34:22 2024
Каша овсяная быстрого приготовления с яблоком Пр!ст, 35г	9,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-bystrogo-prigotovlenia-s-ablokom-pr-st-35g-3480288	Wed Jul  3 15:04:59 2024	Каша овсяная быстрого приготовления с яблоком Пр!ст, 35г	Цена9,99 ₽	Пр!ст	290.0	9.5 г	4.5 г	54.0 г	Хлопья овсяные, сахар, яблоко сушеное, соль, ароматизатор яблоко. Продукт может содержать следы молочного белка. 	True	True	Fri Jul  5 23:34:23 2024
Каша овсяная Увелка Ассорти быстрого приготовления, 5х40г	99,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-uvelka-assorti-bystrogo-prigotovlenia-5h40g-3424764	Wed Jul  3 15:04:59 2024	Каша овсяная Увелка Ассорти быстрого приготовления, 5х40г	Цена144,99 ₽	Увелка	360.0	9.0 г	4.0 г	72.0 г	"Каша овсяная быстрого приготовления с яблоком: хлопья овсяные, сахар, яблоко сушеное, соль поваренная пищевая, ароматизатор «Яблоко»(вкусоароматические вещества, мальтодекстрин, стабилизатор – гуммиарабик). Содержит глютен. Каша овсяная быстрого приготовления с клубникой: хлопья овсяные, сахар, клубника сушеная, соль поваренная пищевая, ароматизатор ""Клубника""(ароматические вещества; декстроза (глюкоза); мальтодекстрин; стабилизатор - гуммиарабик, агент влагоудерживающий - триацетин). Содержит глютен. Каша овсяная быстрого приготовления с персиком: хлопья овсяные, сахар, персик сушеный, соль поваренная пищевая, ароматизатор «Персик» (ароматические вещества, натуральные ароматические вещества; мальтодекстрин, агент влагоудерживающий – триацетин, стабилизатор – гуммиарабик). Содержит глютен. Каша овсяная быстрого приготовления с малиной: хлопья овсяные, сахар, малина сушеная, соль поваренная пищевая, ароматизатор «Малина» (ароматические субстанции, мальтодекстрин; декстроза (глюкоза); стабилизатор – гуммиарабик, консервант – диацетат натрия). Содержит глютен. "	True	True	Fri Jul  5 23:34:24 2024
Каша овсяная Быстров Пребио Без варки с малиной и молоком, 240г	249,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-bystrov-prebio-bez-varki-s-malinoj-i-molokom-240g-3220883	Wed Jul  3 15:04:59 2024	Каша овсяная Быстров Пребио Без варки с малиной и молоком, 240г	Цена249,99 ₽	Быстров	373.0	10.0 г	5.9 г	65.0 г	Хлопья овсяные из цельных злаков (содержат глютен (клейковину)) (72,9%), сахар, сыворотка молочная сухая, сухое цельное молоко (3%), малина (1,6%), соль морская, ароматизатор (малина). Продукт может содержать орехи. 	True	True	Fri Jul  5 23:34:25 2024
Хлопья Быстров овсяные не требующие варки с клубникой и молоком, 40г	33,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-ovsanye-ne-trebuusie-varki-s-klubnikoj-i-molokom-40g-4349401	Wed Jul  3 15:04:59 2024	Хлопья Быстров овсяные не требующие варки с клубникой и молоком, 40г	Цена33,99 ₽	Быстров	368.0	11.0 г	5.3 г	65.0 г	хлопья овсяные из цельных злаков (73,6%) (содержат глютен (клейковину)), сахар, сыворотка молочная сухая, обезжиренное сухое молоко (2,7%), клубника (1,9%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. 	True	True	Fri Jul  5 23:34:26 2024
Хлопья овсяные быстрого приготовления Пр!ст, 400г	49,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/755/p/hlopa-ovsanye-bystrogo-prigotovlenia-pr-st-400g-3503161	Wed Jul  3 15:04:59 2024	Хлопья овсяные быстрого приготовления Пр!ст, 400г	Цена49,99 ₽	Пр!ст	342.0	12.3 г	6.1 г	59.5 г	Хлопья овсяные быстрого приготовления. 	True	True	Fri Jul  5 23:34:27 2024
Хлопья Быстров Ассорти овсяные не требующие варки с молоком, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-assorti-ovsanye-ne-trebuusie-varki-s-molokom-240g-4349403	Wed Jul  3 15:04:59 2024	Хлопья Быстров Ассорти овсяные не требующие варки с молоком, 240г	Цена169,99 ₽	Быстров	368.0	11.0 г	5.3 г	65.0 г	Клубника с молоком: хлопья овсяные из цельных злаков (73,6%) (содержат глютен (клейковину)), сахар, сыворотка молочная сухая, обезжиренное сухое молоко (2,7%), клубника (1,9%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут.  Малина с молоком: хлопья овсяные из цельных злаков (73,8%) (содержат глютен (клейковину)), сахар, сыворотка молочная сухая, обезжиренное сухое молоко (3%), малина (1,6%), соль, натуральный ароматизатор.  Продукт может содержать орехи, арахис и кунжут.  Лесные ягоды с молоком: хлопья овсяные из цельных злаков (74,9%) (содержат глютен (клейковину)), сахар, сыворотка молочная сухая, обезжиренное сухое молоко (2,3%), лесные ягоды (1,8%) (ежевика, черная смородина, черника, малина), соль, натуральный ароматизатор.  Продукт может содержать орехи, арахис и кунжут. 	True	True	Fri Jul  5 23:34:28 2024
Хлопья Быстров овсяные без варки ассорти с клубникой-персиком-черникой, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-ovsanye-bez-varki-assorti-s-klubnikoj-persikom-cernikoj-240g-4349398	Wed Jul  3 15:04:59 2024	Хлопья Быстров овсяные без варки ассорти с клубникой-персиком-черникой, 240г	Цена169,99 ₽	Быстров	369.0	9.8 г	5.5 г	66.0 г	Клубника без молока: хлопья овсяные из цельных злаков (77,2%) (содержат глютен (клейковину)), сахар, клубника (1,9%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. Персик без молока: хлопья овсяные из цельных злаков (79%) (содержат глютен (клейковину)), сахар, персик (1,5%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. Черника без молока: хлопья овсяные из цельных злаков (76,6%) (содержат глютен (клейковину)), сахар, черника (2%), соль, натуральный ароматизатор. Продукт может содержать орехи, арахис и кунжут. 	True	True	Fri Jul  5 23:34:29 2024
