name	url	locale	address	price
Вишня без косточки замороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-zamorozennaa-market-300g-4342877	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Малина быстрозамороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/malina-bystrozamorozennaa-market-300g-4315997	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Смородина черная быстрозамороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/smorodina-cernaa-bystrozamorozennaa-market-300g-4272209	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт
Вишня без косточки замороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-zamorozennaa-market-300g-4342877	spb	Санкт-Петербург, Биржевая площадь, 4	134,99 ₽/шт
Малина быстрозамороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/malina-bystrozamorozennaa-market-300g-4315997	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт
Клюква садовая быстрозамороженная Пр!ст, 700г	https://www.perekrestok.ru/cat/61/p/klukva-sadovaa-bystrozamorozennaa-pr-st-700g-4289122	spb	Санкт-Петербург, Биржевая площадь, 4	549,99 ₽/шт
Брусника замороженная	https://www.perekrestok.ru/cat/61/p/brusnika-zamorozennaa-91489	spb	Санкт-Петербург, Биржевая площадь, 4	449,90 ₽/кг
Черника быстрозамороженная Маркет Перекрёсток, 300г	https://www.perekrestok.ru/cat/61/p/cernika-bystrozamorozennaa-market-perekrestok-300g-4135309	spb	Санкт-Петербург, Биржевая площадь, 4	134,99 ₽/шт
Облепиха быстрозамороженная Маркет Перекрёсток, 300г	https://www.perekrestok.ru/cat/61/p/oblepiha-bystrozamorozennaa-market-perekrestok-300g-4135307	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Облепиха быстрозамороженная	https://www.perekrestok.ru/cat/61/p/oblepiha-bystrozamorozennaa-78004234	spb	Санкт-Петербург, Биржевая площадь, 4	249,90 ₽/кг
Брусника быстрозамороженная Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/61/p/brusnika-bystrozamorozennaa-market-perekrestok-400g-3489158	ekb	Екатеринбург, ул. Бориса Ельцина, 3	439,99 ₽/шт
Смородина черная быстрозамороженная Маркет, 300г	https://www.perekrestok.ru/cat/61/p/smorodina-cernaa-bystrozamorozennaa-market-300g-4272209	ekb	Екатеринбург, ул. Бориса Ельцина, 3	229,99 ₽/шт
