name	url	locale	address	price
Малина Маркет Fresh, 125г	https://www.perekrestok.ru/cat/1245/p/malina-market-fresh-125g-21151	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Малина, 250г	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	msk	Москва, Большой Патриарший переулок, 5	589,99 ₽/шт
Ежевика Маркет Fresh, 125г	https://www.perekrestok.ru/cat/154/p/ezevika-market-fresh-125g-20934	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Арбуз	https://www.perekrestok.ru/cat/154/p/arbuz-77410	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/кг
Голубика Маркет Fresh, 500г	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Голубика Маркет Fresh, 250г	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-250g-4052118	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
Малина свежая Маркет Fresh, 400г	https://www.perekrestok.ru/cat/154/p/malina-svezaa-market-fresh-400g-4302383	msk	Москва, Большой Патриарший переулок, 5	849,99 ₽/шт
Черешня отборная, 500г	https://www.perekrestok.ru/cat/154/p/ceresna-otbornaa-500g-4300902	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Черешня Россия, 500г	https://www.perekrestok.ru/cat/154/p/ceresna-rossia-500g-4299832	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
Черешня Россия	https://www.perekrestok.ru/cat/154/p/ceresna-rossia-4135451	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/кг
Черешня отборная	https://www.perekrestok.ru/cat/154/p/ceresna-otbornaa-4342145	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/кг
Клубника Маркет Fresh, 250г	https://www.perekrestok.ru/cat/154/p/klubnika-market-fresh-250g-11034	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Вишня	https://www.perekrestok.ru/cat/154/p/visna-71844	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/кг
Голубика Маркет Fresh, 125г	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-125g-48663	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
