name	url	locale	address	price	time
Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-so-market-perekrestok-10st-3634491	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Белок яичный пастеризованный Зелёная Линия, 330мл	https://www.perekrestok.ru/cat/123/p/belok-aicnyj-pasterizovannyj-zelenaa-linia-330ml-4235685	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное С1 Пр!ст, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-s1-pr-st-10st-4085791	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Окское столовое С1, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-okskoe-stolovoe-s1-10st-3062836	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Лето С1, 20шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-leto-s1-20st-3341462	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо Окское белое столовое С1, 30шт	https://www.perekrestok.ru/cat/123/p/ajco-okskoe-beloe-stolovoe-s1-30st-3062838	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо Село Зеленое Деревенское С1, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-selo-zelenoe-derevenskoe-s1-10st-3446505	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное пищевое столовое С1 Маркет Перекрёсток, 20шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s1-market-perekrestok-20st-4088955	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца Волжанин куриные пищевые столовые С1, 10шт	https://www.perekrestok.ru/cat/123/p/ajca-volzanin-kurinye-pisevye-stolovye-s1-10st-4199268	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Окское столовое С2, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-okskoe-stolovoe-s2-10st-3355250	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо Окское столовое СО, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-okskoe-stolovoe-so-10st-3062835	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное пищевое столовое С0 Пр!ст, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s0-pr-st-10st-4085790	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Роскар Экстра СО, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-ekstra-so-10st-44323	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца Окское куриные отборной категории, 20шт	https://www.perekrestok.ru/cat/123/p/ajca-okskoe-kurinye-otbornoj-kategorii-20st-4263543	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца Волжанин куриные пищевые столовые отборной категории, 6шт	https://www.perekrestok.ru/cat/123/p/ajca-volzanin-kurinye-pisevye-stolovye-otbornoj-kategorii-6st-4202935	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца перепелиные 0 Калорий Шепиловские копчёные, 15шт	https://www.perekrestok.ru/cat/123/p/ajca-perepelinye-0-kalorij-sepilovskie-kopcenye-15st-4252144	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо Ecodar цесарки пищевое, 6шт	https://www.perekrestok.ru/cat/123/p/ajco-ecodar-cesarki-pisevoe-6st-4299856	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Желток яичный пастеризованный охлаждённый жидкий Зелёная Линия, 330мл	https://www.perekrestok.ru/cat/123/p/zeltok-aicnyj-pasterizovannyj-ohlazdennyj-zidkij-zelenaa-linia-330ml-4304241	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо Ecodar фазана столовое, 6шт	https://www.perekrestok.ru/cat/123/p/ajco-ecodar-fazana-stolovoe-6st-4299858	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-so-market-perekrestok-10st-3634491	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-market-perekrestok-10st-3662512	spb	Санкт-Петербург, Биржевая площадь, 4	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694	spb	Санкт-Петербург, Биржевая площадь, 4	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо перепелиное столовое Маркет Перекрёсток, 20шт	https://www.perekrestok.ru/cat/123/p/ajco-perepelinoe-stolovoe-market-perekrestok-20st-3477870	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Синявинская ПФ К завтраку С1, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-sinavinskaa-pf-k-zavtraku-s1-10st-2131763	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Роскар Экстра С1, 15шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-ekstra-s1-15st-3303858	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Роскар Деревенское С1, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-derevenskoe-s1-10st-33654	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное пищевое столовое С1 Маркет Перекрёсток, 20шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s1-market-perekrestok-20st-4088955	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное С1 Пр!ст, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-s1-pr-st-10st-4085791	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца Синявинское куриные пищевые столовые C2, 10шт	https://www.perekrestok.ru/cat/123/p/ajca-sinavinskoe-kurinye-pisevye-stolovye-c2-10st-4332218	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное Роскар Экстра СО, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-ekstra-so-10st-44323	spb	Санкт-Петербург, Биржевая площадь, 4	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйца Волжанин куриные пищевые столовые отборной категории, 6шт	https://www.perekrestok.ru/cat/123/p/ajca-volzanin-kurinye-pisevye-stolovye-otbornoj-kategorii-6st-4202935	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-so-market-perekrestok-10st-3634491	ekb	Екатеринбург, ул. Бориса Ельцина, 3	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-market-perekrestok-10st-3662512	ekb	Екатеринбург, ул. Бориса Ельцина, 3	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694	ekb	Екатеринбург, ул. Бориса Ельцина, 3	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Белок яичный пастеризованный Зелёная Линия, 330мл	https://www.perekrestok.ru/cat/123/p/belok-aicnyj-pasterizovannyj-zelenaa-linia-330ml-4235685	ekb	Екатеринбург, ул. Бориса Ельцина, 3	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Яйцо перепелиное столовое Маркет Перекрёсток, 20шт	https://www.perekrestok.ru/cat/123/p/ajco-perepelinoe-stolovoe-market-perekrestok-20st-3477870	ekb	Екатеринбург, ул. Бориса Ельцина, 3	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
