name	url	locale	address	price
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	msk	Москва, Большой Патриарший переулок, 5	1 299,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Бальзам Валаам Монастырский Сбор 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-valaam-monastyrskij-sbor-40-500ml-4319043	spb	Санкт-Петербург, Биржевая площадь, 4	599,99 ₽/шт
Бальзам Ruskeala Крафт курант 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-kraft-kurant-35-500ml-4112880	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Бальзам Карельский 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-karelskij-45-500ml-3666759	spb	Санкт-Петербург, Биржевая площадь, 4	739,99 ₽/шт
Бальзам Ruskeala Северная мята 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-severnaa-mata-35-500ml-4112883	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Бальзам Ruskeala Дикая вишня 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-dikaa-visna-35-500ml-4112882	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Бальзам Ruskeala Ориджинал блэк 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-oridzinal-blek-40-500ml-4112881	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Бальзам Карельский 45%, 250мл	https://www.perekrestok.ru/cat/17/p/balzam-karelskij-45-250ml-4058507	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	spb	Санкт-Петербург, Биржевая площадь, 4	449,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	spb	Санкт-Петербург, Биржевая площадь, 4	1 299,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт
Бальзам Ruskeala Дикая вишня 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-dikaa-visna-35-500ml-4112882	ekb	Екатеринбург, ул. Бориса Ельцина, 3	559,99 ₽/шт
Бальзам Пять Озёр Сибирский 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-pat-ozer-sibirskij-35-500ml-4264350	ekb	Екатеринбург, ул. Бориса Ельцина, 3	399,99 ₽/шт
Бальзам Бугульма 40%, 250мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-250ml-4119616	ekb	Екатеринбург, ул. Бориса Ельцина, 3	249,99 ₽/шт
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	ekb	Екатеринбург, ул. Бориса Ельцина, 3	499,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	ekb	Екатеринбург, ул. Бориса Ельцина, 3	1 349,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	ekb	Екатеринбург, ул. Бориса Ельцина, 3	289,99 ₽/шт
Бальзам Ruskeala Дикая вишня 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-dikaa-visna-35-500ml-4112882	nn	Нижний Новгород, площадь Минина и Пожарского, 2	579,99 ₽/шт
Бальзам Пять Озёр Сибирский 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-pat-ozer-sibirskij-35-500ml-4264350	nn	Нижний Новгород, площадь Минина и Пожарского, 2	399,99 ₽/шт
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	nn	Нижний Новгород, площадь Минина и Пожарского, 2	489,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	nn	Нижний Новгород, площадь Минина и Пожарского, 2	1 299,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	nn	Нижний Новгород, площадь Минина и Пожарского, 2	289,99 ₽/шт
Бальзам Пять Озёр Сибирский 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-pat-ozer-sibirskij-35-500ml-4264350	pg	Пятигорск, улица Малыгина, 5	399,99 ₽/шт
Бальзам Стрижамент 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-strizament-40-500ml-3382167	pg	Пятигорск, улица Малыгина, 5	459,99 ₽/шт
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	pg	Пятигорск, улица Малыгина, 5	479,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	pg	Пятигорск, улица Малыгина, 5	1 449,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	pg	Пятигорск, улица Малыгина, 5	289,99 ₽/шт
Бальзам Ruskeala Дикая вишня 35%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-ruskeala-dikaa-visna-35-500ml-4112882	rnd	Ростов-на-Дону, Будённовский проспект, 45	579,99 ₽/шт
Бальзам Бугульма 40%, 250мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-250ml-4119616	rnd	Ростов-на-Дону, Будённовский проспект, 45	209,99 ₽/шт
Бальзам Стрижамент 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-strizament-40-500ml-3382167	rnd	Ростов-на-Дону, Будённовский проспект, 45	459,99 ₽/шт
Бальзам Бугульма 40%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-bugulma-40-500ml-3407669	rnd	Ростов-на-Дону, Будённовский проспект, 45	489,99 ₽/шт
Бальзам Riga Black Balsam Чёрный 45%, 500мл	https://www.perekrestok.ru/cat/17/p/balzam-riga-black-balsam-cernyj-45-500ml-68525	rnd	Ростов-на-Дону, Будённовский проспект, 45	1 299,00 ₽/шт
Настойка на коньяке Сормовская Клюква сладкая 19%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-na-konake-sormovskaa-klukva-sladkaa-19-500ml-4273857	rnd	Ростов-на-Дону, Будённовский проспект, 45	289,99 ₽/шт
