name	url	locale	address	price
Нут Зелёная Линия, 350г	https://www.perekrestok.ru/cat/252/p/nut-zelenaa-linia-350g-4151858	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Горох шлифованный колотый Маркет, 800г	https://www.perekrestok.ru/cat/745/p/goroh-slifovannyj-kolotyj-market-800g-4306938	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Горох Скайфуд колотый шлифованный, 900г	https://www.perekrestok.ru/cat/745/p/goroh-skajfud-kolotyj-slifovannyj-900g-3232765	msk	Москва, Большой Патриарший переулок, 5	40,90 ₽/шт
Горох Мистраль Айдахо жёлтый колотый шлифованный, 500г	https://www.perekrestok.ru/cat/745/p/goroh-mistral-ajdaho-zeltyj-kolotyj-slifovannyj-500g-3422626	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт
Суп-пюре Yelli из гороха с карри, 250г	https://www.perekrestok.ru/cat/745/p/sup-pure-yelli-iz-goroha-s-karri-250g-3447289	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Горох Мистраль жёлтый колотый шлифованный, 900г	https://www.perekrestok.ru/cat/745/p/goroh-mistral-zeltyj-kolotyj-slifovannyj-900g-3469543	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Фасоль красная Пр!ст, 800г	https://www.perekrestok.ru/cat/745/p/fasol-krasnaa-pr-st-800g-4090104	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Фасоль Мистраль Кидни тёмно-красная, 450г	https://www.perekrestok.ru/cat/745/p/fasol-mistral-kidni-temno-krasnaa-450g-66066	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Фасоль Legurme красная отварная, 400г	https://www.perekrestok.ru/cat/745/p/fasol-legurme-krasnaa-otvarnaa-400g-4267998	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Фасоль белая Пр!ст, 800г	https://www.perekrestok.ru/cat/745/p/fasol-belaa-pr-st-800g-4090103	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Фасоль Мистраль Бланш белая мелкая, 450г	https://www.perekrestok.ru/cat/745/p/fasol-mistral-blans-belaa-melkaa-450g-3422624	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
