name	url	locale	address	price	time
Пудинг молочный Ehrmann High Protein шоколад ультрапастеризованный 1.5%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-ehrmann-high-protein-sokolad-ultrapasterizovannyj-1-5-200g-4101183	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Ehrmann High Protein со вкусом ванили ультрапастеризованный 1.5%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-ehrmann-high-protein-so-vkusom-vanili-ultrapasterizovannyj-1-5-200g-4101182	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг Эрмигурт шоколад 3.2%, 100г	https://www.perekrestok.ru/cat/658/p/puding-ermigurt-sokolad-3-2-100g-3341393	msk	Москва, Большой Патриарший переулок, 5	35,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Grand Dessert шоколад 5.2%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-sokolad-5-2-200g-3483437	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг Эрмигурт карамель 3%, 100г	https://www.perekrestok.ru/cat/658/p/puding-ermigurt-karamel-3-100g-3393999	msk	Москва, Большой Патриарший переулок, 5	35,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг Чудо шоколадный 3%, 125г	https://www.perekrestok.ru/cat/658/p/puding-cudo-sokoladnyj-3-125g-17032	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Село Зелёное ванильный 3%, 120г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-selo-zelenoe-vanilnyj-3-120g-3685272	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Grand Dessert ваниль 4.7%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-vanil-4-7-200g-3483427	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Grand Dessert Белый шоколад с клубничным муссом 6%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-belyj-sokolad-s-klubnicnym-mussom-6-200g-3666413	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Grand Dessert Двойной орех со сливочным муссом 4.9%, 200г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-dvojnoj-oreh-so-slivocnym-mussom-4-9-200g-3483430	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг молочный Село Зелёное шоколадный 3%, 120г	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-selo-zelenoe-sokoladnyj-3-120g-3685287	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пудинг Чудо Ваниль 3%, 125г	https://www.perekrestok.ru/cat/658/p/puding-cudo-vanil-3-125g-27980	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Желе со вкусом вишни пастеризованное Пр!ст, 150г	https://www.perekrestok.ru/cat/658/p/zele-so-vkusom-visni-pasterizovannoe-pr-st-150g-4270407	msk	Москва, Большой Патриарший переулок, 5	29,99 ₽/шт	Sun Jul  7 23:20:00 2024
Желе со вкусом яблока пастеризованное Пр!ст, 150г	https://www.perekrestok.ru/cat/658/p/zele-so-vkusom-abloka-pasterizovannoe-pr-st-150g-4270408	msk	Москва, Большой Патриарший переулок, 5	29,99 ₽/шт	Sun Jul  7 23:20:00 2024
Желе РАЭ фруктовое с вишней, 150г	https://www.perekrestok.ru/cat/658/p/zele-rae-fruktovoe-s-visnej-150g-3625278	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Желе со вкусом персика пастеризованное Пр!ст, 150г	https://www.perekrestok.ru/cat/658/p/zele-so-vkusom-persika-pasterizovannoe-pr-st-150g-4270409	msk	Москва, Большой Патриарший переулок, 5	29,99 ₽/шт	Sun Jul  7 23:20:00 2024
Десерт Манго Зелёная Линия, 200г	https://www.perekrestok.ru/cat/658/p/desert-mango-zelenaa-linia-200g-4341051	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
