name	url	locale	address	price	time
Напиток растворимый шиповник порошкообразный Зелёная Линия, 75г	https://www.perekrestok.ru/cat/216/p/napitok-rastvorimyj-sipovnik-poroskoobraznyj-zelenaa-linia-75g-4027805	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток растворимый шиповник порошкообразный Зелёная Линия, 75г	https://www.perekrestok.ru/cat/216/p/napitok-rastvorimyj-sipovnik-poroskoobraznyj-zelenaa-linia-75g-4027805	ekb	Екатеринбург, ул. Бориса Ельцина, 3	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Polezzno мате травяной, 50г	https://www.perekrestok.ru/cat/257/p/napitok-polezzno-mate-travanoj-50g-3939591	ekb	Екатеринбург, ул. Бориса Ельцина, 3	229,00 ₽/шт	Sun Jul  7 23:20:00 2024
Сироп Bifrut шиповник на фруктозе, 250мл	https://www.perekrestok.ru/cat/216/p/sirop-bifrut-sipovnik-na-fruktoze-250ml-2046147	ekb	Екатеринбург, ул. Бориса Ельцина, 3	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток растворимый шиповник порошкообразный Зелёная Линия, 75г	https://www.perekrestok.ru/cat/216/p/napitok-rastvorimyj-sipovnik-poroskoobraznyj-zelenaa-linia-75g-4027805	nn	Нижний Новгород, площадь Минина и Пожарского, 2	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Polezzno мате травяной, 50г	https://www.perekrestok.ru/cat/257/p/napitok-polezzno-mate-travanoj-50g-3939591	nn	Нижний Новгород, площадь Минина и Пожарского, 2	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Polezzno Ginger Slim Имбирь и лемонграсс растительный в фильтр-пакетах, 20x2г	https://www.perekrestok.ru/cat/257/p/napitok-polezzno-ginger-slim-imbir-i-lemongrass-rastitelnyj-v-filtr-paketah-20x2g-3939598	nn	Нижний Новгород, площадь Минина и Пожарского, 2	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сироп Bifrut шиповник на фруктозе, 250мл	https://www.perekrestok.ru/cat/216/p/sirop-bifrut-sipovnik-na-fruktoze-250ml-2046147	nn	Нижний Новгород, площадь Минина и Пожарского, 2	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток растворимый шиповник порошкообразный Зелёная Линия, 75г	https://www.perekrestok.ru/cat/216/p/napitok-rastvorimyj-sipovnik-poroskoobraznyj-zelenaa-linia-75g-4027805	pg	Пятигорск, улица Малыгина, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сироп Bifrut шиповник на фруктозе, 250мл	https://www.perekrestok.ru/cat/216/p/sirop-bifrut-sipovnik-na-fruktoze-250ml-2046147	pg	Пятигорск, улица Малыгина, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток растворимый шиповник порошкообразный Зелёная Линия, 75г	https://www.perekrestok.ru/cat/216/p/napitok-rastvorimyj-sipovnik-poroskoobraznyj-zelenaa-linia-75g-4027805	rnd	Ростов-на-Дону, Будённовский проспект, 45	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Polezzno мате травяной, 50г	https://www.perekrestok.ru/cat/257/p/napitok-polezzno-mate-travanoj-50g-3939591	rnd	Ростов-на-Дону, Будённовский проспект, 45	194,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Polezzno Ginger Slim Имбирь и лемонграсс растительный в фильтр-пакетах, 20x2г	https://www.perekrestok.ru/cat/257/p/napitok-polezzno-ginger-slim-imbir-i-lemongrass-rastitelnyj-v-filtr-paketah-20x2g-3939598	rnd	Ростов-на-Дону, Будённовский проспект, 45	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сироп Bifrut шиповник на фруктозе, 250мл	https://www.perekrestok.ru/cat/216/p/sirop-bifrut-sipovnik-na-fruktoze-250ml-2046147	rnd	Ростов-на-Дону, Будённовский проспект, 45	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
