name	url	locale	address	price	time
Батончик-мюсли ДиYes клюква-малина в йогурте, 25г	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-klukva-malina-v-jogurte-25g-3455919	msk	Москва, Большой Патриарший переулок, 5	27,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик-мюсли ДиYes черника без сахара, 25г	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-cernika-bez-sahara-25g-3455922	msk	Москва, Большой Патриарший переулок, 5	35,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Pikki миндаль-шоколад-апельсин, 35г	https://www.perekrestok.ru/cat/203/p/batoncik-pikki-mindal-sokolad-apelsin-35g-3503816	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик-мюсли Здоровый Перекус клюква, 55г	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-klukva-55g-3600318	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик-мюсли Здоровый Перекус черника, 55г	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-cernika-55g-3600319	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Smartbar Protein, 40г	https://www.perekrestok.ru/cat/189/p/batoncik-smartbar-protein-40g-3609088	msk	Москва, Большой Патриарший переулок, 5	60,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик-мюсли Здоровый Перекус орехи-мёд, 60г	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-orehi-med-60g-3476392	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Pikki клюква-кешью, 35г	https://www.perekrestok.ru/cat/203/p/batoncik-pikki-klukva-kesu-35g-3503817	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гематоген Фарм-Тигода Классический, 40г	https://www.perekrestok.ru/cat/297/p/gematogen-farm-tigoda-klassiceskij-40g-3604067	msk	Москва, Большой Патриарший переулок, 5	15,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Мой Лайк кофе-шоколад для энергии, 25г	https://www.perekrestok.ru/cat/189/p/batoncik-moj-lajk-kofe-sokolad-dla-energii-25g-3453753	msk	Москва, Большой Патриарший переулок, 5	19,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Smartbar Protein абрикос в йогуртовой глазури с высоким содержанием белка, 40г	https://www.perekrestok.ru/cat/189/p/batoncik-smartbar-protein-abrikos-v-jogurtovoj-glazuri-s-vysokim-soderzaniem-belka-40g-3621528	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Мой Лайк арония для иммунитета, 25г	https://www.perekrestok.ru/cat/189/p/batoncik-moj-lajk-aronia-dla-immuniteta-25g-3453754	msk	Москва, Большой Патриарший переулок, 5	17,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Мой Лайк апельсин для тонуса, 25г	https://www.perekrestok.ru/cat/189/p/batoncik-moj-lajk-apelsin-dla-tonusa-25g-3453748	msk	Москва, Большой Патриарший переулок, 5	18,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик Racionika Diet кокос, 60г	https://www.perekrestok.ru/cat/203/p/batoncik-racionika-diet-kokos-60g-3481054	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик орехово-фруктовый Take a Bite Настроение шоколад протеиновый без сахара, 45г	https://www.perekrestok.ru/cat/251/p/batoncik-orehovo-fruktovyj-take-a-bite-nastroenie-sokolad-proteinovyj-bez-sahara-45g-3982209	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Батончик фруктовый Ого! облепиха, 30г	https://www.perekrestok.ru/cat/189/p/batoncik-fruktovyj-ogo-oblepiha-30g-3600362	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Карамель Sula мультивитамин без сахара, 60г	https://www.perekrestok.ru/cat/189/p/karamel-sula-multivitamin-bez-sahara-60g-47451	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Карамель Sula лесная ягода без сахара, 60г	https://www.perekrestok.ru/cat/189/p/karamel-sula-lesnaa-agoda-bez-sahara-60g-47448	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфета кокос протеиновая Зелёная Линия, 30г	https://www.perekrestok.ru/cat/65/p/konfeta-kokos-proteinovaa-zelenaa-linia-30g-4109733	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфета кешью протеиновая Зелёная Линия, 30г	https://www.perekrestok.ru/cat/65/p/konfeta-kesu-proteinovaa-zelenaa-linia-30g-4109732	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Карамель Sula эвкалипт без сахара, 60г	https://www.perekrestok.ru/cat/189/p/karamel-sula-evkalipt-bez-sahara-60g-47453	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Bon Pastil Fresh клубника освежающие, 12г	https://www.perekrestok.ru/cat/189/p/konfety-bon-pastil-fresh-klubnika-osvezausie-12g-3440410	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
