name	url	locale	address	price
Джин Barrister 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-40-500ml-3629205	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт
Джин Rokeby's Half Crown London Dry 40.6%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-rokebys-half-crown-london-dry-40-6-700ml-4180471	msk	Москва, Большой Патриарший переулок, 5	1 399,00 ₽/шт
Джин Barrister Blue 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-blue-40-700ml-3921713	msk	Москва, Большой Патриарший переулок, 5	719,99 ₽/шт
Джин Gordon's London Dry сухой, 0.7л	https://www.perekrestok.ru/cat/1245/p/dzin-gordons-london-dry-suhoj-0-7l-4116908	msk	Москва, Большой Патриарший переулок, 5	1 429,00 ₽/шт
Джин Barrister Pink 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-pink-40-700ml-3921715	msk	Москва, Большой Патриарший переулок, 5	719,99 ₽/шт
Джин South Bank London dry 37.5%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-south-bank-london-dry-37-5-700ml-4266747	msk	Москва, Большой Патриарший переулок, 5	1 099,00 ₽/шт
Джин Barrister Wild Berry Fruits 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-wild-berry-fruits-40-700ml-4226889	msk	Москва, Большой Патриарший переулок, 5	719,99 ₽/шт
Джин Вереск, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-veresk-700ml-2046527	msk	Москва, Большой Патриарший переулок, 5	619,99 ₽/шт
Джин Ginster London dry 40%, 500мл	https://www.perekrestok.ru/cat/1245/p/dzin-ginster-london-dry-40-500ml-4283167	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт
Джин City of London со вкусом красного апельсина 40%, 700мл	https://www.perekrestok.ru/cat/1245/p/dzin-city-of-london-so-vkusom-krasnogo-apelsina-40-700ml-4266992	msk	Москва, Большой Патриарший переулок, 5	1 099,00 ₽/шт
Джин J.J. Whitley Пинк 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-j-j-whitley-pink-40-500ml-4217345	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Джин JJ Whitley Манго и папайя 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-jj-whitley-mango-i-papaja-40-500ml-4150426	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Джин Bulldog 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-bulldog-40-700ml-4058702	msk	Москва, Большой Патриарший переулок, 5	2 999,00 ₽/шт
Джин Cruxland 43%, 750мл	https://www.perekrestok.ru/cat/10/p/dzin-cruxland-43-750ml-3633714	msk	Москва, Большой Патриарший переулок, 5	2 699,00 ₽/шт
Джин Roku Gin 43%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-roku-gin-43-700ml-4043738	msk	Москва, Большой Патриарший переулок, 5	3 699,00 ₽/шт
Джин Barrister Old Tom 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-old-tom-40-700ml-3921716	msk	Москва, Большой Патриарший переулок, 5	829,99 ₽/шт
Джин Drop of Ginger оригинальный 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-drop-of-ginger-originalnyj-40-500ml-4285399	msk	Москва, Большой Патриарший переулок, 5	799,98 ₽/шт
Джин Whitley Neill со вкусом манго-лайм 40%, 700мл	https://www.perekrestok.ru/cat/1245/p/dzin-whitley-neill-so-vkusom-mango-lajm-40-700ml-4293652	msk	Москва, Большой Патриарший переулок, 5	999,99 ₽/шт
Джин Green Baboon Citrus 40%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-green-baboon-citrus-40-700ml-4157176	msk	Москва, Большой Патриарший переулок, 5	649,99 ₽/шт
Джин Ginato Clementino 43%, 700мл	https://www.perekrestok.ru/cat/10/p/dzin-ginato-clementino-43-700ml-4327394	msk	Москва, Большой Патриарший переулок, 5	2 399,00 ₽/шт
Джин Green Baboon Банана 37.5%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-green-baboon-banana-37-5-500ml-4259091	msk	Москва, Большой Патриарший переулок, 5	469,99 ₽/шт
Джин Ginato Melograno 43%, 700мл	https://www.perekrestok.ru/cat/1245/p/dzin-ginato-melograno-43-700ml-4327393	msk	Москва, Большой Патриарший переулок, 5	2 399,00 ₽/шт
Джин Bombay Sapphire 47%, 750мл	https://www.perekrestok.ru/cat/10/p/dzin-bombay-sapphire-47-750ml-53311	msk	Москва, Большой Патриарший переулок, 5	2 999,00 ₽/шт
Джин Snob 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-snob-40-500ml-4293341	msk	Москва, Большой Патриарший переулок, 5	899,98 ₽/шт
Джин Royal Raven Tropic Gin 40%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-royal-raven-tropic-gin-40-500ml-4336017	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Джин Broom Pacific 37.5%, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-broom-pacific-37-5-500ml-4355417	msk	Москва, Большой Патриарший переулок, 5	769,99 ₽/шт
Джин Локвуд Ориджинал драй, 500мл	https://www.perekrestok.ru/cat/10/p/dzin-lokvud-oridzinal-draj-500ml-4290714	msk	Москва, Большой Патриарший переулок, 5	569,99 ₽/шт
