name	url	locale	address	price	time
Энергетик XXI Power ананас безалкогольный газированный, 500мл	https://www.perekrestok.ru/cat/65/p/energetik-xxi-power-ananas-bezalkogolnyj-gazirovannyj-500ml-51176	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Adrenaline Rush, 449мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-adrenaline-rush-449ml-3931836	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Adrenaline Rush, 250мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-adrenaline-rush-250ml-58772	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Red Bull, 355мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-red-bull-355ml-2119252	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Red Bull, 473мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-red-bull-473ml-3173468	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Flash Up энергия мятный лайм безалкогольный тонизирующий, 450мл	https://www.perekrestok.ru/cat/206/p/napitok-flash-up-energia-matnyj-lajm-bezalkogolnyj-toniziruusij-450ml-4229369	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток безалкогольный Flash Up Ultra Energy энергетический газированный, 450 мл	https://www.perekrestok.ru/cat/206/p/napitok-bezalkogolnyj-flash-up-ultra-energy-energeticeskij-gazirovannyj-450-ml-4199222	msk	Москва, Большой Патриарший переулок, 5	91,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Flash Up Energy Bubble Gum банан-клубника, 450мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-flash-up-energy-bubble-gum-banan-klubnika-450ml-4308460	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетический напиток Burn Original, 330мл	https://www.perekrestok.ru/cat/206/p/energeticeskij-napitok-burn-original-330ml-4315389	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Энергетичесакий напиток Volt Energy голубика-гранат безалкогольный, 450мл	https://www.perekrestok.ru/cat/206/p/energeticesakij-napitok-volt-energy-golubika-granat-bezalkogolnyj-450ml-4274186	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
