name	url	locale	address	price
Фарш Говяжий мясной рубленый категории А охлаждённый	https://www.perekrestok.ru/cat/145/p/fars-govazij-masnoj-rublenyj-kategorii-a-ohlazdennyj-4323844	msk	Москва, Большой Патриарший переулок, 5	659,99 ₽/кг
Фарш Taurus из говядины и индейки категории Б охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-taurus-iz-govadiny-i-indejki-kategorii-b-ohlazdennyj-400g-4338792	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Фарш Хороший Кусок из говядины охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-horosij-kusok-iz-govadiny-ohlazdennyj-400g-4357432	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Фарш Перекрёсток свиной	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-svinoj-7354	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/кг
Фарш Ближние Горки деревенский охлаждённый категория В, 400г	https://www.perekrestok.ru/cat/145/p/fars-bliznie-gorki-derevenskij-ohlazdennyj-kategoria-v-400g-3681614	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Фарш Черкизово домашний полуфабрикат охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-cerkizovo-domasnij-polufabrikat-ohlazdennyj-400g-3430735	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Фарш Перекрёсток домашний	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	msk	Москва, Большой Патриарший переулок, 5	509,99 ₽/кг
Фарш Самсон домашний охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-samson-domasnij-ohlazdennyj-400g-3205754	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Фарш Мираторг любительский охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-miratorg-lubitelskij-ohlazdennyj-400g-3646881	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Фарш Самсон Домашний, 750г	https://www.perekrestok.ru/cat/145/p/fars-samson-domasnij-750g-3380542	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/шт
Фарш куриный Петелинка Премиум из филе грудки, 450г	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-petelinka-premium-iz-file-grudki-450g-4243884	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Фарш куриный Перекрёсток из филе грудки	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-perekrestok-iz-file-grudki-24408	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/кг
Фарш Перекрёсток куриный	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-kurinyj-57585	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/кг
Фарш Индилайт из филе грудки индейки охлаждённый, 450г	https://www.perekrestok.ru/cat/145/p/fars-indilajt-iz-file-grudki-indejki-ohlazdennyj-450g-4342592	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Фарш Пава-Пава Нежный из мяса индейки охлажденный, 450г	https://www.perekrestok.ru/cat/145/p/fars-pava-pava-neznyj-iz-masa-indejki-ohlazdennyj-450g-4267624	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Фарш из телятины Мясо Есть! охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-iz-telatiny-maso-est-ohlazdennyj-400g-4073125	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Фарш говяжий Самсон охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-govazij-samson-ohlazdennyj-400g-3205753	spb	Санкт-Петербург, Биржевая площадь, 4	379,99 ₽/шт
Фарш Говяжий мясной рубленый категории А охлаждённый	https://www.perekrestok.ru/cat/145/p/fars-govazij-masnoj-rublenyj-kategorii-a-ohlazdennyj-4323844	spb	Санкт-Петербург, Биржевая площадь, 4	589,99 ₽/кг
Фарш свиной Черкизово Крестьянский охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-svinoj-cerkizovo-krestanskij-ohlazdennyj-400g-4245450	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт
Фарш Перекрёсток домашний	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	spb	Санкт-Петербург, Биржевая площадь, 4	439,99 ₽/кг
Фарш куриный Перекрёсток из филе грудки	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-perekrestok-iz-file-grudki-24408	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/кг
Фарш Говяжий категории Б охлажденный Маркет, 400г	https://www.perekrestok.ru/cat/145/p/fars-govazij-kategorii-b-ohlazdennyj-market-400g-4299555	ekb	Екатеринбург, ул. Бориса Ельцина, 3	229,99 ₽/шт
Фарш свино-говяжий Мираторг домашний, 400г	https://www.perekrestok.ru/cat/145/p/fars-svino-govazij-miratorg-domasnij-400g-3673806	ekb	Екатеринбург, ул. Бориса Ельцина, 3	169,99 ₽/шт
Фарш Перекрёсток домашний	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	ekb	Екатеринбург, ул. Бориса Ельцина, 3	449,99 ₽/кг
Фарш Домашний из свинины и говядины категории Б охлажденный Маркет, 400г	https://www.perekrestok.ru/cat/145/p/fars-domasnij-iz-svininy-i-govadiny-kategorii-b-ohlazdennyj-market-400g-4299556	ekb	Екатеринбург, ул. Бориса Ельцина, 3	194,99 ₽/шт
Фарш Мираторг любительский охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-miratorg-lubitelskij-ohlazdennyj-400g-3646881	ekb	Екатеринбург, ул. Бориса Ельцина, 3	239,99 ₽/шт
Фарш Черкашин и Партнеръ Домашний охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-cerkasin-i-partner-domasnij-ohlazdennyj-400g-4064111	ekb	Екатеринбург, ул. Бориса Ельцина, 3	399,99 ₽/шт
Фарш куриный Перекрёсток из филе грудки	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-perekrestok-iz-file-grudki-24408	ekb	Екатеринбург, ул. Бориса Ельцина, 3	399,99 ₽/кг
Фарш Рефтинская ПФ Окорочковый из мяса птицы охлажденный, 700г	https://www.perekrestok.ru/cat/145/p/fars-reftinskaa-pf-okorockovyj-iz-masa-pticy-ohlazdennyj-700g-4297817	ekb	Екатеринбург, ул. Бориса Ельцина, 3	299,99 ₽/шт
Фарш Сибагро свиной мясной, 400г	https://www.perekrestok.ru/cat/145/p/fars-sibagro-svinoj-masnoj-400g-4111649	ekb	Екатеринбург, ул. Бориса Ельцина, 3	144,99 ₽/шт
Фарш Мираторг говяжий категории Б охлажденный, 400г	https://www.perekrestok.ru/cat/145/p/fars-miratorg-govazij-kategorii-b-ohlazdennyj-400g-4288090	nn	Нижний Новгород, площадь Минина и Пожарского, 2	299,99 ₽/шт
Фарш Говяжий мясной рубленый категории А охлаждённый	https://www.perekrestok.ru/cat/145/p/fars-govazij-masnoj-rublenyj-kategorii-a-ohlazdennyj-4323844	nn	Нижний Новгород, площадь Минина и Пожарского, 2	549,99 ₽/кг
Фарш из говядины Родные Места Болоньезе охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-iz-govadiny-rodnye-mesta-boloneze-ohlazdennyj-400g-4129579	nn	Нижний Новгород, площадь Минина и Пожарского, 2	239,99 ₽/шт
Фарш Хороший Кусок из говядины охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-horosij-kusok-iz-govadiny-ohlazdennyj-400g-4357432	nn	Нижний Новгород, площадь Минина и Пожарского, 2	259,99 ₽/шт
Фарш из свинины Атяшево классический охлаждённый категория В, 400г	https://www.perekrestok.ru/cat/145/p/fars-iz-svininy-atasevo-klassiceskij-ohlazdennyj-kategoria-v-400g-3681297	nn	Нижний Новгород, площадь Минина и Пожарского, 2	154,99 ₽/шт
Фарш Черкизово домашний полуфабрикат охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-cerkizovo-domasnij-polufabrikat-ohlazdennyj-400g-3430735	nn	Нижний Новгород, площадь Минина и Пожарского, 2	144,99 ₽/шт
Фарш Перекрёсток домашний	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	nn	Нижний Новгород, площадь Минина и Пожарского, 2	459,99 ₽/кг
Фарш Мираторг любительский охлаждённый, 400г	https://www.perekrestok.ru/cat/145/p/fars-miratorg-lubitelskij-ohlazdennyj-400g-3646881	nn	Нижний Новгород, площадь Минина и Пожарского, 2	184,99 ₽/шт
Фарш Фермерский  из свинины и говядины рубленый неформованный Категории Б, 400г	https://www.perekrestok.ru/cat/145/p/fars-fermerskij-iz-svininy-i-govadiny-rublenyj-neformovannyj-kategorii-b-400g-4226898	nn	Нижний Новгород, площадь Минина и Пожарского, 2	139,99 ₽/шт
Фарш Агроэко Фермерский мясной категории Б охлажденный, 400г	https://www.perekrestok.ru/cat/145/p/fars-agroeko-fermerskij-masnoj-kategorii-b-ohlazdennyj-400g-4297601	nn	Нижний Новгород, площадь Минина и Пожарского, 2	179,99 ₽/шт
