name	url	locale	address	price	time
Ананасы кусочки в лёгком сиропе Пр!ст, 565г	https://www.perekrestok.ru/cat/77/p/ananasy-kusocki-v-legkom-sirope-pr-st-565g-4089137	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Королевские кольца в сиропе Маркет Перекрёсток, 565г	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kolca-v-sirope-market-perekrestok-565g-3642259	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Королевские кусочки в сиропе Маркет Перекрёсток, 565г	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kusocki-v-sirope-market-perekrestok-565g-3642356	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Del Monte кусочки в соке, 230г	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-kusocki-v-soke-230g-17285	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы кольца в лёгком сиропе Пр!ст, 565г	https://www.perekrestok.ru/cat/77/p/ananasy-kolca-v-legkom-sirope-pr-st-565g-4089136	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Королевские кольца консервированные в сиропе Маркет Перекрёсток, 825г	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kolca-konservirovannye-v-sirope-market-perekrestok-825g-3904924	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Королевские кусочки консервированные в сиропе Маркет Перекрёсток, 825г	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kusocki-konservirovannye-v-sirope-market-perekrestok-825g-3904923	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Del Monte Gold кольца в соке, 435г	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-gold-kolca-v-soke-435g-4006526	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананасы Del Monte Gold кусочки в соке, 435г	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-gold-kusocki-v-soke-435g-4006525	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Персики дольки в сиропе Пр!ст, 425г	https://www.perekrestok.ru/cat/77/p/persiki-dolki-v-sirope-pr-st-425g-4322438	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
