name	url	locale	address	price
Стейк из мраморной говядины Мираторг Канзас без кости категория А охлаждённый, 390г	https://www.perekrestok.ru/cat/951/p/stejk-iz-mramornoj-govadiny-miratorg-kanzas-bez-kosti-kategoria-a-ohlazdennyj-390g-3935137	msk	Москва, Большой Патриарший переулок, 5	679,00 ₽/шт
Стейк Taurus Рибай категории А охлажденный, 300г	https://www.perekrestok.ru/cat/142/p/stejk-taurus-ribaj-kategorii-a-ohlazdennyj-300g-4302279	msk	Москва, Большой Патриарший переулок, 5	799,99 ₽/шт
Стейк говяжий Taurus стриплойн охлаждённый, 320г	https://www.perekrestok.ru/cat/951/p/stejk-govazij-taurus-striplojn-ohlazdennyj-320g-4237009	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/шт
Стейк говяжий Веско Мачете охлаждённый, 200г	https://www.perekrestok.ru/cat/951/p/stejk-govazij-vesko-macete-ohlazdennyj-200g-4118887	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Стейк Минутка из мраморной говядины категории А охлажденный Маркет Collection, 300г	https://www.perekrestok.ru/cat/142/p/stejk-minutka-iz-mramornoj-govadiny-kategorii-a-ohlazdennyj-market-collection-300g-4306231	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Стейк из телятины Мираторг Фитнес бескостный категория А охлаждённый, 350г	https://www.perekrestok.ru/cat/951/p/stejk-iz-telatiny-miratorg-fitnes-beskostnyj-kategoria-a-ohlazdennyj-350g-3935135	msk	Москва, Большой Патриарший переулок, 5	569,99 ₽/шт
Стейк из говядины Мираторг Рибай, 330г	https://www.perekrestok.ru/cat/951/p/stejk-iz-govadiny-miratorg-ribaj-330g-4174978	msk	Москва, Большой Патриарший переулок, 5	799,99 ₽/шт
Стейк Нью-Йорк категории А охлажденный Маркет Collection, 300г	https://www.perekrestok.ru/cat/142/p/stejk-nu-jork-kategorii-a-ohlazdennyj-market-collection-300g-4306232	msk	Москва, Большой Патриарший переулок, 5	679,99 ₽/шт
Стейк говяжий Мясо есть! Чак Ролл без кости категория А охлаждённый, 300г	https://www.perekrestok.ru/cat/142/p/stejk-govazij-maso-est-cak-roll-bez-kosti-kategoria-a-ohlazdennyj-300g-4061847	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт
Стейк говяжий Веско Фланк Стейк охлаждённый, 250г	https://www.perekrestok.ru/cat/951/p/stejk-govazij-vesko-flank-stejk-ohlazdennyj-250g-4118875	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Стейк говяжий Мираторг Black Angus Стриплойн без кости категория А охлаждённый, 320г	https://www.perekrestok.ru/cat/951/p/stejk-govazij-miratorg-black-angus-striplojn-bez-kosti-kategoria-a-ohlazdennyj-320g-3478151	msk	Москва, Большой Патриарший переулок, 5	879,99 ₽/шт
Стейк говяжий Мираторг Black Angus Рибай без кости категория А охлаждённый, 320г	https://www.perekrestok.ru/cat/951/p/stejk-govazij-miratorg-black-angus-ribaj-bez-kosti-kategoria-a-ohlazdennyj-320g-3478153	msk	Москва, Большой Патриарший переулок, 5	1 299,00 ₽/шт
Стейк Мясо Есть! Раунд из говядины мелкокусковой бескостный категории А охлажденный, 200г	https://www.perekrestok.ru/cat/951/p/stejk-maso-est-raund-iz-govadiny-melkokuskovoj-beskostnyj-kategorii-a-ohlazdennyj-200g-4221215	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
