name	url	locale	address	price	time
Гренки ржано-пшеничные с чесноком Зелёная Линия, 100г	https://www.perekrestok.ru/cat/712/p/grenki-rzano-psenicnye-s-cesnokom-zelenaa-linia-100g-4301063	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Волнистые со вкусом чеснока, 75г	https://www.perekrestok.ru/cat/712/p/grenki-volnistye-so-vkusom-cesnoka-75g-3689060	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Black Бери! ржано-пшеничные со вкусом чеснока, 100г	https://www.perekrestok.ru/cat/712/p/grenki-black-beri-rzano-psenicnye-so-vkusom-cesnoka-100g-3916637	msk	Москва, Большой Патриарший переулок, 5	91,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Богатырские традиции Чеснок, 80г	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-cesnok-80g-4349521	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки 5D Томат с чесноком, 45г	https://www.perekrestok.ru/cat/711/p/grenki-5d-tomat-s-cesnokom-45g-4350321	msk	Москва, Большой Патриарший переулок, 5	24,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Фишка со вкусом говядины по-японски, 120г	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-govadiny-po-aponski-120g-3688002	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Фишка со вкусом сибирского холодца с хреном, 120г	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-sibirskogo-holodca-s-hrenom-120g-3688000	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Гренцы ржано-пшеничные со вкусом крылышек барбекю, 100г	https://www.perekrestok.ru/cat/712/p/grenki-grency-rzano-psenicnye-so-vkusom-krylysek-barbeku-100g-4192519	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Фишка со вкусом итальянской пиццы, 120г	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-italanskoj-piccy-120g-3688061	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Крутец пшеничные с шашлыком-ржаные с томат, 100г	https://www.perekrestok.ru/cat/712/p/grenki-krutec-psenicnye-s-saslykom-rzanye-s-tomat-100g-4221847	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Крутец Двойной пшенично-ржаные со вкусом горчицы и баварских колбасок, 100г	https://www.perekrestok.ru/cat/712/p/grenki-krutec-dvojnoj-psenicno-rzanye-so-vkusom-gorcicy-i-bavarskih-kolbasok-100g-4221836	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки  Гренковъ ржано-пшеничные со вкусом холодца с хреном, 100г	https://www.perekrestok.ru/cat/712/p/grenki-grenkov-rzano-psenicnye-so-vkusom-holodca-s-hrenom-100g-4300172	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Фишка со вкусом альпийской сметаны с луком, 120г	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-alpijskoj-smetany-s-lukom-120g-3687989	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Богатырские традиции Рак с укропом, 80г	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-rak-s-ukropom-80g-4349524	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки ржано-пшеничные со вкусом аджики Зелёная Линия, 100г	https://www.perekrestok.ru/cat/712/p/grenki-rzano-psenicnye-so-vkusom-adziki-zelenaa-linia-100g-4300950	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки хлебные Деревенские гренки с аджикой, 100г	https://www.perekrestok.ru/cat/712/p/palocki-hlebnye-derevenskie-grenki-s-adzikoj-100g-3651151	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Vian Гренок будешь? ржано-пшеничные со вкусом аджики, 100г	https://www.perekrestok.ru/cat/712/p/grenki-vian-grenok-budes-rzano-psenicnye-so-vkusom-adziki-100g-4117183	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Хруст со вкусом кимчи рамен, 75г	https://www.perekrestok.ru/cat/712/p/grenki-hrust-so-vkusom-kimci-ramen-75g-4243985	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки 5D Малосольные огурчики, 45г	https://www.perekrestok.ru/cat/711/p/grenki-5d-malosolnye-ogurciki-45g-4350322	msk	Москва, Большой Патриарший переулок, 5	24,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Богатырские традиции Холодец с хреном, 80г	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-holodec-s-hrenom-80g-4349522	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки 5D Холодец с хреном, 45г	https://www.perekrestok.ru/cat/711/p/grenki-5d-holodec-s-hrenom-45g-4350320	msk	Москва, Большой Патриарший переулок, 5	24,99 ₽/шт	Sun Jul  7 23:20:00 2024
