name	url	locale	address	price
Шампиньоны Маркет Fresh, 400г	https://www.perekrestok.ru/cat/155/p/sampinony-market-fresh-400g-3210027	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Шампиньоны, 250г	https://www.perekrestok.ru/cat/155/p/sampinony-250g-6176	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Шампиньоны	https://www.perekrestok.ru/cat/155/p/sampinony-59120	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/кг
Шампиньоны Королевские Маркет Fresh, 300г	https://www.perekrestok.ru/cat/155/p/sampinony-korolevskie-market-fresh-300g-4280106	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Шампиньоны мини Маркет, 300г	https://www.perekrestok.ru/cat/155/p/sampinony-mini-market-300g-3683919	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Опята культивируемые, 200г	https://www.perekrestok.ru/cat/155/p/opata-kultiviruemye-200g-3993588	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Грибы белые сушеные Зелёная Линия, 40г	https://www.perekrestok.ru/cat/155/p/griby-belye-susenye-zelenaa-linia-40g-4254816	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Вешенки культивируемые Маркет Fresh, 300г	https://www.perekrestok.ru/cat/155/p/vesenki-kultiviruemye-market-fresh-300g-2029404	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Грибы еноки, 100г	https://www.perekrestok.ru/cat/155/p/griby-enoki-100g-2143004	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Грибы Шиитаке, 150г	https://www.perekrestok.ru/cat/155/p/griby-siitake-150g-4342930	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Грибы Экопродукт Ассорти сушёные, 50г	https://www.perekrestok.ru/cat/155/p/griby-ekoprodukt-assorti-susenye-50g-59754	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Лисички, 250г	https://www.perekrestok.ru/cat/155/p/lisicki-250g-3683540	spb	Санкт-Петербург, Биржевая площадь, 4	379,99 ₽/шт
Шампиньоны Маркет Fresh, 400г	https://www.perekrestok.ru/cat/155/p/sampinony-market-fresh-400g-3210027	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт
Шампиньоны, 250г	https://www.perekrestok.ru/cat/155/p/sampinony-250g-6176	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт
