name	url	locale	address	price
Хлебец Белый с отрубями нарезанный Зелёная Линия, 300г	https://www.perekrestok.ru/cat/243/p/hlebec-belyj-s-otrubami-narezannyj-zelenaa-linia-300g-4323653	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт
Хлеб Harry's American Sandwich сандвичный пшеничный, 470г	https://www.perekrestok.ru/cat/243/p/hleb-harrys-american-sandwich-sandvicnyj-psenicnyj-470g-2061861	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Хлеб Щелковохлеб тостовый нарезка, 240г	https://www.perekrestok.ru/cat/243/p/hleb-selkovohleb-tostovyj-narezka-240g-3284334	msk	Москва, Большой Патриарший переулок, 5	41,99 ₽/шт
Хлеб Хлебный Дом Геркулес с кукурузой нарезка, 255г	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-gerkules-s-kukuruzoj-narezka-255g-3961492	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Булочка для хот-дога 4шт Маркет, 240г	https://www.perekrestok.ru/cat/243/p/bulocka-dla-hot-doga-4st-market-240g-4317073	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт
Булочка для гамбургера с кунжутом 3шт Маркет, 165г	https://www.perekrestok.ru/cat/243/p/bulocka-dla-gamburgera-s-kunzutom-3st-market-165g-4317052	msk	Москва, Большой Патриарший переулок, 5	63,99 ₽/шт
Хлеб Черемушки бездрожжевой нарезка, 320г	https://www.perekrestok.ru/cat/243/p/hleb-ceremuski-bezdrozzevoj-narezka-320g-4059494	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт
Хлеб Щелковохлеб тостовый молочный нарезанный, 240г	https://www.perekrestok.ru/cat/243/p/hleb-selkovohleb-tostovyj-molocnyj-narezannyj-240g-4315652	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт
Паляница Черемушки Украинская половинка нарезка, 300г	https://www.perekrestok.ru/cat/243/p/palanica-ceremuski-ukrainskaa-polovinka-narezka-300g-3639289	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Хлеб Хлебозавод 28 Для Фитнеса нарезка, 300г	https://www.perekrestok.ru/cat/243/p/hleb-hlebozavod-28-dla-fitnesa-narezka-300g-4018850	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Хлеб Экстра нарезка, 450г	https://www.perekrestok.ru/cat/243/p/hleb-ekstra-narezka-450g-53610	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Хлеб Harry's American Sandwich пшеничный с отрубями, 515г	https://www.perekrestok.ru/cat/243/p/hleb-harrys-american-sandwich-psenicnyj-s-otrubami-515g-2061863	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Хлеб Черемушки Кукурузный нарезанный в упаковке, 300г	https://www.perekrestok.ru/cat/243/p/hleb-ceremuski-kukuruznyj-narezannyj-v-upakovke-300g-4298846	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Хлеб Коломенский Даниловский пшеничный нарезанный, 250г	https://www.perekrestok.ru/cat/243/p/hleb-kolomenskij-danilovskij-psenicnyj-narezannyj-250g-4332762	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт
Булочка Щелковохлеб для хот-дога, 4х75г	https://www.perekrestok.ru/cat/243/p/bulocka-selkovohleb-dla-hot-doga-4h75g-3357346	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт
Хлеб Хлебное местечко бездрожжевой с семечками и мёдом, 300г	https://www.perekrestok.ru/cat/243/p/hleb-hlebnoe-mestecko-bezdrozzevoj-s-semeckami-i-medom-300g-4245443	msk	Москва, Большой Патриарший переулок, 5	83,99 ₽/шт
Булочка Маркет Перекрёсток для гамбургера пшеничная нарезанная, 135г	https://www.perekrestok.ru/cat/243/p/bulocka-market-perekrestok-dla-gamburgera-psenicnaa-narezannaa-135g-4239209	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт
Булочка Щелковохлеб для гамбургера, 4х60г	https://www.perekrestok.ru/cat/243/p/bulocka-selkovohleb-dla-gamburgera-4h60g-3496198	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт
Батон Коломенское Нарезной, 400г	https://www.perekrestok.ru/cat/243/p/baton-kolomenskoe-nareznoj-400g-2065120	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Батон Черемушки нарезка высший сорт, 400г	https://www.perekrestok.ru/cat/243/p/baton-ceremuski-narezka-vyssij-sort-400g-2149542	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт
