name	url	locale	address	price
Галеты для вина томат и петрушка Маркет Collection, 100г	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-tomat-i-petruska-market-collection-100g-4306205	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Хлебцы Baker House Итальянские с семенами подсолнечника, 250г	https://www.perekrestok.ru/cat/245/p/hlebcy-baker-house-italanskie-s-semenami-podsolnecnika-250g-3476098	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Хлебцы Вкусная Фантазия Виктория пшеничные вафельные, 60г	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-psenicnye-vafelnye-60g-3412317	msk	Москва, Большой Патриарший переулок, 5	31,99 ₽/шт
Хлебцы Вкусная Фантазия Виктория овсяные вафельные, 60г	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-ovsanye-vafelnye-60g-3412323	msk	Москва, Большой Патриарший переулок, 5	29,99 ₽/шт
Хлебцы Baker House Итальянские с розмарином и чесноком, 250г	https://www.perekrestok.ru/cat/245/p/hlebcy-baker-house-italanskie-s-rozmarinom-i-cesnokom-250g-3476099	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Хлебцы Baker House Итальянские овощной микс, 250г	https://www.perekrestok.ru/cat/245/p/hlebcy-baker-house-italanskie-ovosnoj-miks-250g-3952943	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Галеты для вина с ароматными травами Маркет Collection, 100г	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-s-aromatnymi-travami-market-collection-100g-4306206	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Хлебцы Cornation зерновые гречневые, 100г	https://www.perekrestok.ru/cat/251/p/hlebcy-cornation-zernovye-grecnevye-100g-4315344	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Хлебцы Cornation зерновые овсяные, 100г	https://www.perekrestok.ru/cat/251/p/hlebcy-cornation-zernovye-ovsanye-100g-4315346	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Хлебцы Хлебцы Молодцы Лайт ржаные вафельные без дрожжей хрустящие, 70г	https://www.perekrestok.ru/cat/245/p/hlebcy-hlebcy-molodcy-lajt-rzanye-vafelnye-bez-drozzej-hrustasie-70g-3154405	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт
Хлебцы Столовые хрустящие Пр!ст, 110г	https://www.perekrestok.ru/cat/253/p/hlebcy-stolovye-hrustasie-pr-st-110g-3688701	msk	Москва, Большой Патриарший переулок, 5	24,99 ₽/шт
Хлебцы Круазетт ржаные тонкие, 200г	https://www.perekrestok.ru/cat/245/p/hlebcy-kruazett-rzanye-tonkie-200g-4054469	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Хлебцы Щедрые ржаные тонкие, 170г	https://www.perekrestok.ru/cat/245/p/hlebcy-sedrye-rzanye-tonkie-170g-3497593	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Хлебцы Щедрые ржаные, 100г	https://www.perekrestok.ru/cat/245/p/hlebcy-sedrye-rzanye-100g-3182026	msk	Москва, Большой Патриарший переулок, 5	63,99 ₽/шт
Хлебцы WASA Original ржаные цельнозерновые, 275г	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-original-rzanye-celnozernovye-275g-4066930	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Хлебцы Magic Grain ржаные с семенами льна кунжута подсолнечника, 160г	https://www.perekrestok.ru/cat/245/p/hlebcy-magic-grain-rzanye-s-semenami-lna-kunzuta-podsolnecnika-160g-4174080	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Хлебцы Круазетт ржано-пшеничные тонкие с прованскими травами, 200г	https://www.perekrestok.ru/cat/245/p/hlebcy-kruazett-rzano-psenicnye-tonkie-s-provanskimi-travami-200g-4054468	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Хлебцы Dr.Korner Корнерсы рисовые сметана и зелень, 40г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-kornersy-risovye-smetana-i-zelen-40g-4289753	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт
Хлебцы Dr.Korner Корнерсы рисовые с сыром, 40г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-kornersy-risovye-s-syrom-40g-4289754	msk	Москва, Большой Патриарший переулок, 5	54,99 ₽/шт
Хлебцы Dr.Korner хрустящие рисовые с молочным шоколадом, 67г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-hrustasie-risovye-s-molocnym-sokoladom-67g-4109959	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт
Хлебцы Здоровей гречишно-рисовые без глютена, 90г	https://www.perekrestok.ru/cat/24/p/hlebcy-zdorovej-grecisno-risovye-bez-glutena-90g-3483723	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Хлебцы Dr.Korner Рисовые хрустящие с тёмным шоколадом, 67г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-risovye-hrustasie-s-temnym-sokoladom-67g-4109960	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Хлебцы Take a Bite рисовые с морковью и томатом хрустящие, 150г	https://www.perekrestok.ru/cat/251/p/hlebcy-take-a-bite-risovye-s-morkovu-i-tomatom-hrustasie-150g-3951311	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт
Хлебцы Di&Di амарантовые без глютена, 100г	https://www.perekrestok.ru/cat/251/p/hlebcy-di-di-amarantovye-bez-glutena-100g-3688778	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт
Хлебцы Dr.Korner Злаковый коктейль сырный, 100г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-zlakovyj-koktejl-syrnyj-100g-3273363	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Хлебцы ProteinRex Шоколадный брауни протеиново-злаковые, 55г	https://www.perekrestok.ru/cat/65/p/hlebcy-proteinrex-sokoladnyj-brauni-proteinovo-zlakovye-55g-4015220	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Хлебцы Dr.Korner Злаковый коктейль клюквенные, 100г	https://www.perekrestok.ru/cat/245/p/hlebcy-dr-korner-zlakovyj-koktejl-klukvennye-100g-3195740	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Хлебцы Protein Rex Crispy протеиново-злаковые кокосовый крамбл, 55г	https://www.perekrestok.ru/cat/24/p/hlebcy-protein-rex-crispy-proteinovo-zlakovye-kokosovyj-krambl-55g-3936077	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Хлебцы Щедрые многозерновые тонкие, 170г	https://www.perekrestok.ru/cat/245/p/hlebcy-sedrye-mnogozernovye-tonkie-170g-3497595	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Хлебцы Круазетт тонкие мультизлаковые, 200г	https://www.perekrestok.ru/cat/245/p/hlebcy-kruazett-tonkie-multizlakovye-200g-4257405	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Хлебцы Maxi Vita мультизлаковые хрустящие, 150г	https://www.perekrestok.ru/cat/251/p/hlebcy-maxi-vita-multizlakovye-hrustasie-150g-4153540	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
