name	url	locale	address	price	time
Хлопья Любятово кукурузные, 600г	https://www.perekrestok.ru/cat/225/p/hlopa-lubatovo-kukuruznye-600g-3659059	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухой завтрак Ого! Мюсли запеченные с шоколадом и орехом, 300г	https://www.perekrestok.ru/cat/225/p/suhoj-zavtrak-ogo-musli-zapecennye-s-sokoladom-i-orehom-300g-4096958	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья Любятово кукурузные, 300г	https://www.perekrestok.ru/cat/225/p/hlopa-lubatovo-kukuruznye-300g-3659060	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья кукурузные Mini Mills медовые, 200г	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-mini-mills-medovye-200g-4267901	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Ого с орехом запечённые, 350г	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-orehom-zapecennye-350g-2137587	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Matti банан-шоколад, 250г	https://www.perekrestok.ru/cat/225/p/musli-matti-banan-sokolad-250g-3398284	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья кукурузные Хрутка медовые, 300г	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-hrutka-medovye-300g-3373466	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Matti ежевика-малина, 250г	https://www.perekrestok.ru/cat/225/p/musli-matti-ezevika-malina-250g-3398285	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Chocozavr Шоксики, 195г	https://www.perekrestok.ru/cat/225/p/gotovyj-sokoladnyj-zavtrak-chocozavr-soksiki-195g-4315453	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Ого с тропическими фруктами запечённые, 350г	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-tropiceskimi-fruktami-zapecennye-350g-3417240	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Ого с яблоком запечённые, 350г	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-ablokom-zapecennye-350g-2137654	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья кукурузные Хрутка хрустящие, 700г	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-hrutka-hrustasie-700g-3628506	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Подушечки Любятово с молочной начинкой, 220г	https://www.perekrestok.ru/cat/225/p/podusecki-lubatovo-s-molocnoj-nacinkoj-220g-4187953	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья Mini Mills кукурузные карамельные обогащённые витаминами и железом, 200г	https://www.perekrestok.ru/cat/225/p/hlopa-mini-mills-kukuruznye-karamelnye-obogasennye-vitaminami-i-zelezom-200g-4324974	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья мультизлаковые Любятово, 250г	https://www.perekrestok.ru/cat/225/p/hlopa-multizlakovye-lubatovo-250g-3635443	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Ого с бананом запечённые, 350г	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-bananom-zapecennye-350g-2137586	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Подушечки Любятово с шоколадной начинкой, 220г	https://www.perekrestok.ru/cat/225/p/podusecki-lubatovo-s-sokoladnoj-nacinkoj-220g-4187950	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Ого! с малиной и черникой, 300г	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-malinoj-i-cernikoj-300g-3688246	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья Extra Golden с медом и корицей кукурузные, 250г	https://www.perekrestok.ru/cat/225/p/hlopa-extra-golden-s-medom-i-koricej-kukuruznye-250g-4300298	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли 4LIFE Strawberry хрустящие с клубникой, 350г	https://www.perekrestok.ru/cat/225/p/musli-4life-strawberry-hrustasie-s-klubnikoj-350g-4205357	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья кукурузные Хрутка хрустящие, 320г	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-hrutka-hrustasie-320g-3276039	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мюсли Matti орех-яблоко, 250г	https://www.perekrestok.ru/cat/225/p/musli-matti-oreh-abloko-250g-3398286	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
