name	url	locale	address	price	time
Холодец Ремит из свинины и говядины, 400г	https://www.perekrestok.ru/cat/144/p/holodec-remit-iz-svininy-i-govadiny-400g-4080401	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец говяжий Зелёная Линия, 300г	https://www.perekrestok.ru/cat/144/p/holodec-govazij-zelenaa-linia-300g-4009330	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец Ремит говяжий мясосодержащий, 300г	https://www.perekrestok.ru/cat/809/p/holodec-remit-govazij-masosoderzasij-300g-4354933	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец говяжий Зелёная Линия, 300г	https://www.perekrestok.ru/cat/144/p/holodec-govazij-zelenaa-linia-300g-4009330	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец Домашний мясосодержащий Зелёная Линия, 300г	https://www.perekrestok.ru/cat/144/p/holodec-domasnij-masosoderzasij-zelenaa-linia-300g-4328815	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	spb	Санкт-Петербург, Биржевая площадь, 4	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Заливное с говядиной баклажанами и соусом песто Зелёная Линия, 300г	https://www.perekrestok.ru/cat/807/p/zalivnoe-s-govadinoj-baklazanami-i-sousom-pesto-zelenaa-linia-300g-4321979	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	ekb	Екатеринбург, ул. Бориса Ельцина, 3	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец Ариант Деревенский, 500г	https://www.perekrestok.ru/cat/144/p/holodec-ariant-derevenskij-500g-3637426	ekb	Екатеринбург, ул. Бориса Ельцина, 3	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Паштет Рублёвский Французский с уткой запечённый охлаждённый, 175г	https://www.perekrestok.ru/cat/144/p/pastet-rublevskij-francuzskij-s-utkoj-zapecennyj-ohlazdennyj-175g-4166426	ekb	Екатеринбург, ул. Бориса Ельцина, 3	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	nn	Нижний Новгород, площадь Минина и Пожарского, 2	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец говяжий Диво Домашний, 300г	https://www.perekrestok.ru/cat/144/p/holodec-govazij-divo-domasnij-300g-3603565	nn	Нижний Новгород, площадь Минина и Пожарского, 2	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	pg	Пятигорск, улица Малыгина, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец куриный Диво Сельский, 300г	https://www.perekrestok.ru/cat/144/p/holodec-kurinyj-divo-selskij-300g-3603564	pg	Пятигорск, улица Малыгина, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец свино-говяжий Диво Домашний, 300г	https://www.perekrestok.ru/cat/144/p/holodec-svino-govazij-divo-domasnij-300g-3624929	pg	Пятигорск, улица Малыгина, 5	194,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец Ремит из свинины и говядины, 400г	https://www.perekrestok.ru/cat/144/p/holodec-remit-iz-svininy-i-govadiny-400g-4080401	rnd	Ростов-на-Дону, Будённовский проспект, 45	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Холодец из cвинины и говядины Маркет, 300г	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	rnd	Ростов-на-Дону, Будённовский проспект, 45	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
