name	url	locale	address	price	time
Хрен Столовый Маркет, 100г	https://www.perekrestok.ru/cat/746/p/hren-stolovyj-market-100g-4273281	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Столовый острый Пр!ст, 200г	https://www.perekrestok.ru/cat/746/p/hren-stolovyj-ostryj-pr-st-200g-3456241	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Uni Dan Сливочный, 250г	https://www.perekrestok.ru/cat/746/p/hren-uni-dan-slivocnyj-250g-3616052	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Главпродукт Ядрёный, 170г	https://www.perekrestok.ru/cat/746/p/hren-glavprodukt-adrenyj-170g-3434049	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Uni Dan Домашний, 270г	https://www.perekrestok.ru/cat/746/p/hren-uni-dan-domasnij-270g-4335887	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен со свеклой Маркет, 100г	https://www.perekrestok.ru/cat/746/p/hren-so-svekloj-market-100g-4273489	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Васаби столовый острый Пр!ст, 170г	https://www.perekrestok.ru/cat/746/p/hren-vasabi-stolovyj-ostryj-pr-st-170g-3618220	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Дядя Ваня со свеклой, 140г	https://www.perekrestok.ru/cat/746/p/hren-dada-vana-so-svekloj-140g-2085986	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Uni Dan Со свеклой, 170мл	https://www.perekrestok.ru/cat/746/p/hren-uni-dan-so-svekloj-170ml-4017726	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Kuhne Сливочный, 250г	https://www.perekrestok.ru/cat/746/p/hren-kuhne-slivocnyj-250g-21051	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хрен Kuhne Столовый, 250г	https://www.perekrestok.ru/cat/746/p/hren-kuhne-stolovyj-250g-2086811	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
