name	url	locale	address	price	time
Йогурт Epica вишня-черешня 4.8%, 130г	https://www.perekrestok.ru/cat/119/p/jogurt-epica-visna-ceresna-4-8-130g-3612607	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Teos Греческий 2%, 250г	https://www.perekrestok.ru/cat/119/p/jogurt-teos-greceskij-2-250g-3697856	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Teos Греческий 2%, 140г	https://www.perekrestok.ru/cat/119/p/jogurt-teos-greceskij-2-140g-3601417	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с вишней обогащенный бифидобактериями 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-visnej-obogasennyj-bifidobakteriami-2-9-130g-4298992	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио обогащенный бифидобактериями 3.5%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-obogasennyj-bifidobakteriami-3-5-130g-4299010	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с отрубями и злаками обогащенный бифидобактериями 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-otrubami-i-zlakami-obogasennyj-bifidobakteriami-2-9-130g-4298991	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио обогащенный бифидобактериями с клубникой 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-obogasennyj-bifidobakteriami-s-klubnikoj-2-9-130g-4299009	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Даниссимо Фантазия с хрустящими шоколадными шариками 6.9%, 105г	https://www.perekrestok.ru/cat/119/p/jogurt-danissimo-fantazia-s-hrustasimi-sokoladnymi-sarikami-6-9-105g-3277287	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с виноградом манго папайей и семенами чиа обогащенный бифидобактериями 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-vinogradom-mango-papajej-i-semenami-cia-obogasennyj-bifidobakteriami-2-9-130g-4298996	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Савушкин персик-манго 2%, 120г	https://www.perekrestok.ru/cat/119/p/jogurt-savuskin-persik-mango-2-120g-3627835	msk	Москва, Большой Патриарший переулок, 5	26,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Савушкин лесная ягода 2%, 120г	https://www.perekrestok.ru/cat/119/p/jogurt-savuskin-lesnaa-agoda-2-120g-3627833	msk	Москва, Большой Патриарший переулок, 5	26,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с вишней яблоком и малиной обогащенный бифидобактериями 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-visnej-ablokom-i-malinoj-obogasennyj-bifidobakteriami-2-9-130g-4298997	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с черносливом обогащенный бифидобактериями 2.9%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-cernoslivom-obogasennyj-bifidobakteriami-2-9-130g-4298994	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Продукт йогуртный Alpenland клубника-персик-маракуйя 0.3%, 95г	https://www.perekrestok.ru/cat/119/p/produkt-jogurtnyj-alpenland-klubnika-persik-marakuja-0-3-95g-2074928	msk	Москва, Большой Патриарший переулок, 5	21,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Даниссимо с хрустящими ягодными шариками 6.9%, 105г	https://www.perekrestok.ru/cat/119/p/jogurt-danissimo-s-hrustasimi-agodnymi-sarikami-6-9-105g-3434086	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Epica с манго и семенами чиа 5%, 130г	https://www.perekrestok.ru/cat/119/p/jogurt-epica-s-mango-i-semenami-cia-5-130g-3626624	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт	Sun Jul  7 23:20:00 2024
Биойогурт Актибио с черникой злаками и льняными семенами обогащенный бифидобактериями 3%, 130г	https://www.perekrestok.ru/cat/119/p/biojogurt-aktibio-s-cernikoj-zlakami-i-lnanymi-semenami-obogasennyj-bifidobakteriami-3-130g-4298990	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт греческий двухслойный малина 3% Зелёная Линия, 190г	https://www.perekrestok.ru/cat/119/p/jogurt-greceskij-dvuhslojnyj-malina-3-zelenaa-linia-190g-4068960	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Йогурт Простоквашино Греческий 2%, 235г	https://www.perekrestok.ru/cat/119/p/jogurt-prostokvasino-greceskij-2-235g-4326198	msk	Москва, Большой Патриарший переулок, 5	51,99 ₽/шт	Sun Jul  7 23:20:00 2024
