name	url	locale	address	price
Кальмар Гигантский сушено-вяленый полоски Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-suseno-valenyj-poloski-market-70g-4300280	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кальмар Гигантский стружка сушено-вяленый Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-struzka-suseno-valenyj-market-70g-4300275	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кальмар Гигантский сушено-вяленый полоски Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-suseno-valenyj-poloski-market-70g-4300280	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/шт
Кальмар Гигантский сушено-вяленый полоски Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-suseno-valenyj-poloski-market-70g-4300280	ekb	Екатеринбург, ул. Бориса Ельцина, 3	79,99 ₽/шт
Щупальца кальмара командорского соленые в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/786/p/supalca-kalmara-komandorskogo-solenye-v-rassole-market-180g-4277130	ekb	Екатеринбург, ул. Бориса Ельцина, 3	149,99 ₽/шт
Кальмар Гигантский стружка сушено-вяленый Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-struzka-suseno-valenyj-market-70g-4300275	ekb	Екатеринбург, ул. Бориса Ельцина, 3	79,99 ₽/шт
Кольца кальмара тихоокеанского Маркет, 500г	https://www.perekrestok.ru/cat/55/p/kolca-kalmara-tihookeanskogo-market-500g-4284128	ekb	Екатеринбург, ул. Бориса Ельцина, 3	599,99 ₽/шт
Щупальца кальмара командорского соленые в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/786/p/supalca-kalmara-komandorskogo-solenye-v-rassole-market-180g-4277130	nn	Нижний Новгород, площадь Минина и Пожарского, 2	149,99 ₽/шт
Кальмар Фландерр гигантский филе кусочки горячего копчения, 200г	https://www.perekrestok.ru/cat/786/p/kalmar-flanderr-gigantskij-file-kusocki-goracego-kopcenia-200g-4326304	nn	Нижний Новгород, площадь Минина и Пожарского, 2	199,99 ₽/шт
Щупальца кальмара Балтийский Берег в чесночном соусе, 210г	https://www.perekrestok.ru/cat/812/p/supalca-kalmara-baltijskij-bereg-v-cesnocnom-souse-210g-3275674	nn	Нижний Новгород, площадь Минина и Пожарского, 2	164,99 ₽/шт
Кальмар Гигантский сушено-вяленый полоски Маркет, 70г	https://www.perekrestok.ru/cat/786/p/kalmar-gigantskij-suseno-valenyj-poloski-market-70g-4300280	pg	Пятигорск, улица Малыгина, 5	79,99 ₽/шт
Кольца кальмара тихоокеанского Маркет, 500г	https://www.perekrestok.ru/cat/55/p/kolca-kalmara-tihookeanskogo-market-500g-4284128	pg	Пятигорск, улица Малыгина, 5	639,99 ₽/шт
Кольца кальмара тихоокеанского Маркет, 500г	https://www.perekrestok.ru/cat/55/p/kolca-kalmara-tihookeanskogo-market-500g-4284128	rnd	Ростов-на-Дону, Будённовский проспект, 45	679,99 ₽/шт
Щупальца кальмара Балтийский Берег в чесночном соусе, 210г	https://www.perekrestok.ru/cat/812/p/supalca-kalmara-baltijskij-bereg-v-cesnocnom-souse-210g-3275674	rnd	Ростов-на-Дону, Будённовский проспект, 45	179,99 ₽/шт
