name	url	locale	address	price	time
Каша овсяная Русский Продукт Геркулес с малиной и молоком, 35г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-malinoj-i-molokom-35g-3453946	msk	Москва, Большой Патриарший переулок, 5	19,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Русский Продукт Геркулес с вишней, 35г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-visnej-35g-3453942	msk	Москва, Большой Патриарший переулок, 5	13,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Русский Продукт Геркулес с клубникой, 35г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-klubnikoj-35g-3453945	msk	Москва, Большой Патриарший переулок, 5	13,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Русский Продукт Геркулес Монастырский, 500г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-russkij-produkt-gerkules-monastyrskij-500g-3421663	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные геркулес Маркет Перекрёсток, 500г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-gerkules-market-perekrestok-500g-3469028	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Nordic, 500г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-nordic-500g-9056	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Myllyn Paras, 500г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-myllyn-paras-500g-10234	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Мистраль цельнозерновые, 400г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-mistral-celnozernovye-400g-3634076	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Ясно Солнышко классическая с молоком, 6х45г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-klassiceskaa-s-molokom-6h45g-3404963	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Клинские Экстра, 400г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-klinskie-ekstra-400g-3506761	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Ясно Солнышко клюква-яблоко, 300г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-klukva-abloko-300g-3451689	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья овсяные Ясно Солнышко с курагой, 300г	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-s-kuragoj-300g-2017671	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Ясно Солнышко Ассорти клубника-малина-изюм, 6х45г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-assorti-klubnika-malina-izum-6h45g-3232214	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Каша овсяная Ясно Солнышко Ассорти абрикос-яблоко-изюм, 6х45г	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-assorti-abrikos-abloko-izum-6h45g-3232199	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья 4 злака Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/756/p/hlopa-4-zlaka-market-perekrestok-400g-3621572	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт	Sun Jul  7 23:20:00 2024
Хлопья Мистраль 5 злаков, 400г	https://www.perekrestok.ru/cat/756/p/hlopa-mistral-5-zlakov-400g-3635643	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
