name	url	locale	address	price
Кетчуп Mr.Ricco сладкий черри Pomodore Speciale, 550г	https://www.perekrestok.ru/cat/219/p/ketcup-mr-ricco-sladkij-cerri-pomodore-speciale-550g-4078080	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт
Кетчуп Heinz томатный, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-320g-4157702	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Heinz Pikador томатный, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-pikador-tomatnyj-300g-4295651	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Кетчуп Слобода Томатный, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-tomatnyj-320g-4227928	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Кетчуп Махеевъ Томатный, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-tomatnyj-300g-4044938	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Heinz томатный, 800г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-800g-4274973	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Кетчуп Heinz Томатный, 460г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-460g-4116830	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Кетчуп Махеевъ Лечо с кусочками овощей, 500г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-leco-s-kusockami-ovosej-500g-2157567	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Кетчуп Томатный Пр!ст, 800г	https://www.perekrestok.ru/cat/219/p/ketcup-tomatnyj-pr-st-800g-3652684	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Кетчуп Махеевъ Томатный без сахара и крахмала, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-tomatnyj-bez-sahara-i-krahmala-300g-3970015	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Кетчуп Mutti Tomato Ketchup томатный, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-mutti-tomato-ketchup-tomatnyj-300g-4305643	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Кетчуп Heinz томатный 1 категория, 550г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-1-kategoria-550g-4154517	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Кетчуп Sahar, 310г	https://www.perekrestok.ru/cat/219/p/ketcup-sahar-310g-4282684	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Кетчуп Махеевъ Краснодарский 1 категория, 500г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-krasnodarskij-1-kategoria-500g-3689654	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Кетчуп Mr.Ricco средиземноморский с вялеными томатами Pomodore Speciale, 550г	https://www.perekrestok.ru/cat/219/p/ketcup-mr-ricco-sredizemnomorskij-s-valenymi-tomatami-pomodore-speciale-550g-4078077	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт
Кетчуп Heinz Итальянский первая категория, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-italanskij-pervaa-kategoria-320g-4157356	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Heinz с чесноком и пряностями, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-s-cesnokom-i-pranostami-320g-4157703	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Слобода Чесночный, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-cesnocnyj-320g-4227930	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Кетчуп Слобода с базиликом, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-s-bazilikom-320g-4227927	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Кетчуп Слобода Лечо, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-leco-320g-4227925	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Кетчуп Heinz Pikador с чесноком, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-pikador-s-cesnokom-300g-4295650	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Кетчуп Heinz Паприка и пряности для шашлыка, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-paprika-i-pranosti-dla-saslyka-320g-4273487	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Кетчуп Heinz Итальянский, 800г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-italanskij-800g-4274972	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Соус Помидорка Томатный с пряными травами, 490г	https://www.perekrestok.ru/cat/219/p/sous-pomidorka-tomatnyj-s-pranymi-travami-490g-4287250	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Соус томатный Don Antonio с чёрным трюфелем, 240мл	https://www.perekrestok.ru/cat/219/p/sous-tomatnyj-don-antonio-s-cernym-trufelem-240ml-4304345	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Соус томатный Don Antonio с водкой, 240мл	https://www.perekrestok.ru/cat/219/p/sous-tomatnyj-don-antonio-s-vodkoj-240ml-4304346	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Соус Пиканта Краснодарский томатный, 280г	https://www.perekrestok.ru/cat/219/p/sous-pikanta-krasnodarskij-tomatnyj-280g-4292766	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Кетчуп Heinz Pikador суперострый, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-pikador-superostryj-300g-4295653	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Кетчуп Heinz острый, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-ostryj-320g-4157697	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Heinz суперострый, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-superostryj-320g-4157704	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Слобода Острый, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-ostryj-320g-4227926	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Кетчуп Махеевъ Чили, 500г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-cili-500g-3446697	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Кетчуп Махеевъ Чили, 300г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-cili-300g-3941585	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Mr.Ricco Острый Pomodoro Speciale, 300г	https://www.perekrestok.ru/cat/219/p/mr-ricco-ostryj-pomodoro-speciale-300g-4312324	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Кетчуп Махеевъ Татарский первой категории, 500г	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-tatarskij-pervoj-kategorii-500g-3679039	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Кетчуп Heinz Острый, 800г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-ostryj-800g-4274971	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Соус Kuhne томатный с перцем чили и кинзой, 375г	https://www.perekrestok.ru/cat/219/p/sous-kuhne-tomatnyj-s-percem-cili-i-kinzoj-375g-3646088	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт
Кетчуп Heinz для гриля и шашлыка, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-dla-grila-i-saslyka-320g-4157803	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кетчуп Слобода Гриль, 320г	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-gril-320g-4227924	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
