name	url	locale	address	price
Кефир Простоквашино 2.5%, 930мл	https://www.perekrestok.ru/cat/120/p/kefir-prostokvasino-2-5-930ml-2093082	msk	Москва, Большой Патриарший переулок, 5	83,99 ₽/шт
Биопродукт Bio Баланс кефирный 1%, 930мл	https://www.perekrestok.ru/cat/120/p/bioprodukt-bio-balans-kefirnyj-1-930ml-2085953	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кефир Домик в деревне 1%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-domik-v-derevne-1-900ml-3467794	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кефир 3.2% Молочный знак, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-3-2-molocnyj-znak-900ml-4198906	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кефир 2.5% ПЭТ Зелёная Линия, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-2-5-pet-zelenaa-linia-900ml-4137919	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Кефир 1% Молочный Знак, 900г	https://www.perekrestok.ru/cat/120/p/kefir-1-molocnyj-znak-900g-4328084	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Кефир 3.2% Молочный знак, 430мл	https://www.perekrestok.ru/cat/120/p/kefir-3-2-molocnyj-znak-430ml-4174038	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт
Кефир 3.2% Зелёная Линия, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-3-2-zelenaa-linia-900ml-3668693	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Кефир 3.2% Молочный Знак, 175мл	https://www.perekrestok.ru/cat/120/p/kefir-3-2-molocnyj-znak-175ml-4318914	msk	Москва, Большой Патриарший переулок, 5	19,75 ₽/шт
Кефир Эконива 3.2%, 1л	https://www.perekrestok.ru/cat/120/p/kefir-ekoniva-3-2-1l-3922310	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Коктейль Простоквашино кефирный обогащённый клубника обезжиренный, 900мл	https://www.perekrestok.ru/cat/120/p/koktejl-prostokvasino-kefirnyj-obogasennyj-klubnika-obezzirennyj-900ml-4000350	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Кефир Асеньевская Ферма 3.2%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-asenevskaa-ferma-3-2-900ml-3433425	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Кефир Асеньевская Ферма 3.2%, 330мл	https://www.perekrestok.ru/cat/120/p/kefir-asenevskaa-ferma-3-2-330ml-4252382	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Кефир Залесский Фермер Фермерская 3.2%, 500мл	https://www.perekrestok.ru/cat/120/p/kefir-zalesskij-fermer-fermerskaa-3-2-500ml-3491262	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Кефир Из молока Нашей дойки 3.2-4%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-iz-moloka-nasej-dojki-3-2-4-900ml-4302774	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Кефир Простоквашино 1%, 930мл	https://www.perekrestok.ru/cat/120/p/kefir-prostokvasino-1-930ml-3352331	msk	Москва, Большой Патриарший переулок, 5	91,99 ₽/шт
Кефир Кубанский Молочник 2.5%, 720мл	https://www.perekrestok.ru/cat/120/p/kefir-kubanskij-molocnik-2-5-720ml-3604726	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Кефир Домик в деревне Bio-кефирный 2.5%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-domik-v-derevne-bio-kefirnyj-2-5-900ml-4250649	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Кефир Залесский Фермер Фермерский натуральный 3.2%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-zalesskij-fermer-fermerskij-naturalnyj-3-2-900ml-4216799	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кефир Асеньевская Ферма 1%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-asenevskaa-ferma-1-900ml-3433426	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Кефир Эконива 1%, 1л	https://www.perekrestok.ru/cat/120/p/kefir-ekoniva-1-1l-4120577	msk	Москва, Большой Патриарший переулок, 5	82,99 ₽/шт
Кефир Рузское Молоко Рузский 3.2-4%, 1л	https://www.perekrestok.ru/cat/120/p/kefir-ruzskoe-moloko-ruzskij-3-2-4-1l-3177382	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Кефир Рузское Молоко обогащён йодированным белком 2.5%, 500мл	https://www.perekrestok.ru/cat/120/p/kefir-ruzskoe-moloko-obogasen-jodirovannym-belkom-2-5-500ml-3177254	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Кефир Рузское Молоко маложирный 2.5%, 1л	https://www.perekrestok.ru/cat/120/p/kefir-ruzskoe-moloko-malozirnyj-2-5-1l-3460015	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Кефир Углече Поле 3.2%, 500мл	https://www.perekrestok.ru/cat/120/p/kefir-uglece-pole-3-2-500ml-3416069	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Кефир Чабан 1%, 900мл	https://www.perekrestok.ru/cat/120/p/kefir-caban-1-900ml-3614690	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Ряженка Простоквашино 3.2%, 930мл	https://www.perekrestok.ru/cat/120/p/razenka-prostokvasino-3-2-930ml-3605310	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
