name	url	locale	address	price	time
Колбаса сырокопчёная Сальчичон полусухая Маркет, 100г	https://www.perekrestok.ru/cat/133/p/kolbasa-syrokopcenaa-salcicon-polusuhaa-market-100g-4141051	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Клинский Докторская категория А	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-kategoria-a-2170372	msk	Москва, Большой Патриарший переулок, 5	919,99 ₽/кг	Sun Jul  7 23:20:00 2024
Колбаса Докторская варёная категории А в натуральной оболочке синюге Маркет Collection	https://www.perekrestok.ru/cat/133/p/kolbasa-doktorskaa-varenaa-kategorii-a-v-naturalnoj-obolocke-sinuge-market-collection-4296145	msk	Москва, Большой Патриарший переулок, 5	999,99 ₽/кг	Sun Jul  7 23:20:00 2024
Колбаса Вязанка Молокуша вареная, 450г	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-molokusa-varenaa-450g-4277253	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Клинский Докторская, 190г	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-190g-3639615	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Ближние Горки Докторская категория А	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-bliznie-gorki-doktorskaa-kategoria-a-3035251	msk	Москва, Большой Патриарший переулок, 5	429,90 ₽/кг	Sun Jul  7 23:20:00 2024
Колбаса варёная Папа Может Мясная, 500г	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-papa-mozet-masnaa-500g-3484605	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная МД Бородина Докторская высший сорт, 500г	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-md-borodina-doktorskaa-vyssij-sort-500g-3347584	msk	Москва, Большой Патриарший переулок, 5	409,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса Вязанка Докторская вареная категория А, 370г	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-doktorskaa-varenaa-kategoria-a-370g-4301347	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Клинский Докторская категория А, 400г	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-kategoria-a-400g-4221913	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса Вязанка Филейская Классическая вареная, 450г	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-filejskaa-klassiceskaa-varenaa-450g-4277251	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса Вязанка Сливушка вареная, 375г	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-slivuska-varenaa-375g-4258884	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Велком Докторская кусок, 500г	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-velkom-doktorskaa-kusok-500g-3385812	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса Ближние Горки Любительская вареная категории А, 330г	https://www.perekrestok.ru/cat/133/p/kolbasa-bliznie-gorki-lubitelskaa-varenaa-kategorii-a-330g-4298091	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колбаса варёная Рублевский Докторская категория А	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-rublevskij-doktorskaa-kategoria-a-78001451	msk	Москва, Большой Патриарший переулок, 5	799,99 ₽/кг	Sun Jul  7 23:20:00 2024
