name	url	locale	address	price	time
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	spb	Санкт-Петербург, Биржевая площадь, 4	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	ekb	Екатеринбург, ул. Бориса Ельцина, 3	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	ekb	Екатеринбург, ул. Бориса Ельцина, 3	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	ekb	Екатеринбург, ул. Бориса Ельцина, 3	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	nn	Нижний Новгород, площадь Минина и Пожарского, 2	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	nn	Нижний Новгород, площадь Минина и Пожарского, 2	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	nn	Нижний Новгород, площадь Минина и Пожарского, 2	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Leonardo овсяные колечки с мёдом, 200г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-leonardo-ovsanye-kolecki-s-medom-200g-4252438	nn	Нижний Новгород, площадь Минина и Пожарского, 2	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	pg	Пятигорск, улица Малыгина, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	pg	Пятигорск, улица Малыгина, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	pg	Пятигорск, улица Малыгина, 5	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Kellogg’s Unicorn Радужные колечки с фруктовым вкусом, 195г	https://www.perekrestok.ru/cat/750/p/zavtrak-gotovyj-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-195g-3986719	rnd	Ростов-на-Дону, Будённовский проспект, 45	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Колечки Хрутка шоколадные, 210г	https://www.perekrestok.ru/cat/750/p/kolecki-hrutka-sokoladnye-210g-3373865	rnd	Ростов-на-Дону, Будённовский проспект, 45	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом, 375г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-kelloggs-unicorn-raduznye-kolecki-s-fruktovym-vkusom-375g-4250506	rnd	Ростов-на-Дону, Будённовский проспект, 45	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый завтрак Leonardo овсяные колечки с мёдом, 200г	https://www.perekrestok.ru/cat/750/p/gotovyj-zavtrak-leonardo-ovsanye-kolecki-s-medom-200g-4252438	rnd	Ростов-на-Дону, Будённовский проспект, 45	81,99 ₽/шт	Sun Jul  7 23:20:00 2024
