name	url	locale	address	price	time
Конфеты Красный Октябрь Мишка косолапый, 200г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-miska-kosolapyj-200g-3611870	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Золотой Степ Славянка, 192г	https://www.perekrestok.ru/cat/193/p/konfety-zolotoj-step-slavanka-192g-3639554	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Красный Октябрь Цитрон, 250г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-citron-250g-2057831	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Акконд Птица дивная, 300г	https://www.perekrestok.ru/cat/193/p/konfety-akkond-ptica-divnaa-300g-3281142	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Коровка вафельные шоколадные, 250г	https://www.perekrestok.ru/cat/193/p/konfety-korovka-vafelnye-sokoladnye-250g-3199438	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Красный Октябрь Желейные барбарисовый вкус, 250г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-zelejnye-barbarisovyj-vkus-250g-2147861	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Рот Фронт Птичье молоко настоящее, 225г	https://www.perekrestok.ru/cat/193/p/konfety-rot-front-ptice-moloko-nastoasee-225g-3291332	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты ассорти Зелёная Линия, 200г	https://www.perekrestok.ru/cat/193/p/konfety-assorti-zelenaa-linia-200g-4091384	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Красный Октябрь Ласточка, 250г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-lastocka-250g-2057829	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Красный Октябрь Маска, 250г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-maska-250g-2057832	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты КФ Крупской Сказки Перро, 200г	https://www.perekrestok.ru/cat/193/p/konfety-kf-krupskoj-skazki-perro-200g-97176	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Красный Октябрь Кара-Кум, 250г	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-kara-kum-250g-2062117	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Konti, 200г	https://www.perekrestok.ru/cat/193/p/konfety-konti-200g-4058092	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Конфеты Алёнка Крем-брюле купол, 250г	https://www.perekrestok.ru/cat/193/p/konfety-alenka-krem-brule-kupol-250g-2063089	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
