name	url	locale	address	price
Горбуша Русское Море филе горячего копчения, 200г	https://www.perekrestok.ru/cat/812/p/gorbusa-russkoe-more-file-goracego-kopcenia-200g-3633239	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт
Горбуша Рыбная Миля косичка холодного копчения, 300г	https://www.perekrestok.ru/cat/812/p/gorbusa-rybnaa-mila-kosicka-holodnogo-kopcenia-300g-3302055	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Горбуша холодного копчения ломтики, 150г	https://www.perekrestok.ru/cat/812/p/gorbusa-holodnogo-kopcenia-lomtiki-150g-97253	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Форель подкопчённая радужная ломтики, 150г	https://www.perekrestok.ru/cat/812/p/forel-podkopcennaa-raduznaa-lomtiki-150g-4221593	msk	Москва, Большой Патриарший переулок, 5	394,99 ₽/шт
Горбуша тушка горячего копчения	https://www.perekrestok.ru/cat/812/p/gorbusa-tuska-goracego-kopcenia-78001183	msk	Москва, Большой Патриарший переулок, 5	749,00 ₽/кг
Тунец Посейдон холодного копчения ломтики, 100г	https://www.perekrestok.ru/cat/177/p/tunec-posejdon-holodnogo-kopcenia-lomtiki-100g-4338379	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Форель радужная холодного копчения балык	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-holodnogo-kopcenia-balyk-4314594	msk	Москва, Большой Патриарший переулок, 5	1 699,00 ₽/кг
Скумбрия Gustafsen холодного копчения кусочки, 280г	https://www.perekrestok.ru/cat/812/p/skumbria-gustafsen-holodnogo-kopcenia-kusocki-280g-4183756	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Скумбрия Атлантическая холодного копчения кусочки Маркет, 300г	https://www.perekrestok.ru/cat/812/p/skumbria-atlanticeskaa-holodnogo-kopcenia-kusocki-market-300g-4315996	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Скумбрия атлантическая Русское Море горячего копчения без головы, 300г	https://www.perekrestok.ru/cat/812/p/skumbria-atlanticeskaa-russkoe-more-goracego-kopcenia-bez-golovy-300g-3652287	msk	Москва, Большой Патриарший переулок, 5	309,99 ₽/шт
Скумбрия атлантическая Русское Море холодного копчения без головы, 300г	https://www.perekrestok.ru/cat/812/p/skumbria-atlanticeskaa-russkoe-more-holodnogo-kopcenia-bez-golovy-300g-3493288	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Скумбрия холодного копчения без головы	https://www.perekrestok.ru/cat/812/p/skumbria-holodnogo-kopcenia-bez-golovy-2173413	msk	Москва, Большой Патриарший переулок, 5	699,00 ₽/кг
Сельдь горячего копчения	https://www.perekrestok.ru/cat/812/p/seld-goracego-kopcenia-2094670	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/кг
Палтус Extra Fish черный гренландский холодного копчения кусок вакуумная упаковка, 200г	https://www.perekrestok.ru/cat/812/p/paltus-extra-fish-cernyj-grenlandskij-holodnogo-kopcenia-kusok-vakuumnaa-upakovka-200g-4283149	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
Палтус тушка холодного копчения	https://www.perekrestok.ru/cat/812/p/paltus-tuska-holodnogo-kopcenia-41163	msk	Москва, Большой Патриарший переулок, 5	1 299,00 ₽/кг
Салака балтийская Leor холодного копчения неразделанная, 300г	https://www.perekrestok.ru/cat/812/p/salaka-baltijskaa-leor-holodnogo-kopcenia-nerazdelannaa-300g-3636787	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Рыбное ассорти Рыбная Миля горбуша-скумбрия косичка холодного копчения, 200г	https://www.perekrestok.ru/cat/812/p/rybnoe-assorti-rybnaa-mila-gorbusa-skumbria-kosicka-holodnogo-kopcenia-200g-3411129	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Мойва ЭкстраФиш с головой холодного копчения, 200г	https://www.perekrestok.ru/cat/812/p/mojva-ekstrafis-s-golovoj-holodnogo-kopcenia-200g-4227589	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Корюшка Лисий Нос горячего копчения, 250г	https://www.perekrestok.ru/cat/812/p/koruska-lisij-nos-goracego-kopcenia-250g-3669530	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Масляная Посейдон холодного копчения ломтики, 100г	https://www.perekrestok.ru/cat/177/p/maslanaa-posejdon-holodnogo-kopcenia-lomtiki-100g-4338363	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Корюшка крупная холодного копчения	https://www.perekrestok.ru/cat/812/p/koruska-krupnaa-holodnogo-kopcenia-82456	msk	Москва, Большой Патриарший переулок, 5	1 499,00 ₽/кг
Форель радужная теша холодного копчения	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-tesa-holodnogo-kopcenia-4129172	spb	Санкт-Петербург, Биржевая площадь, 4	1 149,00 ₽/кг
Горбуша Русское Море филе горячего копчения, 200г	https://www.perekrestok.ru/cat/812/p/gorbusa-russkoe-more-file-goracego-kopcenia-200g-3633239	spb	Санкт-Петербург, Биржевая площадь, 4	319,99 ₽/шт
Форель радужная холодного копчения балык	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-holodnogo-kopcenia-balyk-4314594	spb	Санкт-Петербург, Биржевая площадь, 4	1 849,00 ₽/кг
Горбуша холодного копчения балык потрошёная без головы	https://www.perekrestok.ru/cat/812/p/gorbusa-holodnogo-kopcenia-balyk-potrosenaa-bez-golovy-4176763	spb	Санкт-Петербург, Биржевая площадь, 4	979,99 ₽/кг
Горбуша Рыбная Миля косичка холодного копчения, 300г	https://www.perekrestok.ru/cat/812/p/gorbusa-rybnaa-mila-kosicka-holodnogo-kopcenia-300g-3302055	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт
Сёмга хребты горячего копчения	https://www.perekrestok.ru/cat/812/p/semga-hrebty-goracego-kopcenia-78001211	spb	Санкт-Петербург, Биржевая площадь, 4	719,99 ₽/кг
Нерка Причал холодного копчения потрошеная обезглавленная тушка	https://www.perekrestok.ru/cat/812/p/nerka-prical-holodnogo-kopcenia-potrosenaa-obezglavlennaa-tuska-4314465	spb	Санкт-Петербург, Биржевая площадь, 4	2 099,00 ₽/кг
Горбуша Петротрал дальневосточная потрошеная без головы горячего копчения	https://www.perekrestok.ru/cat/812/p/gorbusa-petrotral-dalnevostocnaa-potrosenaa-bez-golovy-goracego-kopcenia-4325247	spb	Санкт-Петербург, Биржевая площадь, 4	739,99 ₽/кг
Форель Моремания филе подкопченная, 180г	https://www.perekrestok.ru/cat/812/p/forel-moremania-file-podkopcennaa-180g-3668419	spb	Санкт-Петербург, Биржевая площадь, 4	409,99 ₽/шт
