name	url	locale	address	price	time
Креветки белоногие очищенные соленые в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/179/p/krevetki-belonogie-ocisennye-solenye-v-rassole-market-180g-4280848	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Polar 70/90 варёно-мороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-polar-70-90-vareno-morozenye-1kg-3495300	msk	Москва, Большой Патриарший переулок, 5	1 249,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка ваннамей Балтийский Берег Creme Le Mare в сливочно-чесночном соусе, 150г	https://www.perekrestok.ru/cat/179/p/krevetka-vannamej-baltijskij-bereg-creme-le-mare-v-slivocno-cesnocnom-souse-150g-4048576	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские варёно-мороженые очищенные с хвостиками, 850г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-vareno-morozenye-ocisennye-s-hvostikami-850g-3331822	msk	Москва, Большой Патриарший переулок, 5	2 299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	spb	Санкт-Петербург, Биржевая площадь, 4	999,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские 50/70 замороженные	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	spb	Санкт-Петербург, Биржевая площадь, 4	649,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки королевские Fish & More очищенные с хвостом, 860г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-fish-more-ocisennye-s-hvostom-860g-4012971	spb	Санкт-Петербург, Биржевая площадь, 4	2 199,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Vici Королевские варено-мороженные 450 г	https://www.perekrestok.ru/cat/55/p/krevetki-vici-korolevskie-vareno-morozennye-450-g-3970776	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка Ваннамей Fish & More свежемороженая, 500г	https://www.perekrestok.ru/cat/55/p/krevetka-vannamej-fish-more-svezemorozenaa-500g-4078304	spb	Санкт-Петербург, Биржевая площадь, 4	1 049,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки белоногие очищенные соленые в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/179/p/krevetki-belonogie-ocisennye-solenye-v-rassole-market-180g-4280848	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка Veraz аргентинская целая свежемороженая 21/30 L2, 2кг	https://www.perekrestok.ru/cat/179/p/krevetka-veraz-argentinskaa-celaa-svezemorozenaa-21-30-l2-2kg-4277440	spb	Санкт-Петербург, Биржевая площадь, 4	2 699,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка ваннамей Балтийский Берег Creme Le Mare в сливочно-чесночном соусе, 150г	https://www.perekrestok.ru/cat/179/p/krevetka-vannamej-baltijskij-bereg-creme-le-mare-v-slivocno-cesnocnom-souse-150g-4048576	spb	Санкт-Петербург, Биржевая площадь, 4	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	ekb	Екатеринбург, ул. Бориса Ельцина, 3	999,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские 50/70 замороженные	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	ekb	Екатеринбург, ул. Бориса Ельцина, 3	759,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки королевские Polar 50/70 варёно-мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-polar-50-70-vareno-morozenye-500g-3420956	ekb	Екатеринбург, ул. Бориса Ельцина, 3	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские Бухта Изобилия варёно-мороженые очищенные, 300г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-buhta-izobilia-vareno-morozenye-ocisennye-300g-3641931	ekb	Екатеринбург, ул. Бориса Ельцина, 3	679,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Vici Королевские варено-мороженные 450 г	https://www.perekrestok.ru/cat/55/p/krevetki-vici-korolevskie-vareno-morozennye-450-g-3970776	ekb	Екатеринбург, ул. Бориса Ельцина, 3	429,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки белоногие очищенные соленые в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/179/p/krevetki-belonogie-ocisennye-solenye-v-rassole-market-180g-4280848	ekb	Екатеринбург, ул. Бориса Ельцина, 3	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
