name	url	locale	address	price
Палочки кукурузные Кузя Лакомкин сладкие, 140г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-kuza-lakomkin-sladkie-140g-3370312	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	msk	Москва, Большой Патриарший переулок, 5	54,99 ₽/шт
Кукурузные палочки Кузя лакомкин с сахарной пудрой, 190г	https://www.perekrestok.ru/cat/713/p/kukuruznye-palocki-kuza-lakomkin-s-saharnoj-pudroj-190g-4096123	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Кукурузные снеки Cheetos Сыр, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Кукурузные снеки Cheetos Кетчуп, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Палочки кукурузные сладкие Ухтышки, 140г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-sladkie-uhtyski-140g-3922199	msk	Москва, Большой Патриарший переулок, 5	63,99 ₽/шт
Палочки Кузя Лакомкин кукурузные со вкусом клубники, 100г	https://www.perekrestok.ru/cat/713/p/palocki-kuza-lakomkin-kukuruznye-so-vkusom-klubniki-100g-4173808	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Снеки кукурузные Cheetos Краб, 85г	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-cheetos-krab-85g-4157228	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт
Палочки Кузя Лакомкин кукурузные с апельсином, 100г	https://www.perekrestok.ru/cat/713/p/palocki-kuza-lakomkin-kukuruznye-s-apelsinom-100g-4168294	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Снеки Cheetos кукурузные со вкусом краба, 50г	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Косички Кукурузные Lope-Lope, 70г	https://www.perekrestok.ru/cat/713/p/kosicki-kukuruznye-lope-lope-70g-3463894	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Палочки кукурузные Lava Lava со вкусом тутти-фрутти, 50г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-tutti-frutti-50g-4259993	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Палочки кукурузные Lava Lava со вкусом клубника-банан, 50г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-klubnika-banan-50g-4259992	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кукурузные палочки Holy Corn Малина, 50г	https://www.perekrestok.ru/cat/713/p/kukuruznye-palocki-holy-corn-malina-50g-4244969	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт
Палочки кукурузные Lava Lava со вкусом апельсин-цитрусы, 50г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-apelsin-citrusy-50g-4259995	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	spb	Санкт-Петербург, Биржевая площадь, 4	54,99 ₽/шт
Палочки кукурузные Кузя Лакомкин сладкие, 140г	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-kuza-lakomkin-sladkie-140g-3370312	spb	Санкт-Петербург, Биржевая площадь, 4	49,99 ₽/шт
Кукурузные палочки Кузя лакомкин с сахарной пудрой, 190г	https://www.perekrestok.ru/cat/713/p/kukuruznye-palocki-kuza-lakomkin-s-saharnoj-pudroj-190g-4096123	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Палочки Cheetos кукурузные Кетчуп, 50г	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	spb	Санкт-Петербург, Биржевая площадь, 4	54,99 ₽/шт
