name	url	locale	address	price
Квас Овсяный с мятой Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-matoj-zelenaa-linia-1l-4138114	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Квас Очаковский двойного брожения, 2л	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-2l-2052438	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Квас Традиционный Зелёная Линия, 2л	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-2l-4135617	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Квас Традиционный Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-1l-4070181	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Квас Лидский Хлебный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-hlebnyj-1-5l-3630214	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Квас Овсяный с базиликом Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-bazilikom-zelenaa-linia-1l-4138116	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Квас Очаковский двойного брожения, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-500ml-2052441	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Квас Очаковский двойного брожения, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-1l-2141248	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Квас Лидский Тёмный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-temnyj-1-5l-3630215	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Квас Чудесное Далёко Традиционный фильтрованный пастеризованный, 1.3л	https://www.perekrestok.ru/cat/212/p/kvas-cudesnoe-daleko-tradicionnyj-filtrovannyj-pasterizovannyj-1-3l-4344548	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Квас Традиционный Зелёная Линия, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-500ml-4282887	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Квас Жёлтая Бочка неосветлённый пастеризованный нефильтрованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-zeltaa-bocka-neosvetlennyj-pasterizovannyj-nefiltrovannyj-1-5l-4142696	msk	Москва, Большой Патриарший переулок, 5	94,99 ₽/шт
Квас Афанасий Бочковой Классический фильтрованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-afanasij-bockovoj-klassiceskij-filtrovannyj-1-5l-3273861	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Квас Ржаной Бочонок фильтрованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-rzanoj-boconok-filtrovannyj-1-5l-3455791	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Квас живой Афанасий Старомонастырский нефильтрованный, 1л	https://www.perekrestok.ru/cat/212/p/kvas-zivoj-afanasij-staromonastyrskij-nefiltrovannyj-1l-4049250	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Квас Чудесное Далёко Традиционный фильтрованный пастеризованный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-cudesnoe-daleko-tradicionnyj-filtrovannyj-pasterizovannyj-500ml-4344553	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт
Квас Русский дар Традиционный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-russkij-dar-tradicionnyj-500ml-3273456	msk	Москва, Большой Патриарший переулок, 5	54,99 ₽/шт
Квас Семейный Секрет Традиционный белый нефильтрованный неосветленный, 1.35л	https://www.perekrestok.ru/cat/212/p/kvas-semejnyj-sekret-tradicionnyj-belyj-nefiltrovannyj-neosvetlennyj-1-35l-4342010	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Квас живой Царские Припасы Вкусный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-zivoj-carskie-pripasy-vkusnyj-500ml-3349623	msk	Москва, Большой Патриарший переулок, 5	72,99 ₽/шт
Квас Медовый Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-medovyj-zelenaa-linia-1l-4332240	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт
Квас Деревенский светлый фильтрованный пастеризованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-derevenskij-svetlyj-filtrovannyj-pasterizovannyj-1-5l-4126059	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Квас Овсяный с мятой Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-matoj-zelenaa-linia-1l-4138114	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Квас Лидский Хлебный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-hlebnyj-1-5l-3630214	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт
Квас Традиционный Зелёная Линия, 2л	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-2l-4135617	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт
Квас Традиционный Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-1l-4070181	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Квас Очаковский двойного брожения, 2л	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-2l-2052438	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Квас Овсяный с базиликом Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-bazilikom-zelenaa-linia-1l-4138116	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Квас Традиционный Зелёная Линия, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-tradicionnyj-zelenaa-linia-500ml-4282887	spb	Санкт-Петербург, Биржевая площадь, 4	69,99 ₽/шт
Квас Лидский Тёмный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-lidskij-temnyj-1-5l-3630215	spb	Санкт-Петербург, Биржевая площадь, 4	144,99 ₽/шт
Квас Очаковский двойного брожения, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-1l-2141248	spb	Санкт-Петербург, Биржевая площадь, 4	75,99 ₽/шт
Квас Очаковский двойного брожения, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-500ml-2052441	spb	Санкт-Петербург, Биржевая площадь, 4	77,99 ₽/шт
Квас Чудесное Далёко Традиционный фильтрованный пастеризованный, 1.3л	https://www.perekrestok.ru/cat/212/p/kvas-cudesnoe-daleko-tradicionnyj-filtrovannyj-pasterizovannyj-1-3l-4344548	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт
Квас Чудесное Далёко Традиционный фильтрованный пастеризованный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-cudesnoe-daleko-tradicionnyj-filtrovannyj-pasterizovannyj-500ml-4344553	spb	Санкт-Петербург, Биржевая площадь, 4	39,99 ₽/шт
Квас Даридыч тёмный безалкогольный пастеризованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-daridyc-temnyj-bezalkogolnyj-pasterizovannyj-1-5l-4338309	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт
Квас Жёлтая Бочка пастеризованный фильтрованный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-zeltaa-bocka-pasterizovannyj-filtrovannyj-500ml-4138009	spb	Санкт-Петербург, Биржевая площадь, 4	59,99 ₽/шт
Квас Великая Русь фильтрованный пастеризованный, 450мл	https://www.perekrestok.ru/cat/212/p/kvas-velikaa-rus-filtrovannyj-pasterizovannyj-450ml-4301118	spb	Санкт-Петербург, Биржевая площадь, 4	59,99 ₽/шт
Квас Великая Русь Хлебный фильтрованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-velikaa-rus-hlebnyj-filtrovannyj-1-5l-4055488	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт
Квас живой Царские Припасы Традиционный, 1л	https://www.perekrestok.ru/cat/212/p/kvas-zivoj-carskie-pripasy-tradicionnyj-1l-3389796	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Квас Медовый Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-medovyj-zelenaa-linia-1l-4332240	spb	Санкт-Петербург, Биржевая площадь, 4	174,99 ₽/шт
Квас Даридыч светлый безалкогольный пастеризованный, 1.5л	https://www.perekrestok.ru/cat/212/p/kvas-daridyc-svetlyj-bezalkogolnyj-pasterizovannyj-1-5l-4338308	spb	Санкт-Петербург, Биржевая площадь, 4	104,99 ₽/шт
Квас Очаковский заварной фильтрованный пастеризованный, 500мл	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-zavarnoj-filtrovannyj-pasterizovannyj-500ml-4343690	spb	Санкт-Петербург, Биржевая площадь, 4	49,99 ₽/шт
Квас Овсяный с мятой Зелёная Линия, 1л	https://www.perekrestok.ru/cat/212/p/kvas-ovsanyj-s-matoj-zelenaa-linia-1l-4138114	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
Квас Очаковский двойного брожения, 2л	https://www.perekrestok.ru/cat/212/p/kvas-ocakovskij-dvojnogo-brozenia-2l-2052438	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
