name	url	locale	address	price	time
Лапша Доширак быстрого приготовления со вкусом говядины, 90г	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-bystrogo-prigotovlenia-so-vkusom-govadiny-90g-53019	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Доширак Квисти со вкусом говядины, 70г	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-kvisti-so-vkusom-govadiny-70g-96983	msk	Москва, Большой Патриарший переулок, 5	33,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Чан Рамен Корейская быстрого приготовления с приправами, 120г	https://www.perekrestok.ru/cat/170/p/lapsa-can-ramen-korejskaa-bystrogo-prigotovlenia-s-pripravami-120g-3402845	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Доширак Чан рамен быстрого приготовления с острой говядиной, 120г	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-can-ramen-bystrogo-prigotovlenia-s-ostroj-govadinoj-120g-3664094	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша рисовая Мама Чанд Фо Бо быстрого приготовления тайская со вкусом говядины, 55г	https://www.perekrestok.ru/cat/170/p/lapsa-risovaa-mama-cand-fo-bo-bystrogo-prigotovlenia-tajskaa-so-vkusom-govadiny-55g-4151201	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Big Bon Wok Острая говядина в соусе по-китайски, 85г	https://www.perekrestok.ru/cat/170/p/lapsa-big-bon-wok-ostraa-govadina-v-souse-po-kitajski-85g-4192760	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Биг Ланч быстрого приготовления с говядиной в остром соусе, 90г	https://www.perekrestok.ru/cat/170/p/lapsa-big-lanc-bystrogo-prigotovlenia-s-govadinoj-v-ostrom-souse-90g-4126235	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Роллтон с говядиной по-домашнему, 90г	https://www.perekrestok.ru/cat/170/p/lapsa-rollton-s-govadinoj-po-domasnemu-90g-3453968	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Доширак быстрого приготовления со вкусом курицы, 90г	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-bystrogo-prigotovlenia-so-vkusom-kuricy-90g-53020	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вермишель Роллтон По-домашнему с курицей, 85г	https://www.perekrestok.ru/cat/170/p/vermisel-rollton-po-domasnemu-s-kuricej-85g-3947753	msk	Москва, Большой Патриарший переулок, 5	37,99 ₽/шт	Sun Jul  7 23:20:00 2024
