name	url	locale	address	price
Ликёр Campari десертный 25%, 500мл	https://www.perekrestok.ru/cat/1245/p/liker-campari-desertnyj-25-500ml-27652	msk	Москва, Большой Патриарший переулок, 5	1 549,00 ₽/шт
Ликёр Jagermeister десертный 35%, 700мл	https://www.perekrestok.ru/cat/16/p/liker-jagermeister-desertnyj-35-700ml-26510	msk	Москва, Большой Патриарший переулок, 5	1 299,00 ₽/шт
Ликёр Tundra Биттер десертный 35%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-tundra-bitter-desertnyj-35-500ml-3608307	msk	Москва, Большой Патриарший переулок, 5	529,99 ₽/шт
Ликёр Beluga Хантинг Хербал десертный травяной 40%, 50мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hanting-herbal-desertnyj-travanoj-40-50ml-4255516	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Ликёр Beluga Хантинг травяной десертный 40%, 250мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hanting-travanoj-desertnyj-40-250ml-4049651	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Ликёр Jagermeister десертный 35%, 200мл	https://www.perekrestok.ru/cat/16/p/liker-jagermeister-desertnyj-35-200ml-3961507	msk	Москва, Большой Патриарший переулок, 5	879,99 ₽/шт
Ликёр Beluga Hunting травяной десертный 40%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hunting-travanoj-desertnyj-40-500ml-3485671	msk	Москва, Большой Патриарший переулок, 5	999,99 ₽/шт
Ликёр Love Story Сливочный эмульсионный 18%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-love-story-slivocnyj-emulsionnyj-18-500ml-3329248	msk	Москва, Большой Патриарший переулок, 5	409,99 ₽/шт
Ликёр Sorbet Аперитив апельсиновый десертный 15%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-sorbet-aperitiv-apelsinovyj-desertnyj-15-500ml-3953957	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Ликёр Sorbet десертный малиновый 15%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-sorbet-desertnyj-malinovyj-15-500ml-3671794	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Ликёр Fruto Strawberry 15%, 500мл	https://www.perekrestok.ru/cat/16/p/liker-fruto-strawberry-15-500ml-4215411	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/шт
Ликёр Cream Heroes Капитан Фресон эмульсионный Клубничный крем с текилой 17%, 700мл	https://www.perekrestok.ru/cat/16/p/liker-cream-heroes-kapitan-freson-emulsionnyj-klubnicnyj-krem-s-tekiloj-17-700ml-4202678	msk	Москва, Большой Патриарший переулок, 5	899,99 ₽/шт
