name	url	locale	address	price	time
Спагетти из твёрдых сортов пшеницы Market Collection, 450г	https://www.perekrestok.ru/cat/105/p/spagetti-iz-tverdyh-sortov-psenicy-market-collection-450g-4117174	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Фузилли из твёрдых сортов пшеницы Market Collection, 450г	https://www.perekrestok.ru/cat/105/p/fuzilli-iz-tverdyh-sortov-psenicy-market-collection-450g-4117157	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вермишель Шебекинские №111 лёгкая, 450г	https://www.perekrestok.ru/cat/105/p/vermisel-sebekinskie-no111-legkaa-450g-82761	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Макароны Makfa паутинка, 450г	https://www.perekrestok.ru/cat/105/p/makarony-makfa-pautinka-450g-2110596	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Макароны Шебекинские гнёзда №500, 450г	https://www.perekrestok.ru/cat/105/p/makarony-sebekinskie-gnezda-no500-450g-62764	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Домашняя яичная группы А высший сорт Маркет, 250г	https://www.perekrestok.ru/cat/105/p/lapsa-domasnaa-aicnaa-gruppy-a-vyssij-sort-market-250g-4307631	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Роллтон яичная классическая, 400г	https://www.perekrestok.ru/cat/105/p/lapsa-rollton-aicnaa-klassiceskaa-400g-45105	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Продукты от Масловой по-домашнему яичная, 150г	https://www.perekrestok.ru/cat/105/p/lapsa-produkty-ot-maslovoj-po-domasnemu-aicnaa-150g-3368235	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лапша Домшим Соба гречневая, 300г	https://www.perekrestok.ru/cat/105/p/lapsa-domsim-soba-grecnevaa-300g-4061765	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Макароны Barilla Filini n.30 из твёрдых сортов пшеницы, 450г	https://www.perekrestok.ru/cat/105/p/makarony-barilla-filini-n-30-iz-tverdyh-sortov-psenicy-450g-4037657	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
