name	url	locale	address	price
Мармелад Весёлый зоопарк жевательный фигурный Ухтышки, 70г	https://www.perekrestok.ru/cat/191/p/marmelad-veselyj-zoopark-zevatelnyj-figurnyj-uhtyski-70g-3983484	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт
Мармелад Бон Пари Кислые червячки жевательный фрукты, 75г	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-kislye-cervacki-zevatelnyj-frukty-75g-43332	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Мармелад Мармеландия Дольки лимонные, 250г	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-dolki-limonnye-250g-2087635	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Мармелад Mamba Фрукты-йогурт фрумеладки жевательный, 72г	https://www.perekrestok.ru/cat/191/p/marmelad-mamba-frukty-jogurt-frumeladki-zevatelnyj-72g-3617432	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Мармелад жевательный Chupa Chups Роллсы с апельсиново-лимонным вкусом, 150г	https://www.perekrestok.ru/cat/191/p/marmelad-zevatelnyj-chupa-chups-rollsy-s-apelsinovo-limonnym-vkusom-150g-4121693	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Мармелад Mamba Фрумеладки фруктовый микс жевательный, 72г	https://www.perekrestok.ru/cat/191/p/marmelad-mamba-frumeladki-fruktovyj-miks-zevatelnyj-72g-3617730	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Мармелад Бон Пари Машины жевательный фрукты, 75г	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-masiny-zevatelnyj-frukty-75g-2127571	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Мармелад Азовская КФ Французский Сад с натуральным соком, 300г	https://www.perekrestok.ru/cat/191/p/marmelad-azovskaa-kf-francuzskij-sad-s-naturalnym-sokom-300g-3499706	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Мармелад со вкусом дыни желейный Маркет, 300г	https://www.perekrestok.ru/cat/191/p/marmelad-so-vkusom-dyni-zelejnyj-market-300g-4274806	msk	Москва, Большой Патриарший переулок, 5	74,99 ₽/шт
Мармелад Мармеландия Сочное манго дольки, 250г	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-socnoe-mango-dolki-250g-4345491	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты, 120г	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-kislye-zmejki-zevatelnyj-figurnyj-frukty-120g-3928270	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Мармелад Мармеландия Фруктовый коктейль, 250г	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-fruktovyj-koktejl-250g-2110124	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Мармелад Мармеландия Дольки апельсиновые, 250г	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-dolki-apelsinovye-250g-2087636	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Желе Жалейка со вкусом вишни-яблока-персика и пузырьками, 150г	https://www.perekrestok.ru/cat/191/p/zele-zalejka-so-vkusom-visni-abloka-persika-i-puzyrkami-150g-4117013	msk	Москва, Большой Патриарший переулок, 5	33,99 ₽/шт
