name	url	locale	address	price	time
Масло сливочное Из Вологды Вологодское 82.5%, 180г	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-iz-vologdy-vologodskoe-82-5-180g-86149	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло кокосовое Delicato отбеленное дезодорированное, 200г	https://www.perekrestok.ru/cat/121/p/maslo-kokosovoe-delicato-otbelennoe-dezodorirovannoe-200g-4050679	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло Гхи Вастэко топленое, 160г	https://www.perekrestok.ru/cat/121/p/maslo-ghi-vasteko-toplenoe-160g-4300591	msk	Москва, Большой Патриарший переулок, 5	385,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сладкосливочное Традиционное несолёное 82.5% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-tradicionnoe-nesolenoe-82-5-zelenaa-linia-180g-4260609	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло Гхи топлёное 99% Зелёная Линия, 140г	https://www.perekrestok.ru/cat/121/p/maslo-ghi-toplenoe-99-zelenaa-linia-140g-4202027	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сливочное безлактозное 72.5% Зелёная Линия, 200г	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-bezlaktoznoe-72-5-zelenaa-linia-200g-4068626	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сладкосливочное Крестьянское несолёное 72.5% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-krestanskoe-nesolenoe-72-5-zelenaa-linia-180g-4260610	spb	Санкт-Петербург, Биржевая площадь, 4	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сливочное 82% Молочный знак, 380г	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-82-molocnyj-znak-380g-4188102	spb	Санкт-Петербург, Биржевая площадь, 4	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сливочное President несолёное 82%, 180г	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-president-nesolenoe-82-180g-3963777	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сладкосливочное Брест-Литовск несолёное высшего сорта 82.5%, 180г	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-brest-litovsk-nesolenoe-vyssego-sorta-82-5-180g-3413519	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сливочное Вкуснотеево Традиционное 82.5%, 200г	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-vkusnoteevo-tradicionnoe-82-5-200g-3612778	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло Вкуснотеево Традиционное сливочное 82.5%, 340г	https://www.perekrestok.ru/cat/121/p/maslo-vkusnoteevo-tradicionnoe-slivocnoe-82-5-340g-4310021	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сладкосливочное Тысяча Озер 82.5%, 180г	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-tysaca-ozer-82-5-180g-3026226	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Масло сладко-сливочное Брест-Литовск несолёное 82.5, 400г	https://www.perekrestok.ru/cat/121/p/maslo-sladko-slivocnoe-brest-litovsk-nesolenoe-82-5-400g-4175276	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
