name	url	locale	address	price
Котлета Ес Агро Чикенбургер для бургера, 300г	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Фарш ЕС Агро Премиум замороженный, 500г	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Шеи Озерка утят замороженные, 1кг	https://www.perekrestok.ru/cat/63/p/sei-ozerka-utat-zamorozennye-1kg-4339506	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/кг
Котлеты Мираторг  Бургер Классический замороженные, 360г	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Язык говяжий замороженный	https://www.perekrestok.ru/cat/63/p/azyk-govazij-zamorozennyj-4088926	msk	Москва, Большой Патриарший переулок, 5	999,99 ₽/кг
Печень Наш Кролик кролика замороженная, 500г	https://www.perekrestok.ru/cat/63/p/pecen-nas-krolik-krolika-zamorozennaa-500g-4299241	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Печень цыплят-бройлеров Птицефабрика Псковская замороженная	https://www.perekrestok.ru/cat/63/p/pecen-cyplat-brojlerov-pticefabrika-pskovskaa-zamorozennaa-4060557	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/кг
Тушка цыплёнка-бройлера 1 сорт потрошёная замороженная зерновой откорм	https://www.perekrestok.ru/cat/63/p/tuska-cyplenka-brojlera-1-sort-potrosenaa-zamorozennaa-zernovoj-otkorm-4341461	spb	Санкт-Петербург, Биржевая площадь, 4	389,99 ₽/кг
Котлета Ес Агро Чикенбургер для бургера, 300г	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	spb	Санкт-Петербург, Биржевая площадь, 4	169,99 ₽/шт
Фарш ЕС Агро Премиум замороженный, 500г	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт
Ноги цыплят-бройлеров Птицефабрика Псковская замороженные	https://www.perekrestok.ru/cat/63/p/nogi-cyplat-brojlerov-pticefabrika-pskovskaa-zamorozennye-4060562	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/кг
Головы цыплят-бройлеров Птицефабрика Псковская замороженные	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-pticefabrika-pskovskaa-zamorozennye-4060586	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/кг
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	https://www.perekrestok.ru/cat/63/p/stejk-maso-est-ribaj-iz-govadiny-kategorii-a-zamorozennyj-250g-4338615	spb	Санкт-Петербург, Биржевая площадь, 4	499,99 ₽/шт
Язык говяжий замороженный	https://www.perekrestok.ru/cat/63/p/azyk-govazij-zamorozennyj-4088926	spb	Санкт-Петербург, Биржевая площадь, 4	999,99 ₽/кг
Печень Наш Кролик кролика замороженная, 500г	https://www.perekrestok.ru/cat/63/p/pecen-nas-krolik-krolika-zamorozennaa-500g-4299241	spb	Санкт-Петербург, Биржевая площадь, 4	339,99 ₽/шт
Головы цыплят-бройлеров замороженные	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-zamorozennye-4229139	ekb	Екатеринбург, ул. Бориса Ельцина, 3	67,99 ₽/кг
Котлета Ес Агро Чикенбургер для бургера, 300г	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	ekb	Екатеринбург, ул. Бориса Ельцина, 3	169,99 ₽/шт
Фарш ЕС Агро Премиум замороженный, 500г	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	ekb	Екатеринбург, ул. Бориса Ельцина, 3	249,99 ₽/шт
Тушка цыплёнка-бройлера 1 сорт потрошёная замороженная зерновой откорм	https://www.perekrestok.ru/cat/63/p/tuska-cyplenka-brojlera-1-sort-potrosenaa-zamorozennaa-zernovoj-otkorm-4341461	ekb	Екатеринбург, ул. Бориса Ельцина, 3	389,99 ₽/кг
Тушка утенка потрошёная замороженная 1 сорт	https://www.perekrestok.ru/cat/63/p/tuska-utenka-potrosenaa-zamorozennaa-1-sort-4053065	ekb	Екатеринбург, ул. Бориса Ельцина, 3	379,99 ₽/кг
Котлеты Мираторг  Бургер Классический замороженные, 360г	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	ekb	Екатеринбург, ул. Бориса Ельцина, 3	289,99 ₽/шт
Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	https://www.perekrestok.ru/cat/63/p/stejk-maso-est-ribaj-iz-govadiny-kategorii-a-zamorozennyj-250g-4338615	ekb	Екатеринбург, ул. Бориса Ельцина, 3	499,99 ₽/шт
Ноги свиные замороженные	https://www.perekrestok.ru/cat/63/p/nogi-svinye-zamorozennye-4088991	ekb	Екатеринбург, ул. Бориса Ельцина, 3	89,99 ₽/кг
Головы цыплят-бройлеров замороженные	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-zamorozennye-4229139	nn	Нижний Новгород, площадь Минина и Пожарского, 2	69,99 ₽/кг
Котлета Ес Агро Чикенбургер для бургера, 300г	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	nn	Нижний Новгород, площадь Минина и Пожарского, 2	169,99 ₽/шт
Фарш ЕС Агро Премиум замороженный, 500г	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	nn	Нижний Новгород, площадь Минина и Пожарского, 2	249,99 ₽/шт
Тушка утенка потрошёная замороженная 1 сорт	https://www.perekrestok.ru/cat/63/p/tuska-utenka-potrosenaa-zamorozennaa-1-sort-4053065	nn	Нижний Новгород, площадь Минина и Пожарского, 2	409,99 ₽/кг
Котлеты Мираторг  Бургер Классический замороженные, 360г	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	nn	Нижний Новгород, площадь Минина и Пожарского, 2	279,99 ₽/шт
Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	https://www.perekrestok.ru/cat/63/p/stejk-maso-est-ribaj-iz-govadiny-kategorii-a-zamorozennyj-250g-4338615	nn	Нижний Новгород, площадь Минина и Пожарского, 2	499,99 ₽/шт
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	nn	Нижний Новгород, площадь Минина и Пожарского, 2	299,99 ₽/шт
Язык говяжий замороженный	https://www.perekrestok.ru/cat/63/p/azyk-govazij-zamorozennyj-4088926	nn	Нижний Новгород, площадь Минина и Пожарского, 2	999,99 ₽/кг
Головы цыплят-бройлеров замороженные	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-zamorozennye-4229139	pg	Пятигорск, улица Малыгина, 5	67,99 ₽/кг
Котлета Ес Агро Чикенбургер для бургера, 300г	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	pg	Пятигорск, улица Малыгина, 5	164,99 ₽/шт
