name	url	locale	address	price
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Мясо мидий Два Капитана чилийских отварное в рассоле, 300г	https://www.perekrestok.ru/cat/787/p/maso-midij-dva-kapitana-cilijskih-otvarnoe-v-rassole-300g-4045864	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	spb	Санкт-Петербург, Биржевая площадь, 4	159,99 ₽/шт
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Мясо мидий Два Капитана чилийских отварное в рассоле, 300г	https://www.perekrestok.ru/cat/787/p/maso-midij-dva-kapitana-cilijskih-otvarnoe-v-rassole-300g-4045864	spb	Санкт-Петербург, Биржевая площадь, 4	184,99 ₽/шт
Мидии в створках Agama в собственном соку варёно-мороженые, 450г	https://www.perekrestok.ru/cat/55/p/midii-v-stvorkah-agama-v-sobstvennom-soku-vareno-morozenye-450g-3359360	ekb	Екатеринбург, ул. Бориса Ельцина, 3	379,99 ₽/шт
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	ekb	Екатеринбург, ул. Бориса Ельцина, 3	119,99 ₽/шт
Мидии в створках Agama в собственном соку варёно-мороженые, 450г	https://www.perekrestok.ru/cat/55/p/midii-v-stvorkah-agama-v-sobstvennom-soku-vareno-morozenye-450g-3359360	nn	Нижний Новгород, площадь Минина и Пожарского, 2	379,99 ₽/шт
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	nn	Нижний Новгород, площадь Минина и Пожарского, 2	139,99 ₽/шт
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	nn	Нижний Новгород, площадь Минина и Пожарского, 2	299,99 ₽/шт
Мясо мидий Два Капитана чилийских отварное в рассоле, 300г	https://www.perekrestok.ru/cat/787/p/maso-midij-dva-kapitana-cilijskih-otvarnoe-v-rassole-300g-4045864	nn	Нижний Новгород, площадь Минина и Пожарского, 2	174,99 ₽/шт
Мясо мидии Vici чилийской варёно-мороженое, 400г	https://www.perekrestok.ru/cat/55/p/maso-midii-vici-cilijskoj-vareno-morozenoe-400g-4032672	nn	Нижний Новгород, площадь Минина и Пожарского, 2	419,99 ₽/шт
Мидии Викинг в томатной заливке с овощами, 330г	https://www.perekrestok.ru/cat/812/p/midii-viking-v-tomatnoj-zalivke-s-ovosami-330g-4061532	nn	Нижний Новгород, площадь Минина и Пожарского, 2	249,99 ₽/шт
Мидии Два Капитана чилийские отварные в майонезно-горчичном соусе, 180г	https://www.perekrestok.ru/cat/787/p/midii-dva-kapitana-cilijskie-otvarnye-v-majonezno-gorcicnom-souse-180g-4337856	nn	Нижний Новгород, площадь Минина и Пожарского, 2	184,99 ₽/шт
Мидии в створках Agama в собственном соку варёно-мороженые, 450г	https://www.perekrestok.ru/cat/55/p/midii-v-stvorkah-agama-v-sobstvennom-soku-vareno-morozenye-450g-3359360	pg	Пятигорск, улица Малыгина, 5	399,99 ₽/шт
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	pg	Пятигорск, улица Малыгина, 5	114,99 ₽/шт
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	pg	Пятигорск, улица Малыгина, 5	299,99 ₽/шт
Мясо мидий Два Капитана чилийских отварное в рассоле, 300г	https://www.perekrestok.ru/cat/787/p/maso-midij-dva-kapitana-cilijskih-otvarnoe-v-rassole-300g-4045864	pg	Пятигорск, улица Малыгина, 5	174,99 ₽/шт
Мясо мидии Vici чилийской варёно-мороженое, 400г	https://www.perekrestok.ru/cat/55/p/maso-midii-vici-cilijskoj-vareno-morozenoe-400g-4032672	pg	Пятигорск, улица Малыгина, 5	379,99 ₽/шт
Мидии в створках Agama в собственном соку варёно-мороженые, 450г	https://www.perekrestok.ru/cat/55/p/midii-v-stvorkah-agama-v-sobstvennom-soku-vareno-morozenye-450g-3359360	rnd	Ростов-на-Дону, Будённовский проспект, 45	379,99 ₽/шт
Мясо мидий чилийских соленое в рассоле Маркет, 180г	https://www.perekrestok.ru/cat/787/p/maso-midij-cilijskih-solenoe-v-rassole-market-180g-4277131	rnd	Ростов-на-Дону, Будённовский проспект, 45	109,99 ₽/шт
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	rnd	Ростов-на-Дону, Будённовский проспект, 45	269,99 ₽/шт
Мясо мидий Два Капитана чилийских отварное в рассоле, 300г	https://www.perekrestok.ru/cat/787/p/maso-midij-dva-kapitana-cilijskih-otvarnoe-v-rassole-300g-4045864	rnd	Ростов-на-Дону, Будённовский проспект, 45	164,99 ₽/шт
Мясо мидии Vici чилийской варёно-мороженое, 400г	https://www.perekrestok.ru/cat/55/p/maso-midii-vici-cilijskoj-vareno-morozenoe-400g-4032672	rnd	Ростов-на-Дону, Будённовский проспект, 45	399,99 ₽/шт
