name	url	locale	address	price	time
Креветки северные неразделанные варено-мороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozenye-1kg-4343270	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветка Вкус Арт Ваннамей очищенная без вены с хвостом замороженная, 500г	https://www.perekrestok.ru/cat/55/p/krevetka-vkus-art-vannamej-ocisennaa-bez-veny-s-hvostom-zamorozennaa-500g-4292180	msk	Москва, Большой Патриарший переулок, 5	759,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Polar 70/90 варёно-мороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-polar-70-90-vareno-morozenye-1kg-3495300	msk	Москва, Большой Патриарший переулок, 5	1 249,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские варёно-мороженые очищенные с хвостиками, 850г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-vareno-morozenye-ocisennye-s-hvostikami-850g-3331822	msk	Москва, Большой Патриарший переулок, 5	2 299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Краб-стригун Новая Аляска Опилио конечности в панцире варено-мороженый, 400г	https://www.perekrestok.ru/cat/55/p/krab-strigun-novaa-alaska-opilio-konecnosti-v-pancire-vareno-morozenyj-400g-4318379	msk	Москва, Большой Патриарший переулок, 5	646,99 ₽/шт	Sun Jul  7 23:20:00 2024
Улитка Азов Трейд По-бургундскив чесночном соусе, 170г	https://www.perekrestok.ru/cat/55/p/ulitka-azov-trejd-po-burgundskiv-cesnocnom-souse-170g-3366608	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар командорский тушка очищенный замороженный Маркет Перекрёсток, 500г	https://www.perekrestok.ru/cat/55/p/kalmar-komandorskij-tuska-ocisennyj-zamorozennyj-market-perekrestok-500g-4259999	spb	Санкт-Петербург, Биржевая площадь, 4	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мясо мидий варено-мороженое Маркет, 500г	https://www.perekrestok.ru/cat/55/p/maso-midij-vareno-morozenoe-market-500g-4284218	spb	Санкт-Петербург, Биржевая площадь, 4	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки северные неразделанные варено-мороженные Пр!ст, 750г	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozennye-pr-st-750g-4269760	spb	Санкт-Петербург, Биржевая площадь, 4	739,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	spb	Санкт-Петербург, Биржевая площадь, 4	999,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские 50/70 замороженные	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	spb	Санкт-Петербург, Биржевая площадь, 4	649,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки королевские Fish & More очищенные с хвостом, 860г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-fish-more-ocisennye-s-hvostom-860g-4012971	spb	Санкт-Петербург, Биржевая площадь, 4	2 199,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Vici Королевские варено-мороженные 450 г	https://www.perekrestok.ru/cat/55/p/krevetki-vici-korolevskie-vareno-morozennye-450-g-3970776	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка Вкус Арт Ваннамей очищенная без вены с хвостом замороженная, 500г	https://www.perekrestok.ru/cat/55/p/krevetka-vkus-art-vannamej-ocisennaa-bez-veny-s-hvostom-zamorozennaa-500g-4292180	spb	Санкт-Петербург, Биржевая площадь, 4	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка Ваннамей Fish & More свежемороженая, 500г	https://www.perekrestok.ru/cat/55/p/krevetka-vannamej-fish-more-svezemorozenaa-500g-4078304	spb	Санкт-Петербург, Биржевая площадь, 4	1 049,00 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Королевские неразделанные варено-мороженные Маркет, 850г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-nerazdelannye-vareno-morozennye-market-850g-4269762	spb	Санкт-Петербург, Биржевая площадь, 4	839,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки северные неразделанные варено-мороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozenye-1kg-4343270	spb	Санкт-Петербург, Биржевая площадь, 4	599,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки Ваннамей Королевские белоногие без головы в панцире сыромороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-vannamej-korolevskie-belonogie-bez-golovy-v-pancire-syromorozenye-1kg-4337177	spb	Санкт-Петербург, Биржевая площадь, 4	1 349,00 ₽/кг	Sun Jul  7 23:20:00 2024
Кальмар Borealis Командорский тушка без кожи замороженный, 500г	https://www.perekrestok.ru/cat/55/p/kalmar-borealis-komandorskij-tuska-bez-kozi-zamorozennyj-500g-4122013	spb	Санкт-Петербург, Биржевая площадь, 4	589,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мидии Vici чилийские варено-мороженые	https://www.perekrestok.ru/cat/55/p/midii-vici-cilijskie-vareno-morozenye-4289553	spb	Санкт-Петербург, Биржевая площадь, 4	759,99 ₽/кг	Sun Jul  7 23:20:00 2024
Краб-стригун Новая Аляска Опилио конечности в панцире варено-мороженый, 400г	https://www.perekrestok.ru/cat/55/p/krab-strigun-novaa-alaska-opilio-konecnosti-v-pancire-vareno-morozenyj-400g-4318379	spb	Санкт-Петербург, Биржевая площадь, 4	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль морской замороженный, 500г	https://www.perekrestok.ru/cat/55/p/koktejl-morskoj-zamorozennyj-500g-4277059	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар командорский тушка очищенный замороженный Маркет Перекрёсток, 500г	https://www.perekrestok.ru/cat/55/p/kalmar-komandorskij-tuska-ocisennyj-zamorozennyj-market-perekrestok-500g-4259999	ekb	Екатеринбург, ул. Бориса Ельцина, 3	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мясо мидий варено-мороженое Маркет, 500г	https://www.perekrestok.ru/cat/55/p/maso-midij-vareno-morozenoe-market-500g-4284218	ekb	Екатеринбург, ул. Бориса Ельцина, 3	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки северные неразделанные варено-мороженные Пр!ст, 750г	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozennye-pr-st-750g-4269760	ekb	Екатеринбург, ул. Бориса Ельцина, 3	679,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	ekb	Екатеринбург, ул. Бориса Ельцина, 3	999,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские 50/70 замороженные	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	ekb	Екатеринбург, ул. Бориса Ельцина, 3	759,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки северные неразделанные варено-мороженые, 1кг	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozenye-1kg-4343270	ekb	Екатеринбург, ул. Бориса Ельцина, 3	599,99 ₽/кг	Sun Jul  7 23:20:00 2024
Креветки королевские Polar 50/70 варёно-мороженые, 500г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-polar-50-70-vareno-morozenye-500g-3420956	ekb	Екатеринбург, ул. Бориса Ельцина, 3	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветки королевские Бухта Изобилия варёно-мороженые очищенные, 300г	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-buhta-izobilia-vareno-morozenye-ocisennye-300g-3641931	ekb	Екатеринбург, ул. Бориса Ельцина, 3	679,99 ₽/шт	Sun Jul  7 23:20:00 2024
Креветка Вкус Арт Ваннамей очищенная без вены с хвостом замороженная, 500г	https://www.perekrestok.ru/cat/55/p/krevetka-vkus-art-vannamej-ocisennaa-bez-veny-s-hvostom-zamorozennaa-500g-4292180	ekb	Екатеринбург, ул. Бориса Ельцина, 3	699,99 ₽/шт	Sun Jul  7 23:20:00 2024
