name	url	locale	address	price	time
Мороженое сливочное Мятное с брауни 10% Зелёная Линия, 75г	https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-matnoe-s-brauni-10-zelenaa-linia-75g-4096144	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое сливочное клубника со сливками 10% Зелёная Линия, 75г	https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-klubnika-so-slivkami-10-zelenaa-linia-75g-4096146	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое пломбир со вкусом ванили в вафельном стаканчике 12% Молочный знак, 70г	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-so-vkusom-vanili-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289045	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое пломбир солёная карамель 15% Зелёная Линия, 75г	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-solenaa-karamel-15-zelenaa-linia-75g-4096147	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г	https://www.perekrestok.ru/cat/321/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г	https://www.perekrestok.ru/cat/321/p/morozenoe-malinovyj-pirog-s-belym-sokoladom-plombir-15-zelenaa-linia-300g-4210655	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Магнат Фисташка сливочное покрытое шоколадом в вафельном рожке 8%, 72г	https://www.perekrestok.ru/cat/321/p/morozenoe-magnat-fistaska-slivocnoe-pokrytoe-sokoladom-v-vafelnom-rozke-8-72g-4284777	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое пломбир шоколадный в вафельном стаканчике 15% Молочный Знак, 100г	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-sokoladnyj-v-vafelnom-stakancike-15-molocnyj-znak-100g-4343551	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое сливочное Sunreme малина-банан рожок в глазури 8%, 78г	https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-sunreme-malina-banan-rozok-v-glazuri-8-78g-4239014	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое сливочное Sunreme клубника со сливками рожок в глазури 8%, 73г	https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-sunreme-klubnika-so-slivkami-rozok-v-glazuri-8-73g-4239016	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пломбир Чистая Линия ванильный 12%, 70г	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-vanilnyj-12-70g-3975059	msk	Москва, Большой Патриарший переулок, 5	194,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Мадагаскарская ваниль пломбир 14% Зелёная Линия, 75г	https://www.perekrestok.ru/cat/321/p/morozenoe-madagaskarskaa-vanil-plombir-14-zelenaa-linia-75g-4210656	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Twix Карамель с рисовыми шариками в молочном шоколаде 5%, 68г	https://www.perekrestok.ru/cat/321/p/morozenoe-twix-karamel-s-risovymi-sarikami-v-molocnom-sokolade-5-68g-4347188	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Чистая Линия Пломбир с фисташковой пастой в вафельном рожке 12%, 110	https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-plombir-s-fistaskovoj-pastoj-v-vafelnom-rozke-12-110-4315657	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Чистая Линия Мини-Шарики с ароматом ванили 12%, 65г	https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-mini-sariki-s-aromatom-vanili-12-65g-4291388	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пломбир Филевская Лакомка в шоколадной глазури 15%, 90г	https://www.perekrestok.ru/cat/321/p/plombir-filevskaa-lakomka-v-sokoladnoj-glazuri-15-90g-66259	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лёд фруктовый Мах Луналёд со вкусом земляники и мармеладом и бабл-гам, 55г	https://www.perekrestok.ru/cat/321/p/led-fruktovyj-mah-lunaled-so-vkusom-zemlaniki-i-marmeladom-i-babl-gam-55g-4342083	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Эскимо Чистая Линия пломбир ванильное в апельсиновом соке в глазури 12%, 70г	https://www.perekrestok.ru/cat/321/p/eskimo-cistaa-linia-plombir-vanilnoe-v-apelsinovom-soke-v-glazuri-12-70g-3650693	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Эскимо Магнат Шоколадный трюфель сливочное с наполнителем-бисквитами в шоколаде 8%, 72г	https://www.perekrestok.ru/cat/321/p/eskimo-magnat-sokoladnyj-trufel-slivocnoe-s-napolnitelem-biskvitami-v-sokolade-8-72g-3926883	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Bounty молочное с мякотью кокоса и кокосовым молоком в глазури с вафельной крошкой, 60г	https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-i-kokosovym-molokom-v-glazuri-s-vafelnoj-kroskoj-60g-4343674	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Эскимо пломбир с ванилью в шоколадной сливочной глазури 15% Молочный Знак, 80г	https://www.perekrestok.ru/cat/321/p/eskimo-plombir-s-vanilu-v-sokoladnoj-slivocnoj-glazuri-15-molocnyj-znak-80g-4311103	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Магнат Эйфория маскарпоне-голубика сливочное в молочном шоколаде 8%, 70г	https://www.perekrestok.ru/cat/321/p/morozenoe-magnat-ejforia-maskarpone-golubika-slivocnoe-v-molocnom-sokolade-8-70g-4341209	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Эскимо Чистая Линия Российское пломбир, 80г	https://www.perekrestok.ru/cat/321/p/eskimo-cistaa-linia-rossijskoe-plombir-80g-2128085	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое молочное Эkzo Драгонфрут-гуанабана карамбола-ната де коко 2%, 70г	https://www.perekrestok.ru/cat/321/p/morozenoe-molocnoe-ekzo-dragonfrut-guanabana-karambola-nata-de-koko-2-70g-4041767	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Десерт Бон Пари Кошмарики ягодный, 60.3г	https://www.perekrestok.ru/cat/321/p/desert-bon-pari-kosmariki-agodnyj-60-3g-3625838	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое Эkzo молочное с кусочками дыни в замороженной глазури с соком арбуза 2%, 70г	https://www.perekrestok.ru/cat/321/p/morozenoe-ekzo-molocnoe-s-kusockami-dyni-v-zamorozennoj-glazuri-s-sokom-arbuza-2-70g-4284849	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Мороженое пломбир Трубочка с ароматом ванили во взбитой шоколадной глазури 15% Молочный Знак, 80г	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-trubocka-s-aromatom-vanili-vo-vzbitoj-sokoladnoj-glazuri-15-molocnyj-znak-80g-4320862	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Эскимо Чистая Линия Малиновый кактус пломбир ванильное с кусочками малины в глазури 12%, 80г	https://www.perekrestok.ru/cat/321/p/eskimo-cistaa-linia-malinovyj-kaktus-plombir-vanilnoe-s-kusockami-maliny-v-glazuri-12-80g-4085329	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
