name	url	locale	address	price
Морс клюквенный Зелёная Линия, 500мл	https://www.perekrestok.ru/cat/257/p/mors-klukvennyj-zelenaa-linia-500ml-4187805	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Морс Облепиховый Зелёная Линия, 500мл	https://www.perekrestok.ru/cat/257/p/mors-oblepihovyj-zelenaa-linia-500ml-4187803	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Морс черносмородиновый Зелёная Линия, 500мл	https://www.perekrestok.ru/cat/257/p/mors-cernosmorodinovyj-zelenaa-linia-500ml-4187804	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Морс клюквенный Зелёная Линия, 1л	https://www.perekrestok.ru/cat/257/p/mors-klukvennyj-zelenaa-linia-1l-4297529	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Морс черносмородиновый Зелёная Линия, 1л	https://www.perekrestok.ru/cat/257/p/mors-cernosmorodinovyj-zelenaa-linia-1l-4297531	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Морс Сады Придонья бруснично-малиновый, 1л	https://www.perekrestok.ru/cat/214/p/mors-sady-pridona-brusnicno-malinovyj-1l-3695894	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Морс Сады Придонья клюквенный, 1л	https://www.perekrestok.ru/cat/214/p/mors-sady-pridona-klukvennyj-1l-3695895	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Морс Добрый виноград-клюква- брусника-морошка, 970мл	https://www.perekrestok.ru/cat/214/p/mors-dobryj-vinograd-klukva-brusnika-moroska-970ml-4259201	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Морс Чудо-Ягода Клюквенный, 970мл	https://www.perekrestok.ru/cat/214/p/mors-cudo-agoda-klukvennyj-970ml-3190898	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Морс Чудо-Ягода Ягодный сбор, 970мл	https://www.perekrestok.ru/cat/214/p/mors-cudo-agoda-agodnyj-sbor-970ml-3192023	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Морс Добрый из винограда и клюквы, 970мл	https://www.perekrestok.ru/cat/214/p/mors-dobryj-iz-vinograda-i-klukvy-970ml-4259202	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Морс из лесных ягод, 370мл	https://www.perekrestok.ru/cat/214/p/mors-iz-lesnyh-agod-370ml-4069584	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Морс вишневый охл Миратор Трио Россия, 370мл	https://www.perekrestok.ru/cat/214/p/mors-visnevyj-ohl-mirator-trio-rossia-370ml-4069588	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
