name	url	locale	address	price
Мука пшеничная хлебопекарная высшего сорта Маркет Перекрёсток, 1кг	https://www.perekrestok.ru/cat/106/p/muka-psenicnaa-hlebopekarnaa-vyssego-sorta-market-perekrestok-1kg-3502351	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Мука Makfa высшего сорта, 2кг	https://www.perekrestok.ru/cat/106/p/muka-makfa-vyssego-sorta-2kg-91304	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Мука Makfa пшеничная высшего сорта, 1кг	https://www.perekrestok.ru/cat/106/p/muka-makfa-psenicnaa-vyssego-sorta-1kg-2003107	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт
Мука Пшеничная, 2кг	https://www.perekrestok.ru/cat/106/p/muka-psenicnaa-2kg-3231328	msk	Москва, Большой Патриарший переулок, 5	49,90 ₽/шт
Мука Французская Штучка пшеничная сорт экстра, 2кг	https://www.perekrestok.ru/cat/106/p/muka-francuzskaa-stucka-psenicnaa-sort-ekstra-2kg-3394693	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Мука Бело-Нежная пшеничная высшего сорта, 2кг	https://www.perekrestok.ru/cat/106/p/muka-belo-neznaa-psenicnaa-vyssego-sorta-2kg-3193726	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Мука С.Пудовъ Кондитерская пшеничная самоподнимающаяся высшего сорта, 1кг	https://www.perekrestok.ru/cat/106/p/muka-s-pudov-konditerskaa-psenicnaa-samopodnimausaasa-vyssego-sorta-1kg-3373613	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Мука блинная Маркет Перекрёсток, 1кг	https://www.perekrestok.ru/cat/106/p/muka-blinnaa-market-perekrestok-1kg-3502352	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт
Мука Пышечка блинная, 1кг	https://www.perekrestok.ru/cat/106/p/muka-pysecka-blinnaa-1kg-16319	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт
Мука Французская Штучка пшеничная обойная, 2кг	https://www.perekrestok.ru/cat/106/p/muka-francuzskaa-stucka-psenicnaa-obojnaa-2kg-3394703	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Мука С.Пудовъ пшеничная цельнозерновая самоподнимающаяся, 1кг	https://www.perekrestok.ru/cat/106/p/muka-s-pudov-psenicnaa-celnozernovaa-samopodnimausaasa-1kg-4029085	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Мука Сокольническая пшеничная хлебопекарная высший сорт, 2кг	https://www.perekrestok.ru/cat/106/p/muka-sokolniceskaa-psenicnaa-hlebopekarnaa-vyssij-sort-2kg-4262616	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Мука Nordic пшеничная первый сорт, 2кг	https://www.perekrestok.ru/cat/106/p/muka-nordic-psenicnaa-pervyj-sort-2kg-4286750	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
