name	url	locale	address	price
Настойка Бульбашъ Зубровая горькая 40%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-zubrovaa-gorkaa-40-500ml-3171928	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/шт
Настойка Бульбашъ Зубровая горькая 40%, 200мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-zubrovaa-gorkaa-40-200ml-3640424	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Настойка горькая Архангельская Перцовая с Северным Мёдом 38%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-gorkaa-arhangelskaa-percovaa-s-severnym-medom-38-500ml-4275030	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Настойка Коноплянка на семенах конопли горькая 40%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-konoplanka-na-semenah-konopli-gorkaa-40-500ml-4126796	msk	Москва, Большой Патриарший переулок, 5	459,99 ₽/шт
Настойка Nemiroff Украинская медовая с перцем 40%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-nemiroff-ukrainskaa-medovaa-s-percem-40-500ml-3404081	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Настойка Урожай Жгучий перчик горькая 40%, 100мл	https://www.perekrestok.ru/cat/8/p/nastojka-urozaj-zgucij-percik-gorkaa-40-100ml-3944029	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Настойка Сиббиттер Сибирский мёд с перцем горькая 38%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-sibbitter-sibirskij-med-s-percem-gorkaa-38-500ml-3472152	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/шт
Настойка Бульбашъ Медовая с перцем горькая 40%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-medovaa-s-percem-gorkaa-40-500ml-3171931	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/шт
Настойка Бульбашъ Медовая с перцем горькая 40%, 200мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-medovaa-s-percem-gorkaa-40-200ml-3640425	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Настойка Бульбашъ малина апельсин тимьян 23%, 500мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-malina-apelsin-timan-23-500ml-4231791	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
