name	url	locale	address	price	time
Капуста цветная быстрозамороженная Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/kapusta-cvetnaa-bystrozamorozennaa-market-perekrestok-400g-3489152	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Грибы Подосиновики резаные быстрозамороженные Маркет, 300г	https://www.perekrestok.ru/cat/59/p/griby-podosinoviki-rezanye-bystrozamorozennye-market-300g-4275437	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт	Sun Jul  7 23:20:00 2024
Картофель Фри замороженный Маркет, 700г	https://www.perekrestok.ru/cat/59/p/kartofel-fri-zamorozennyj-market-700g-4326042	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Фасоль стручковая резаная быстрозамороженная Пр!ст, 700г	https://www.perekrestok.ru/cat/59/p/fasol-struckovaa-rezanaa-bystrozamorozennaa-pr-st-700g-4315691	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/spinat-rezanyj-bystrozamorozennyj-market-perekrestok-400g-4150062	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Hortex Овощи по-деревенски замороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-hortex-ovosi-po-derevenski-zamorozennaa-400g-4015616	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Брокколи Морозко Green быстрозамороженное, 400г	https://www.perekrestok.ru/cat/59/p/brokkoli-morozko-green-bystrozamorozennoe-400g-3405386	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Грибы Белые резаные быстрозамороженные Маркет, 300г	https://www.perekrestok.ru/cat/59/p/griby-belye-rezanye-bystrozamorozennye-market-300g-4278477	spb	Санкт-Петербург, Биржевая площадь, 4	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь грибов лесных резаных быстрозамороженных Маркет, 300г	https://www.perekrestok.ru/cat/59/p/smes-gribov-lesnyh-rezanyh-bystrozamorozennyh-market-300g-4278476	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Картофель Fry Me Классический Фри замороженный, 700г	https://www.perekrestok.ru/cat/59/p/kartofel-fry-me-klassiceskij-fri-zamorozennyj-700g-4138523	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Картофель Фри замороженный Маркет, 700г	https://www.perekrestok.ru/cat/59/p/kartofel-fri-zamorozennyj-market-700g-4326042	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Горошек зелёный быстрозамороженный Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/gorosek-zelenyj-bystrozamorozennyj-market-perekrestok-400g-4151225	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Брокколи быстрозамороженная Маркет, 400г	https://www.perekrestok.ru/cat/59/p/brokkoli-bystrozamorozennaa-market-400g-3489151	ekb	Екатеринбург, ул. Бориса Ельцина, 3	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Капуста цветная быстрозамороженная Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/kapusta-cvetnaa-bystrozamorozennaa-market-perekrestok-400g-3489152	ekb	Екатеринбург, ул. Бориса Ельцина, 3	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/spinat-rezanyj-bystrozamorozennyj-market-perekrestok-400g-4150062	ekb	Екатеринбург, ул. Бориса Ельцина, 3	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Мексиканская быстрозамороженная Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-meksikanskaa-bystrozamorozennaa-market-perekrestok-400g-3489165	ekb	Екатеринбург, ул. Бориса Ельцина, 3	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Овощи для жарки быстрозамороженная Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-ovosi-dla-zarki-bystrozamorozennaa-market-perekrestok-400g-3489168	ekb	Екатеринбург, ул. Бориса Ельцина, 3	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Agama Гавайская замороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-agama-gavajskaa-zamorozennaa-400g-4009160	ekb	Екатеринбург, ул. Бориса Ельцина, 3	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Hortex Брокколи и цветная быстрозамороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-hortex-brokkoli-i-cvetnaa-bystrozamorozennaa-400g-3444911	ekb	Екатеринбург, ул. Бориса Ельцина, 3	194,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Vитамин Испанская с соусом Ривейра быстрозамороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-vitamin-ispanskaa-s-sousom-rivejra-bystrozamorozennaa-400g-3377662	ekb	Екатеринбург, ул. Бориса Ельцина, 3	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Vитамин Итальянская быстрозамороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-vitamin-italanskaa-bystrozamorozennaa-400g-3415969	ekb	Екатеринбург, ул. Бориса Ельцина, 3	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Спаржа Планета Витаминов зеленая, 400г	https://www.perekrestok.ru/cat/59/p/sparza-planeta-vitaminov-zelenaa-400g-3449160	ekb	Екатеринбург, ул. Бориса Ельцина, 3	499,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Bonduelle Вок овощи по-азиатски замороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-bonduelle-vok-ovosi-po-aziatski-zamorozennaa-400g-4087615	ekb	Екатеринбург, ул. Бориса Ельцина, 3	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь овощная Vитамин Киноа с овощами и базиликом быстрозамороженная, 400г	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-vitamin-kinoa-s-ovosami-i-bazilikom-bystrozamorozennaa-400g-3636753	ekb	Екатеринбург, ул. Бориса Ельцина, 3	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
