name	url	locale	address	price
Томаты протёртые Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/76/p/tomaty-protertye-market-perekrestok-200g-4042451	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Маслины без косточки Пр!ст, 280г	https://www.perekrestok.ru/cat/76/p/masliny-bez-kostocki-pr-st-280g-3468532	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Фасоль белая в томатном соусе Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/76/p/fasol-belaa-v-tomatnom-souse-market-perekrestok-400g-3635744	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Огурцы маринованные целые Пр!ст, 680г	https://www.perekrestok.ru/cat/76/p/ogurcy-marinovannye-celye-pr-st-680g-3504166	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Горошек зелёный Пр!ст, 420г	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-pr-st-420g-4100914	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Оливки Халкидики с косточкой Market Collection, 200г	https://www.perekrestok.ru/cat/76/p/olivki-halkidiki-s-kostockoj-market-collection-200g-4027822	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Горошек зелёный Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-market-perekrestok-400g-3504837	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Горошек Bonduelle Classique зелёный, 200г	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-200g-27460	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Горошек Bonduelle Classique зелёный, 400г	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-400g-16791	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Горошек 6 соток зелёный, 400г	https://www.perekrestok.ru/cat/76/p/gorosek-6-sotok-zelenyj-400g-82254	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Горошек Globus зелёный, 400г	https://www.perekrestok.ru/cat/76/p/gorosek-globus-zelenyj-400g-41891	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт
Горошек Bonduelle зелёный молодой, 400г	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-zelenyj-molodoj-400g-3951175	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Горошек Bonduelle зеленый стерилизованный, 360г	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-zelenyj-sterilizovannyj-360g-4283761	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Горошек Bonduelle Expert зелёный с морковью, 200г	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-expert-zelenyj-s-morkovu-200g-21306	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Горох Bizim Tarla зелёный, 660г	https://www.perekrestok.ru/cat/76/p/goroh-bizim-tarla-zelenyj-660g-4254005	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Кукуруза Bonduelle Classique сладкая, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-bonduelle-classique-sladkaa-340g-3792	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Кукуруза 6 соток сладкая, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-6-sotok-sladkaa-340g-82253	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Кукуруза Bonduelle Classique сладкая, 170г	https://www.perekrestok.ru/cat/76/p/kukuruza-bonduelle-classique-sladkaa-170g-16793	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кукуруза сахарная в зёрнах высший сорт Маркет, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-saharnaa-v-zernah-vyssij-sort-market-340g-4321444	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Кукуруза Bonduelle молодая сладкая, 170г	https://www.perekrestok.ru/cat/76/p/kukuruza-bonduelle-molodaa-sladkaa-170g-3645521	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Кукуруза сахарная Пр!ст, 400г	https://www.perekrestok.ru/cat/76/p/kukuruza-saharnaa-pr-st-400g-4316301	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Кукуруза Bonduelle в зернах, 360г	https://www.perekrestok.ru/cat/76/p/kukuruza-bonduelle-v-zernah-360g-4283766	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Кукуруза Globus сладкая, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-globus-sladkaa-340g-2050066	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Кукуруза Bonduelle молодая сладкая, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-bonduelle-molodaa-sladkaa-340g-3645520	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Кукуруза молодая в початках Маркет Collection, 340г	https://www.perekrestok.ru/cat/76/p/kukuruza-molodaa-v-pocatkah-market-collection-340g-4294692	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Кукуруза Знак Заботы сахарная в зернах высший сорт,  450г	https://www.perekrestok.ru/cat/76/p/kukuruza-znak-zaboty-saharnaa-v-zernah-vyssij-sort-450g-4273333	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Огурцы 6 соток маринованные хрустящие, 680г	https://www.perekrestok.ru/cat/76/p/ogurcy-6-sotok-marinovannye-hrustasie-680g-82160	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Корнишоны Дядя Ваня По-Французски, 460г	https://www.perekrestok.ru/cat/76/p/kornisony-dada-vana-po-francuzski-460g-3180523	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Огурчики Дядя Ваня По-Берлински маринованные, 680г	https://www.perekrestok.ru/cat/76/p/ogurciki-dada-vana-po-berlinski-marinovannye-680g-71250	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Огурцы 6 соток Домашние маринованные, 680г	https://www.perekrestok.ru/cat/76/p/ogurcy-6-sotok-domasnie-marinovannye-680g-3479985	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Огурцы Bonduelle маринованные, 720г	https://www.perekrestok.ru/cat/76/p/ogurcy-bonduelle-marinovannye-720g-2050041	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Корнишоны Скатерть-Самобранка маринованные, 480г	https://www.perekrestok.ru/cat/76/p/kornisony-skatert-samobranka-marinovannye-480g-3662073	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Огурцы Лукашинские По-домашнему солёные для дошкольного и школьного питания, 350г	https://www.perekrestok.ru/cat/76/p/ogurcy-lukasinskie-po-domasnemu-solenye-dla-doskolnogo-i-skolnogo-pitania-350g-4149239	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Огурчики Дядя Ваня маринованные, 1.8кг	https://www.perekrestok.ru/cat/76/p/ogurciki-dada-vana-marinovannye-1-8kg-2101582	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Огурцы целые маринованные Маркет Перекрёсток, 680г	https://www.perekrestok.ru/cat/76/p/ogurcy-celye-marinovannye-market-perekrestok-680g-4078446	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Огурцы Валдайский Погребок Купеческие маринованные, 650г	https://www.perekrestok.ru/cat/76/p/ogurcy-valdajskij-pogrebok-kupeceskie-marinovannye-650g-3472384	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Огурчики Пиканта маринованные, 460г	https://www.perekrestok.ru/cat/76/p/ogurciki-pikanta-marinovannye-460g-4321954	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Огурцы Vegda Product солёные, 580г	https://www.perekrestok.ru/cat/76/p/ogurcy-vegda-product-solenye-580g-3496215	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Огурчики Лукашинские По-старорусски с зеленью и дубовым листом, 670г	https://www.perekrestok.ru/cat/76/p/ogurciki-lukasinskie-po-starorusski-s-zelenu-i-dubovym-listom-670g-3407713	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Огурцы Павловские маринованные с вишнёвым листочком, 670г	https://www.perekrestok.ru/cat/76/p/ogurcy-pavlovskie-marinovannye-s-visnevym-listockom-670g-4120939	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Огурчики Валдайский Погребок Дворянские маринованные, 650г	https://www.perekrestok.ru/cat/76/p/ogurciki-valdajskij-pogrebok-dvoranskie-marinovannye-650g-3499242	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Огурцы Павловские бочковые солёные, 840г	https://www.perekrestok.ru/cat/76/p/ogurcy-pavlovskie-bockovye-solenye-840g-4260395	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Ассорти Скатерть-Самобранка из корнишонов и томатов черри, 720г	https://www.perekrestok.ru/cat/76/p/assorti-skatert-samobranka-iz-kornisonov-i-tomatov-cerri-720g-3226602	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Ассорти Дядя Ваня огурцы и томаты, 1.8кг	https://www.perekrestok.ru/cat/76/p/assorti-dada-vana-ogurcy-i-tomaty-1-8kg-3168901	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Огурчики Лукашинские соленые острые с тархуном, 670г	https://www.perekrestok.ru/cat/76/p/ogurciki-lukasinskie-solenye-ostrye-s-tarhunom-670g-4275316	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Огурцы Валдайский Погребок старорусские с мёдом и клюквой солёные, 680г	https://www.perekrestok.ru/cat/76/p/ogurcy-valdajskij-pogrebok-starorusskie-s-medom-i-klukvoj-solenye-680g-4167094	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Огурчики Globus Старорусские солёные, 900г	https://www.perekrestok.ru/cat/76/p/ogurciki-globus-starorusskie-solenye-900g-4063896	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
