name	url	locale	address	price
Паштет из печени Егорьевская Деревенский жареный, 150г	https://www.perekrestok.ru/cat/778/p/pastet-iz-peceni-egorevskaa-derevenskij-zarenyj-150g-3373724	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-s-pecenu-indejki-i-grusej-kategoria-b-zapecennyj-zelenaa-linia-160g-4056910	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Паштет Setra Куриный без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-kurinyj-bez-konservantov-100g-2125902	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Паштет Setra из индейки без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-indejki-bez-konservantov-100g-2125907	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Паштет Рублёвский Утка с черносливом мясной деликатесный, 200г	https://www.perekrestok.ru/cat/778/p/pastet-rublevskij-utka-s-cernoslivom-masnoj-delikatesnyj-200g-3488430	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Паштет из печени Егорьевская жареный, 150г	https://www.perekrestok.ru/cat/778/p/pastet-iz-peceni-egorevskaa-zarenyj-150g-3274799	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Паштет Hame Деликатесный с гусиной печенью, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-gusinoj-pecenu-105g-3959234	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Паштет Hame Деликатесный с индейкой стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-indejkoj-sterilizovannye-105g-3959235	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-iz-masa-pticy-sterilizovannye-105g-3959236	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Паштет Setra из куриной печени без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-kurinoj-peceni-bez-konservantov-100g-2125905	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Паштет из мяса утки Фермерский с черной смородиной, 100г	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-utki-fermerskij-s-cernoj-smorodinoj-100g-4123207	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Паштет Perva Extra Vegan лесные грибы, 100г	https://www.perekrestok.ru/cat/78/p/pastet-perva-extra-vegan-lesnye-griby-100g-3951131	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Паштет Setra Утиный, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-utinyj-100g-3423314	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Паштет Егорьевская Фуа-гра из птичьей печени запечёный, 180г	https://www.perekrestok.ru/cat/778/p/pastet-egorevskaa-fua-gra-iz-pticej-peceni-zapecenyj-180g-3655252	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Паштет из мяса кролика Фермерский с прованскими травами, 100г	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-krolika-fermerskij-s-provanskimi-travami-100g-4123206	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Паштет Setra Гусиный, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-gusinyj-100g-3423315	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Паштет Лесная Диковинка из мяса лося с тыквенными семечками, 200г	https://www.perekrestok.ru/cat/808/p/pastet-lesnaa-dikovinka-iz-masa-losa-s-tykvennymi-semeckami-200g-4024881	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Паштет Лесная Диковинка из мяса оленя с морковью, 200г	https://www.perekrestok.ru/cat/808/p/pastet-lesnaa-dikovinka-iz-masa-olena-s-morkovu-200g-4024880	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Паштет Perva Extra печёночный со сливочным маслом ключ, 100г	https://www.perekrestok.ru/cat/808/p/pastet-perva-extra-pecenocnyj-so-slivocnym-maslom-kluc-100g-3938288	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Паштет Высший Вкус Грибной, 200г	https://www.perekrestok.ru/cat/778/p/pastet-vyssij-vkus-gribnoj-200g-4260427	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Паштет Медовый Дом из печени кролика, 230г	https://www.perekrestok.ru/cat/778/p/pastet-medovyj-dom-iz-peceni-krolika-230g-3992140	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Паштет Медовый Дом из печени индейки, 230г	https://www.perekrestok.ru/cat/778/p/pastet-medovyj-dom-iz-peceni-indejki-230g-3992139	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт
Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-s-pecenu-indejki-i-grusej-kategoria-b-zapecennyj-zelenaa-linia-160g-4056910	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Паштет с куриной печенью и черносливом категории Б Зелёная Линия, 160г	https://www.perekrestok.ru/cat/778/p/pastet-s-kurinoj-pecenu-i-cernoslivom-kategorii-b-zelenaa-linia-160g-4163785	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Паштет По-домашнему категория Б Зелёная Линия, 160г	https://www.perekrestok.ru/cat/778/p/pastet-po-domasnemu-kategoria-b-zelenaa-linia-160g-4135358	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт
Паштет из куриной печени с вялеными томатами запечённый Зелёная Линия, 180г	https://www.perekrestok.ru/cat/778/p/pastet-iz-kurinoj-peceni-s-valenymi-tomatami-zapecennyj-zelenaa-linia-180g-4326208	spb	Санкт-Петербург, Биржевая площадь, 4	259,99 ₽/шт
Паштет Hame Деликатесный с гусиной печенью, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-gusinoj-pecenu-105g-3959234	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт
Паштет Hame Деликатесный с индейкой стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-indejkoj-sterilizovannye-105g-3959235	spb	Санкт-Петербург, Биржевая площадь, 4	81,99 ₽/шт
Паштет Setra из индейки без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-indejki-bez-konservantov-100g-2125907	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт
Паштет из мяса утки Фермерский с черной смородиной, 100г	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-utki-fermerskij-s-cernoj-smorodinoj-100g-4123207	spb	Санкт-Петербург, Биржевая площадь, 4	154,99 ₽/шт
Паштет Setra Куриный без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-kurinyj-bez-konservantov-100g-2125902	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт
Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-iz-masa-pticy-sterilizovannye-105g-3959236	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт
Паштет Главпродукт печёночный со сливочным маслом, 100г	https://www.perekrestok.ru/cat/808/p/pastet-glavprodukt-pecenocnyj-so-slivocnym-maslom-100g-3656033	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт
Паштет Setra из куриной печени без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-kurinoj-peceni-bez-konservantov-100g-2125905	spb	Санкт-Петербург, Биржевая площадь, 4	134,99 ₽/шт
Паштет Setra Утиный, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-utinyj-100g-3423314	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Паштет Perva Extra Vegan лесные грибы, 100г	https://www.perekrestok.ru/cat/78/p/pastet-perva-extra-vegan-lesnye-griby-100g-3951131	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Паштет Лесная Диковинка из мяса лося с тыквенными семечками, 200г	https://www.perekrestok.ru/cat/808/p/pastet-lesnaa-dikovinka-iz-masa-losa-s-tykvennymi-semeckami-200g-4024881	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт
Паштет из мяса кролика Фермерский с прованскими травами, 100г	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-krolika-fermerskij-s-provanskimi-travami-100g-4123206	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт
Паштет Высший Вкус Грибной, 200г	https://www.perekrestok.ru/cat/778/p/pastet-vyssij-vkus-gribnoj-200g-4260427	spb	Санкт-Петербург, Биржевая площадь, 4	389,99 ₽/шт
Паштет мясной Мираторг, 130г	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-miratorg-130g-4060212	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Паштет мясной Мираторг с копчёным беконом, 130г	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-miratorg-s-kopcenym-bekonom-130g-4041883	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-s-pecenu-indejki-i-grusej-kategoria-b-zapecennyj-zelenaa-linia-160g-4056910	ekb	Екатеринбург, ул. Бориса Ельцина, 3	159,99 ₽/шт
Паштет Setra Куриный без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-kurinyj-bez-konservantov-100g-2125902	ekb	Екатеринбург, ул. Бориса Ельцина, 3	119,99 ₽/шт
Паштет Setra из индейки без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-indejki-bez-konservantov-100g-2125907	ekb	Екатеринбург, ул. Бориса Ельцина, 3	119,99 ₽/шт
Паштет Hame Деликатесный с гусиной печенью, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-gusinoj-pecenu-105g-3959234	ekb	Екатеринбург, ул. Бориса Ельцина, 3	73,99 ₽/шт
Паштет Hame Деликатесный с индейкой стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-indejkoj-sterilizovannye-105g-3959235	ekb	Екатеринбург, ул. Бориса Ельцина, 3	75,99 ₽/шт
Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-iz-masa-pticy-sterilizovannye-105g-3959236	ekb	Екатеринбург, ул. Бориса Ельцина, 3	73,99 ₽/шт
Паштет Setra из куриной печени без консервантов, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-kurinoj-peceni-bez-konservantov-100g-2125905	ekb	Екатеринбург, ул. Бориса Ельцина, 3	114,99 ₽/шт
Паштет Главпродукт печёночный со сливочным маслом, 100г	https://www.perekrestok.ru/cat/808/p/pastet-glavprodukt-pecenocnyj-so-slivocnym-maslom-100g-3656033	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
Паштет из мяса утки Фермерский с черной смородиной, 100г	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-utki-fermerskij-s-cernoj-smorodinoj-100g-4123207	ekb	Екатеринбург, ул. Бориса Ельцина, 3	144,99 ₽/шт
Паштет Perva Extra Vegan лесные грибы, 100г	https://www.perekrestok.ru/cat/78/p/pastet-perva-extra-vegan-lesnye-griby-100g-3951131	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
Паштет Setra Утиный, 100г	https://www.perekrestok.ru/cat/808/p/pastet-setra-utinyj-100g-3423314	ekb	Екатеринбург, ул. Бориса Ельцина, 3	194,99 ₽/шт
Паштет нежный Главпродукт из печени индейки из мяса и субпродуктов птицы, 100г	https://www.perekrestok.ru/cat/808/p/pastet-neznyj-glavprodukt-iz-peceni-indejki-iz-masa-i-subproduktov-pticy-100g-3907746	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
