name	url	locale	address	price	time
Пастила Белёвская классическая без сахара Зелёная Линия, 100г	https://www.perekrestok.ru/cat/255/p/pastila-belevskaa-klassiceskaa-bez-sahara-zelenaa-linia-100g-4116134	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белёвская без сахара клюква Зелёная Линия, 100г	https://www.perekrestok.ru/cat/255/p/pastila-belevskaa-bez-sahara-klukva-zelenaa-linia-100g-4116135	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белевская Пастильная Мануфактура без сахара классическая, 100г	https://www.perekrestok.ru/cat/255/p/pastila-belevskaa-pastilnaa-manufaktura-bez-sahara-klassiceskaa-100g-3639879	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белёвская Классическая Зелёная Линия, 180г	https://www.perekrestok.ru/cat/706/p/pastila-belevskaa-klassiceskaa-zelenaa-linia-180g-4323864	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белевская с чёрной смородиной Зелёная Линия, 180г	https://www.perekrestok.ru/cat/706/p/pastila-belevskaa-s-cernoj-smorodinoj-zelenaa-linia-180g-4324105	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастилки с малиной и яблоком Зелёная Линия, 27г	https://www.perekrestok.ru/cat/706/p/pastilki-s-malinoj-i-ablokom-zelenaa-linia-27g-4263409	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастилки с яблоком Зелёная Линия, 27г	https://www.perekrestok.ru/cat/706/p/pastilki-s-ablokom-zelenaa-linia-27g-4263410	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастилки со сливой и яблоком Зелёная Линия, 27г	https://www.perekrestok.ru/cat/706/p/pastilki-so-slivoj-i-ablokom-zelenaa-linia-27g-4263411	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смоква из яблок Зелёная Линия, 80г	https://www.perekrestok.ru/cat/706/p/smokva-iz-ablok-zelenaa-linia-80g-4289740	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лаваш Семушка фруктовый из кураги, 80г	https://www.perekrestok.ru/cat/253/p/lavas-semuska-fruktovyj-iz-kuragi-80g-3643833	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лаваш Семушка фруктовый из сливы, 80г	https://www.perekrestok.ru/cat/253/p/lavas-semuska-fruktovyj-iz-slivy-80g-3643832	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Коломчаночка малина-лимон, 135г	https://www.perekrestok.ru/cat/255/p/pastila-kolomcanocka-malina-limon-135g-4221803	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки КФ Ильичёва из печёных яблок без сахара со смесью семян, 45г	https://www.perekrestok.ru/cat/255/p/palocki-kf-iliceva-iz-pecenyh-ablok-bez-sahara-so-smesu-seman-45g-4152218	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки КФ Ильичёва из печёных яблок без сахара с семенами чиа, 45г	https://www.perekrestok.ru/cat/255/p/palocki-kf-iliceva-iz-pecenyh-ablok-bez-sahara-s-semenami-cia-45g-4152219	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белёвская без сахара черника Зелёная Линия, 100г	https://www.perekrestok.ru/cat/255/p/pastila-belevskaa-bez-sahara-cernika-zelenaa-linia-100g-4116136	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Шармэль Клюквенная, 221г	https://www.perekrestok.ru/cat/706/p/pastila-sarmel-klukvennaa-221g-9779	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила со вкусом клюквы Маркет, 220г	https://www.perekrestok.ru/cat/706/p/pastila-so-vkusom-klukvy-market-220g-4273353	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Шармэль клубника-сливки, 221г	https://www.perekrestok.ru/cat/706/p/pastila-sarmel-klubnika-slivki-221g-9857	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Пастила Белевская Пастильная Мануфактура с черникой без сахара, 100г	https://www.perekrestok.ru/cat/255/p/pastila-belevskaa-pastilnaa-manufaktura-s-cernikoj-bez-sahara-100g-3645346	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт	Sun Jul  7 23:20:00 2024
