name	url	locale	address	price
Осетинский пирог с картофелем и сыром Шеф Перекрёсток, 200г	https://www.perekrestok.ru/cat/325/p/osetinskij-pirog-s-kartofelem-i-syrom-sef-perekrestok-200g-4284095	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Пирог Штрудель с яблоками и изюмом	https://www.perekrestok.ru/cat/325/p/pirog-strudel-s-ablokami-i-izumom-4308793	spb	Санкт-Петербург, Биржевая площадь, 4	1 099,00 ₽/кг
Пирог с зеленым луком и яйцом, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-zelenym-lukom-i-ajcom-400g-78030824	nn	Нижний Новгород, площадь Минина и Пожарского, 2	209,99 ₽/шт
Пирог с яблоками и брусникой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-ablokami-i-brusnikoj-400g-78030876	nn	Нижний Новгород, площадь Минина и Пожарского, 2	169,99 ₽/шт
Пирог с вишней, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-visnej-400g-78030813	nn	Нижний Новгород, площадь Минина и Пожарского, 2	169,99 ₽/шт
Пирог с мясом и картошкой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-i-kartoskoj-400g-78030833	nn	Нижний Новгород, площадь Минина и Пожарского, 2	209,99 ₽/шт
Пирог с мясом и капустой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-i-kapustoj-400g-78030809	nn	Нижний Новгород, площадь Минина и Пожарского, 2	209,99 ₽/шт
Пирог с мясом, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-400g-78030625	nn	Нижний Новгород, площадь Минина и Пожарского, 2	269,99 ₽/шт
Пирог Вишнёвый венский	https://www.perekrestok.ru/cat/325/p/pirog-visnevyj-venskij-3680339	nn	Нижний Новгород, площадь Минина и Пожарского, 2	449,99 ₽/кг
Пирог с капустой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-kapustoj-400g-78030831	nn	Нижний Новгород, площадь Минина и Пожарского, 2	169,99 ₽/шт
Пирог Чизкейк венский с черникой	https://www.perekrestok.ru/cat/325/p/pirog-cizkejk-venskij-s-cernikoj-3680341	nn	Нижний Новгород, площадь Минина и Пожарского, 2	699,90 ₽/кг
Пирог Медовый венский	https://www.perekrestok.ru/cat/325/p/pirog-medovyj-venskij-3680338	nn	Нижний Новгород, площадь Минина и Пожарского, 2	469,99 ₽/кг
Пирог венский с яблоком	https://www.perekrestok.ru/cat/325/p/pirog-venskij-s-ablokom-3680340	nn	Нижний Новгород, площадь Минина и Пожарского, 2	429,99 ₽/кг
Пирог с зеленым луком и яйцом, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-zelenym-lukom-i-ajcom-400g-78030824	rnd	Ростов-на-Дону, Будённовский проспект, 45	209,99 ₽/шт
Пирог с яблоками и брусникой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-ablokami-i-brusnikoj-400g-78030876	rnd	Ростов-на-Дону, Будённовский проспект, 45	169,99 ₽/шт
Пирог с вишней, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-visnej-400g-78030813	rnd	Ростов-на-Дону, Будённовский проспект, 45	169,99 ₽/шт
Пирог с мясом и картошкой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-i-kartoskoj-400g-78030833	rnd	Ростов-на-Дону, Будённовский проспект, 45	209,99 ₽/шт
Пирог с мясом и капустой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-i-kapustoj-400g-78030809	rnd	Ростов-на-Дону, Будённовский проспект, 45	209,99 ₽/шт
Пирог с мясом, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-masom-400g-78030625	rnd	Ростов-на-Дону, Будённовский проспект, 45	269,99 ₽/шт
Пирог Вишнёвый венский	https://www.perekrestok.ru/cat/325/p/pirog-visnevyj-venskij-3680339	rnd	Ростов-на-Дону, Будённовский проспект, 45	449,90 ₽/кг
Пирог с капустой, 400г	https://www.perekrestok.ru/cat/325/p/pirog-s-kapustoj-400g-78030831	rnd	Ростов-на-Дону, Будённовский проспект, 45	169,99 ₽/шт
Пирог Чизкейк венский с черникой	https://www.perekrestok.ru/cat/325/p/pirog-cizkejk-venskij-s-cernikoj-3680341	rnd	Ростов-на-Дону, Будённовский проспект, 45	699,90 ₽/кг
Пирог Медовый венский	https://www.perekrestok.ru/cat/325/p/pirog-medovyj-venskij-3680338	rnd	Ростов-на-Дону, Будённовский проспект, 45	469,90 ₽/кг
Пирог венский с яблоком	https://www.perekrestok.ru/cat/325/p/pirog-venskij-s-ablokom-3680340	rnd	Ростов-на-Дону, Будённовский проспект, 45	429,90 ₽/кг
