name	url	locale	address	price
Пиво Патронус Хевейссбир Хелл светлое нефильтрованное	https://www.perekrestok.ru/cat/9/p/pivo-patronus-hevejssbir-hell-svetloe-nefiltrovannoe-4170806	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Пиво Bakalar светлое фильтрованное 5.2%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-bakalar-svetloe-filtrovannoe-5-2-500ml-3484414	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Пиво Ячменное Фирменное светлое фильтрованное 4%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-acmennoe-firmennoe-svetloe-filtrovannoe-4-500ml-3698974	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Пиво Харвес светлое нефильтрованное, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-harves-svetloe-nefiltrovannoe-500ml-3698975	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Пиво Балтика №7 Экспортное светлое 5.4%, 450мл	https://www.perekrestok.ru/cat/9/p/pivo-baltika-no7-eksportnoe-svetloe-5-4-450ml-3502297	msk	Москва, Большой Патриарший переулок, 5	64,99 ₽/шт
Пиво Жигули Барное светлое 4.9%, 450мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-barnoe-svetloe-4-9-450ml-3661343	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Пиво Жигулёвское светлое 4.6%, 1.5л	https://www.perekrestok.ru/cat/9/p/pivo-zigulevskoe-svetloe-4-6-1-5l-3620837	msk	Москва, Большой Патриарший переулок, 5	174,99 ₽/шт
Пиво Bud светлое 5%, 450мл	https://www.perekrestok.ru/cat/9/p/pivo-bud-svetloe-5-450ml-3655481	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт
Пиво Weihenstephaner Original Helles светлое фильтрованное пастеризованное 5.1%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-weihenstephaner-original-helles-svetloe-filtrovannoe-pasterizovannoe-5-1-500ml-4340344	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Пиво Pilsner Urquell светлое 4.4%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-pilsner-urquell-svetloe-4-4-500ml-3273501	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Пиво Жигулевское Фирменное светлое 4%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-zigulevskoe-firmennoe-svetloe-4-500ml-3661399	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Пиво Lauterbacher Natur Weizen пшеничное светлое нефильтрованное непастеризованное неосветлённое 5.3%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-lauterbacher-natur-weizen-psenicnoe-svetloe-nefiltrovannoe-nepasterizovannoe-neosvetlennoe-5-3-500ml-4250829	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Напиток пивной Cesky Kabancek Пшеничное нефильтрованный 4.4%, 1л	https://www.perekrestok.ru/cat/9/p/napitok-pivnoj-cesky-kabancek-psenicnoe-nefiltrovannyj-4-4-1l-4050229	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Пиво Krusovice светлое пастеризованное 4.2%, 430мл	https://www.perekrestok.ru/cat/9/p/pivo-krusovice-svetloe-pasterizovannoe-4-2-430ml-4169278	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Пиво Hofbrau Оригинальное светлое 5.1%, 500мл	https://www.perekrestok.ru/cat/9/p/pivo-hofbrau-originalnoe-svetloe-5-1-500ml-3187728	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Пиво Жигули Барное экспортное светлое 4.8%, 450мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-barnoe-eksportnoe-svetloe-4-8-450ml-3677150	msk	Москва, Большой Патриарший переулок, 5	63,99 ₽/шт
