name	url	locale	address	price
Подушечки Chocozavr хрустящие с шоколадно-молочной начинкой, 220г	https://www.perekrestok.ru/cat/748/p/podusecki-chocozavr-hrustasie-s-sokoladno-molocnoj-nacinkoj-220g-4272345	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Подушечки Любятово шоколадные, 500г	https://www.perekrestok.ru/cat/748/p/podusecki-lubatovo-sokoladnye-500g-3691087	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Шарики Любятово шоколадные, 500г	https://www.perekrestok.ru/cat/748/p/sariki-lubatovo-sokoladnye-500g-3659063	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Подушечки Chocozavr хрустящие с шоколадно-ореховой начинкой, 220г	https://www.perekrestok.ru/cat/748/p/podusecki-chocozavr-hrustasie-s-sokoladno-orehovoj-nacinkoj-220g-4272344	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Подушечки с какао Ухтышки, 250г	https://www.perekrestok.ru/cat/748/p/podusecki-s-kakao-uhtyski-250g-3933314	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Подушечки Любятово с банановой начинкой, 220г	https://www.perekrestok.ru/cat/748/p/podusecki-lubatovo-s-bananovoj-nacinkoj-220g-4187957	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Подушечки Хрутка с шоколадной начинкой, 250г	https://www.perekrestok.ru/cat/748/p/podusecki-hrutka-s-sokoladnoj-nacinkoj-250g-3498890	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Подушечки Хрутка с молочной начинкой, 250г	https://www.perekrestok.ru/cat/748/p/podusecki-hrutka-s-molocnoj-nacinkoj-250g-3498889	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Подушечки злаковые Хрутка со вкусом клубники, 220г	https://www.perekrestok.ru/cat/748/p/podusecki-zlakovye-hrutka-so-vkusom-klubniki-220g-4261140	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Подушечки злаковые Хрутка со вкусом банана, 220г	https://www.perekrestok.ru/cat/748/p/podusecki-zlakovye-hrutka-so-vkusom-banana-220g-4261139	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Подушечки хрустящие Сахарoff на фруктозе шоколадные, 200г	https://www.perekrestok.ru/cat/24/p/podusecki-hrustasie-saharoff-na-fruktoze-sokoladnye-200g-4277767	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
