name	url	locale	address	price
Бургер из говядины Мираторг охлаждённый, 200г	https://www.perekrestok.ru/cat/951/p/burger-iz-govadiny-miratorg-ohlazdennyj-200g-3474679	msk	Москва, Большой Патриарший переулок, 5	175,00 ₽/шт
Бургер Мираторг из говядины и ягнятины категории А охлажденный, 300г	https://www.perekrestok.ru/cat/951/p/burger-miratorg-iz-govadiny-i-agnatiny-kategorii-a-ohlazdennyj-300g-4217330	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Котлеты из говядины Мираторг категории Б, 400г	https://www.perekrestok.ru/cat/135/p/kotlety-iz-govadiny-miratorg-kategorii-b-400g-3451168	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Шарики куриные Первая Свежесть охлаждённые, 450г	https://www.perekrestok.ru/cat/135/p/sariki-kurinye-pervaa-svezest-ohlazdennye-450g-4115862	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Тефтели из мяса цыплёнка-бройлера Троекурово, 350г	https://www.perekrestok.ru/cat/135/p/tefteli-iz-masa-cyplenka-brojlera-troekurovo-350g-3625491	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Кнели Петелинка По-Петелински, 320 г	https://www.perekrestok.ru/cat/135/p/kneli-petelinka-po-petelinski-320-g-4191762	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Ёжики из индейки Зелёная Линия охлаждённые, 450г	https://www.perekrestok.ru/cat/135/p/eziki-iz-indejki-zelenaa-linia-ohlazdennye-450g-4345456	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Котлеты куриные Петелинка сливочные куриные, 500г	https://www.perekrestok.ru/cat/135/p/kotlety-kurinye-petelinka-slivocnye-kurinye-500g-3664055	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Котлеты телячьи Мясо Есть! для бургеров категории Б охлаждённые, 200г	https://www.perekrestok.ru/cat/951/p/kotlety-telaci-maso-est-dla-burgerov-kategorii-b-ohlazdennye-200g-4053461	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Тефтели Индилайт рубленые из индейки охлаждённые, 330г	https://www.perekrestok.ru/cat/135/p/tefteli-indilajt-rublenye-iz-indejki-ohlazdennye-330g-4050180	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Котлеты Первая Свежесть Сливочные из мяса птицы в панировке охлажденные, 500г	https://www.perekrestok.ru/cat/135/p/kotlety-pervaa-svezest-slivocnye-iz-masa-pticy-v-panirovke-ohlazdennye-500g-4286641	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Бургер из мраморной говядины Мираторг классический охлаждённый 2шт, 360г	https://www.perekrestok.ru/cat/951/p/burger-iz-mramornoj-govadiny-miratorg-klassiceskij-ohlazdennyj-2st-360g-3636067	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Фрикадельки Веско мини из индейки категории Б охлажденные, 300г	https://www.perekrestok.ru/cat/135/p/frikadelki-vesko-mini-iz-indejki-kategorii-b-ohlazdennye-300g-4326904	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Биточки из мяса цыплят-бройлеров Мираторг с сыром в панировке охлаждённые, 380г	https://www.perekrestok.ru/cat/135/p/bitocki-iz-masa-cyplat-brojlerov-miratorg-s-syrom-v-panirovke-ohlazdennye-380g-4052619	msk	Москва, Большой Патриарший переулок, 5	194,99 ₽/шт
Котлеты Слово Мясника Три Мяса категории Б, 360г	https://www.perekrestok.ru/cat/135/p/kotlety-slovo-masnika-tri-masa-kategorii-b-360g-4311276	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Котлеты Своя Пожарские из мяса цыплят-бройлеров охлажденные, 450г	https://www.perekrestok.ru/cat/135/p/kotlety-svoa-pozarskie-iz-masa-cyplat-brojlerov-ohlazdennye-450g-4295758	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
