name	url	locale	address	price
Масло подсолнечное рафинированное дезодорированное 1 сорт Пр!ст, 900мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-rafinirovannoe-dezodorirovannoe-1-sort-pr-st-900ml-3642040	msk	Москва, Большой Патриарший переулок, 5	79,90 ₽/шт
Масло льняное нерафинированное Зелёная Линия, 250мл	https://www.perekrestok.ru/cat/104/p/maslo-lnanoe-nerafinirovannoe-zelenaa-linia-250ml-4225638	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Масло оливковое Olive-Pomace Oil рафинированное + нерафинированное Маркет Перекрёсток, 500мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-olive-pomace-oil-rafinirovannoe-nerafinirovannoe-market-perekrestok-500ml-3660319	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 250мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-extra-virgin-nerafinirovannoe-market-perekrestok-250ml-3501258	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 500мл	https://www.perekrestok.ru/cat/104/p/maslo-olivkovoe-extra-virgin-nerafinirovannoe-market-perekrestok-500ml-3501259	msk	Москва, Большой Патриарший переулок, 5	919,99 ₽/шт
Масло подсолнечное Слобода с добавлением оливкового, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-sloboda-s-dobavleniem-olivkovogo-1l-3437316	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-sloboda-rafinirovannoe-dezodorirovannoe-vyssij-sort-1l-21676	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Масло подсолнечное Золотая Семечка рафинированное, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-zolotaa-semecka-rafinirovannoe-1l-64128	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Масло подсолнечное Altero с добавлением оливкового, 810мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-altero-s-dobavleniem-olivkovogo-810ml-85884	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Масло подсолнечное Благо рафинированное дезодорированное вымороженное, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-blago-rafinirovannoe-dezodorirovannoe-vymorozennoe-1l-2043188	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Масло подсолнечное Золотая Семечка рафинированное, 500мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-zolotaa-semecka-rafinirovannoe-500ml-2046261	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Масло подсолнечное Олейна рафинированное дезодорированное 1 сорт, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-olejna-rafinirovannoe-dezodorirovannoe-1-sort-1l-23714	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Масло подсолнечное Слобода рафинированное, 1.8л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-sloboda-rafinirovannoe-1-8l-2147548	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Масло подсолнечное нерафинированное Маркет, 650мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-nerafinirovannoe-market-650ml-4311768	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Масло подсолнечное Золотая Семечка нерафинированное, 1л	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-zolotaa-semecka-nerafinirovannoe-1l-74883	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Масло подсолнечное Ароматы Жизни нерафинированное из жареных семечек, 250мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-aromaty-zizni-nerafinirovannoe-iz-zarenyh-semecek-250ml-3608379	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Масло подсолнечное нерафинированное, 900мл	https://www.perekrestok.ru/cat/104/p/maslo-podsolnecnoe-nerafinirovannoe-900ml-2071663	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
