name	url	locale	address	price
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт
Лосось Люди любят атлантический сёмга стейк с кожей мороженый, 500г	https://www.perekrestok.ru/cat/273/p/losos-ludi-lubat-atlanticeskij-semga-stejk-s-kozej-morozenyj-500g-4336040	msk	Москва, Большой Патриарший переулок, 5	1 249,00 ₽/шт
Форель Люди Любят радужная филе-кусок с кожей замороженная, 400г	https://www.perekrestok.ru/cat/176/p/forel-ludi-lubat-raduznaa-file-kusok-s-kozej-zamorozennaa-400g-4340995	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/шт
Филе Люди любят минтая без кожи порционное мороженое, 400г	https://www.perekrestok.ru/cat/57/p/file-ludi-lubat-mintaa-bez-kozi-porcionnoe-morozenoe-400g-4350402	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Фарш Люди любят из минтая замороженный, 400г	https://www.perekrestok.ru/cat/57/p/fars-ludi-lubat-iz-mintaa-zamorozennyj-400g-4350399	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3646643	msk	Москва, Большой Патриарший переулок, 5	898,99 ₽/шт
Тунец желтоперый филе без кожи замороженный Маркет, 330г	https://www.perekrestok.ru/cat/57/p/tunec-zeltoperyj-file-bez-kozi-zamorozennyj-market-330g-4244917	msk	Москва, Большой Патриарший переулок, 5	629,99 ₽/шт
Стейк Нерки Вкусарт замороженный, 500г	https://www.perekrestok.ru/cat/57/p/stejk-nerki-vkusart-zamorozennyj-500g-4330665	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт
Форель Вкус Арт стейк замороженный, 500г	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	spb	Санкт-Петербург, Биржевая площадь, 4	629,99 ₽/шт
Лосось Люди любят атлантический сёмга стейк с кожей мороженый, 500г	https://www.perekrestok.ru/cat/273/p/losos-ludi-lubat-atlanticeskij-semga-stejk-s-kozej-morozenyj-500g-4336040	spb	Санкт-Петербург, Биржевая площадь, 4	1 499,00 ₽/шт
Горбуша дальневосточная филе порционное Маркет, 400г	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	spb	Санкт-Петербург, Биржевая площадь, 4	449,99 ₽/шт
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	spb	Санкт-Петербург, Биржевая площадь, 4	549,99 ₽/шт
Лосось Вкус Арт стейк на коже замороженный, 500г	https://www.perekrestok.ru/cat/812/p/losos-vkus-art-stejk-na-koze-zamorozennyj-500g-3689012	spb	Санкт-Петербург, Биржевая площадь, 4	799,99 ₽/шт
Минтай Люди любят тушка потрошеная замороженный, 600г	https://www.perekrestok.ru/cat/57/p/mintaj-ludi-lubat-tuska-potrosenaa-zamorozennyj-600g-4352277	spb	Санкт-Петербург, Биржевая площадь, 4	189,99 ₽/шт
Фарш Люди любят из минтая замороженный, 400г	https://www.perekrestok.ru/cat/57/p/fars-ludi-lubat-iz-mintaa-zamorozennyj-400g-4350399	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт
Минтай без головы мороженый Пр!ст	https://www.perekrestok.ru/cat/273/p/mintaj-bez-golovy-morozenyj-pr-st-4272584	spb	Санкт-Петербург, Биржевая площадь, 4	189,99 ₽/кг
Треска Borealis Атлантическая филе без кожи замороженное, 400г	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-bez-kozi-zamorozennoe-400g-4119553	spb	Санкт-Петербург, Биржевая площадь, 4	879,99 ₽/шт
Треска атлантическая Гостово филе без кожи замороженная, 500г	https://www.perekrestok.ru/cat/812/p/treska-atlanticeskaa-gostovo-file-bez-kozi-zamorozennaa-500g-4121949	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт
Тунец желтоперый филе без кожи замороженный Маркет, 330г	https://www.perekrestok.ru/cat/57/p/tunec-zeltoperyj-file-bez-kozi-zamorozennyj-market-330g-4244917	spb	Санкт-Петербург, Биржевая площадь, 4	679,99 ₽/шт
Дорадо Вкус Арт неразделанная свежемороженая	https://www.perekrestok.ru/cat/273/p/dorado-vkus-art-nerazdelannaa-svezemorozenaa-4307375	spb	Санкт-Петербург, Биржевая площадь, 4	1 099,00 ₽/кг
Филе морского гребешка Delight мороженое очищенное, 185г	https://www.perekrestok.ru/cat/57/p/file-morskogo-grebeska-delight-morozenoe-ocisennoe-185g-4284171	spb	Санкт-Петербург, Биржевая площадь, 4	349,99 ₽/шт
Пикша Гостово филе с кожей мороженная глазированная, 600г	https://www.perekrestok.ru/cat/812/p/piksa-gostovo-file-s-kozej-morozennaa-glazirovannaa-600g-4121944	spb	Санкт-Петербург, Биржевая площадь, 4	499,99 ₽/шт
Сибас Вкус Арт неразделанная свежемороженая	https://www.perekrestok.ru/cat/273/p/sibas-vkus-art-nerazdelannaa-svezemorozenaa-4307376	spb	Санкт-Петербург, Биржевая площадь, 4	1 249,00 ₽/кг
Форель Вкус Арт стейк замороженный, 500г	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	ekb	Екатеринбург, ул. Бориса Ельцина, 3	629,99 ₽/шт
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	ekb	Екатеринбург, ул. Бориса Ельцина, 3	549,99 ₽/шт
Горбуша дальневосточная филе порционное Маркет, 400г	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	ekb	Екатеринбург, ул. Бориса Ельцина, 3	399,99 ₽/шт
Лосось Люди любят атлантический сёмга стейк с кожей мороженый, 500г	https://www.perekrestok.ru/cat/273/p/losos-ludi-lubat-atlanticeskij-semga-stejk-s-kozej-morozenyj-500g-4336040	ekb	Екатеринбург, ул. Бориса Ельцина, 3	1 299,00 ₽/шт
Лосось атлантический филе-кусок с кожей замороженый, 500г	https://www.perekrestok.ru/cat/57/p/losos-atlanticeskij-file-kusok-s-kozej-zamorozenyj-500g-4335427	ekb	Екатеринбург, ул. Бориса Ельцина, 3	1 399,00 ₽/шт
