name	url	locale	address	price	time
Шарики Увелка клубнично-йогуртовые, 200г	https://www.perekrestok.ru/cat/749/p/sariki-uvelka-klubnicno-jogurtovye-200g-4070024	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Увелка сливочно-банановые глазированные сахарным сиропом, 200г	https://www.perekrestok.ru/cat/749/p/sariki-uvelka-slivocno-bananovye-glazirovannye-saharnym-siropom-200g-4131236	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Любятово шоколадные, 500г	https://www.perekrestok.ru/cat/748/p/sariki-lubatovo-sokoladnye-500g-3659063	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 350г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-350g-4239005	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтраки Любятово Шарики шоколадные готовые, 200г	https://www.perekrestok.ru/cat/749/p/zavtraki-lubatovo-sariki-sokoladnye-gotovye-200g-4123127	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Ухтышки со вкусом шоколада, 250г	https://www.perekrestok.ru/cat/749/p/sariki-uhtyski-so-vkusom-sokolada-250g-4030128	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка DUO обогащенный кальцием, 350г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-duo-obogasennyj-kalciem-350g-4239004	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак сухой Любятово Медовые шарики и звездочки, 420г	https://www.perekrestok.ru/cat/749/p/zavtrak-suhoj-lubatovo-medovye-sariki-i-zvezdocki-420g-3659064	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Nestlé Хрутка мультизлаковые медовые, 230г	https://www.perekrestok.ru/cat/749/p/sariki-nestle-hrutka-multizlakovye-medovye-230g-3363324	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка обогащенный кальцием, 230г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-230g-4239012	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка DUO обогащённый кальцием, 230г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-duo-obogasennyj-kalciem-230g-4239009	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 650г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-650g-4239008	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Любятово Дуо Микс шоколадные, 200г	https://www.perekrestok.ru/cat/749/p/sariki-lubatovo-duo-miks-sokoladnye-200g-4263849	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Кузя Лакомкин шоколадные мультизерновые, 215г	https://www.perekrestok.ru/cat/749/p/sariki-kuza-lakomkin-sokoladnye-multizernovye-215g-3606791	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтрак готовый Вастэко из полбы шоколадные шарики, 200г	https://www.perekrestok.ru/cat/749/p/zavtrak-gotovyj-vasteko-iz-polby-sokoladnye-sariki-200g-3984457	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Любятово шоколадные, 500г	https://www.perekrestok.ru/cat/748/p/sariki-lubatovo-sokoladnye-500g-3659063	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 650г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-650g-4239008	spb	Санкт-Петербург, Биржевая площадь, 4	309,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка обогащенный кальцием, 230г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-230g-4239012	spb	Санкт-Петербург, Биржевая площадь, 4	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Готовый шоколадный завтрак Хрутка DUO обогащённый кальцием, 230г	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-duo-obogasennyj-kalciem-230g-4239009	spb	Санкт-Петербург, Биржевая площадь, 4	164,99 ₽/шт	Sun Jul  7 23:20:00 2024
Завтраки Любятово Шарики шоколадные готовые, 200г	https://www.perekrestok.ru/cat/749/p/zavtraki-lubatovo-sariki-sokoladnye-gotovye-200g-4123127	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики кукурузные Happy Mallow глазированные обогащённые витаминами и железом с Crispy, 240г	https://www.perekrestok.ru/cat/251/p/sariki-kukuruznye-happy-mallow-glazirovannye-obogasennye-vitaminami-i-zelezom-s-crispy-240g-4127886	spb	Санкт-Петербург, Биржевая площадь, 4	309,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Nestlé Хрутка мультизлаковые медовые, 230г	https://www.perekrestok.ru/cat/749/p/sariki-nestle-hrutka-multizlakovye-medovye-230g-3363324	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики Любятово Дуо Микс шоколадные, 200г	https://www.perekrestok.ru/cat/749/p/sariki-lubatovo-duo-miks-sokoladnye-200g-4263849	spb	Санкт-Петербург, Биржевая площадь, 4	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
