name	url	locale	address	price
Узвар Великая Русь из груши-дички, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-grusi-dicki-1l-4076240	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Узвар Великая Русь из шиповника, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-sipovnika-1l-4076241	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт
Узвар Великая Русь курага, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-kuraga-1l-4223303	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт
Узвар Великая Русь чернослив, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-cernosliv-1l-4223302	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Узвар Великая Русь боярышник, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-boarysnik-1l-4223304	msk	Москва, Большой Патриарший переулок, 5	83,99 ₽/шт
Сбитень Столбушинский имбирный с лимоном Зелёная Линия, 250мл	https://www.perekrestok.ru/cat/257/p/sbiten-stolbusinskij-imbirnyj-s-limonom-zelenaa-linia-250ml-4113130	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Узвар Великая Русь из груши-дички, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-grusi-dicki-1l-4076240	spb	Санкт-Петербург, Биржевая площадь, 4	91,99 ₽/шт
Узвар Великая Русь из шиповника, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-sipovnika-1l-4076241	spb	Санкт-Петербург, Биржевая площадь, 4	95,99 ₽/шт
Узвар Великая Русь из груши-дички, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-grusi-dicki-1l-4076240	ekb	Екатеринбург, ул. Бориса Ельцина, 3	89,99 ₽/шт
Узвар Великая Русь из шиповника, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-sipovnika-1l-4076241	ekb	Екатеринбург, ул. Бориса Ельцина, 3	89,99 ₽/шт
Сбитень Столбушинский имбирный с лимоном Зелёная Линия, 250мл	https://www.perekrestok.ru/cat/257/p/sbiten-stolbusinskij-imbirnyj-s-limonom-zelenaa-linia-250ml-4113130	ekb	Екатеринбург, ул. Бориса Ельцина, 3	339,99 ₽/шт
Узвар Великая Русь из груши-дички, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-grusi-dicki-1l-4076240	nn	Нижний Новгород, площадь Минина и Пожарского, 2	91,99 ₽/шт
Узвар Великая Русь из шиповника, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-iz-sipovnika-1l-4076241	nn	Нижний Новгород, площадь Минина и Пожарского, 2	91,99 ₽/шт
Узвар Великая Русь курага, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-kuraga-1l-4223303	nn	Нижний Новгород, площадь Минина и Пожарского, 2	75,99 ₽/шт
Узвар Великая Русь чернослив, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-cernosliv-1l-4223302	nn	Нижний Новгород, площадь Минина и Пожарского, 2	75,99 ₽/шт
Узвар Великая Русь боярышник, 1л	https://www.perekrestok.ru/cat/744/p/uzvar-velikaa-rus-boarysnik-1l-4223304	nn	Нижний Новгород, площадь Минина и Пожарского, 2	75,99 ₽/шт
