name	url	locale	address	price	time
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-cernye-otbornye-zarenye-s-morskoj-solu-100g-3469303	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника Джинн жареные солёные, 100г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-dzinn-zarenye-solenye-100g-4066289	msk	Москва, Большой Патриарший переулок, 5	91,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнуха От Мартина полосатые с солью, 150г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnuha-ot-martina-polosatye-s-solu-150g-3661124	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные жареные, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-200g-3403508	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные жареные, 100г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-100g-3072541	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника жареные Пр!ст, 100г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-100g-3473272	msk	Москва, Большой Патриарший переулок, 5	27,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина белые солёные, 100г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-belye-solenye-100g-3348828	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-200g-3669122	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника Джинн жареные, 140г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-dzinn-zarenye-140g-3248290	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина Полосатые Мегапапа отборные с солью, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-polosatye-megapapa-otbornye-s-solu-200g-4280033	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника жареные Пр!ст, 300г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-300g-3473273	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные, 500г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-500g-3624461	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина Полосатые Мегапапа отборные без соли, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-polosatye-megapapa-otbornye-bez-soli-200g-4280034	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные микс жареные солёные с несолёными, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-miks-zarenye-solenye-s-nesolenymi-200g-3669391	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника От Мартина особенные жареные, 200г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-ot-martina-osobennye-zarenye-200g-3630849	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семена тыквы очищенные  Зелёная Линия, 150г	https://www.perekrestok.ru/cat/161/p/semena-tykvy-ocisennye-zelenaa-linia-150g-4116888	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки тыквенные От Мартина жареные неочищенные с солью, 100г	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-ot-martina-zarenye-neocisennye-s-solu-100g-3503953	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семена тыквы обжаренные солёные Маркет, 100г	https://www.perekrestok.ru/cat/161/p/semena-tykvy-obzarennye-solenye-market-100g-4302861	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семена тыквы Семушка очищенные, 110г	https://www.perekrestok.ru/cat/161/p/semena-tykvy-semuska-ocisennye-110g-4267522	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки тыквенные Семушка жареные 80г	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-semuska-zarenye-80g-3363400	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные жареные, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-200g-3403508	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки подсолнечника Джинн жареные солёные, 100г	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-dzinn-zarenye-solenye-100g-4066289	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные, 200г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-200g-3669122	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина отборные жареные, 100г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-100g-3072541	spb	Санкт-Петербург, Биржевая площадь, 4	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-cernye-otbornye-zarenye-s-morskoj-solu-100g-3469303	spb	Санкт-Петербург, Биржевая площадь, 4	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
