name	url	locale	address	price	time
Сидр Дальняя Дача №1 яблочный сухой, 500мл	https://www.perekrestok.ru/cat/7/p/sidr-dalnaa-daca-no1-ablocnyj-suhoj-500ml-4250517	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Rhubarbe Craft фруктовый игристый сухой 5.5%, 750мл	https://www.perekrestok.ru/cat/7/p/sidr-rhubarbe-craft-fruktovyj-igristyj-suhoj-5-5-750ml-4278519	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Strongbow яблочный полусухой 5%, 440мл	https://www.perekrestok.ru/cat/7/p/sidr-strongbow-ablocnyj-polusuhoj-5-440ml-4273545	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Дальняя Дача №2 яблочный полусухой, 500мл	https://www.perekrestok.ru/cat/7/p/sidr-dalnaa-daca-no2-ablocnyj-polusuhoj-500ml-4250518	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Double Tree яблоко полусухой непастеризованный фильтрованный газированный 5.6%, 450мл	https://www.perekrestok.ru/cat/7/p/sidr-double-tree-abloko-polusuhoj-nepasterizovannyj-filtrovannyj-gazirovannyj-5-6-450ml-4244955	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр St. Vionnet фруктовый полусухой пастеризованный фильтрованный 5.5%, 330мл	https://www.perekrestok.ru/cat/7/p/sidr-st-vionnet-fruktovyj-polusuhoj-pasterizovannyj-filtrovannyj-5-5-330ml-4276166	msk	Москва, Большой Патриарший переулок, 5	81,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр яблочный игристый полусухой 3.9% Маркет, 500мл	https://www.perekrestok.ru/cat/7/p/sidr-ablocnyj-igristyj-polusuhoj-3-9-market-500ml-4255344	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Bullevie 1883 розовый полусухой традиционный нефильтрованный осветлённый 5.5%, 750мл	https://www.perekrestok.ru/cat/7/p/sidr-bullevie-1883-rozovyj-polusuhoj-tradicionnyj-nefiltrovannyj-osvetlennyj-5-5-750ml-4269561	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Chesters фруктовый Вишневый сладкий газированный 5%, 450мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-fruktovyj-visnevyj-sladkij-gazirovannyj-5-450ml-4268529	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Chester’s грушевый сладкий газированный 5%, 450мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-grusevyj-sladkij-gazirovannyj-5-450ml-4268530	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр poire Toute L'anne Пуаре грушевый сидр сладкий 5.5%, 750мл	https://www.perekrestok.ru/cat/7/p/sidr-poire-toute-lanne-puare-grusevyj-sidr-sladkij-5-5-750ml-4277734	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Bon Season газированный пастеризованный сладкий 4.5%, 430мл	https://www.perekrestok.ru/cat/7/p/sidr-bon-season-gazirovannyj-pasterizovannyj-sladkij-4-5-430ml-4200680	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Chester’s яблочный сладкий газированный 5%, 450мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-ablocnyj-sladkij-gazirovannyj-5-450ml-4268532	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сидр Bon Season газированный пастеризованный сладкий 4.5%, 400мл	https://www.perekrestok.ru/cat/7/p/sidr-bon-season-gazirovannyj-pasterizovannyj-sladkij-4-5-400ml-4200679	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
